Team,Player,Date of birth / Age,Nationality,Height,Foot,Joined,Signed from,Contract,Market value
Central Coast Mariners,Dylan Peraić-Cullen,,,Goalkeeper,"Jul 25, 2006 (18)",,-,right,"Aug 10, 2023"
Central Coast Mariners,Adam Pavlesic,,,Goalkeeper,"Jul 30, 2002 (22)",,-,right,"Jul 17, 2024"
Central Coast Mariners,Jack Warshawsky,,,Goalkeeper,"Aug 8, 2004 (20)",,-,right,"Jul 1, 2023"
Central Coast Mariners,Jai Ajanovic,,,Goalkeeper,"Aug 31, 2008 (16)",,-,,"Sep 10, 2024"
Central Coast Mariners,Brian Kaltak,,,Centre-Back,"Sep 30, 1993 (31)",,-,right,"Sep 27, 2022"
Central Coast Mariners,Trent Sainsbury,,,Centre-Back,"Jan 5, 1992 (33)",,-,right,"Aug 23, 2024"
Central Coast Mariners,Nathan Paull,,,Centre-Back,"Aug 21, 2003 (21)",,-,left,"Oct 25, 2023"
Central Coast Mariners,Diesel Herrington,,,Centre-Back,"Aug 4, 2004 (20)",,-,right,"Jul 18, 2024"
Central Coast Mariners,Rocco Smith,,,Centre-Back,"Dec 17, 2004 (20)",,-,,
Central Coast Mariners,Michael Paragalli,,,Centre-Back,"Feb 20, 2006 (19)",,-,right,
Central Coast Mariners,Lucas Mauragis,,,Left-Back,"Sep 4, 2001 (23)",,-,left,"Jul 1, 2024"
Central Coast Mariners,Noah Smith,,,Left-Back,"Dec 15, 2000 (24)",,-,left,"Aug 2, 2023"
Central Coast Mariners,Storm Roux,,,Right-Back,"Jan 13, 1993 (32)",,-,right,"Oct 1, 2021"
Central Coast Mariners,Sasha Kuzevski,,,Right-Back,"Mar 27, 2001 (24)",,-,right,"Jul 10, 2024"
Central Coast Mariners,Alfie McCalmont,,,Defensive Midfield,"Mar 25, 2000 (25)",,-,right,"Jul 12, 2024"
Central Coast Mariners,Harrison Steele,,,Defensive Midfield,"Oct 12, 2002 (22)",,-,left,"Jul 25, 2022"
Central Coast Mariners,Brad Tapp,,,Defensive Midfield,"Jan 16, 2001 (24)",,-,right,"Dec 29, 2023"
Central Coast Mariners,Lucas Scicluna,,,Defensive Midfield,"Nov 7, 2005 (19)",,-,right,
Central Coast Mariners,Will Wilson,,,Central Midfield,"Dec 23, 2001 (23)",,-,right,"Aug 26, 2023"
Central Coast Mariners,Haine Eames,,,Attacking Midfield,"Feb 27, 2008 (17)",,-,right,"Jun 7, 2024"
Central Coast Mariners,Logan Sambrook,,,Attacking Midfield,"Jan 16, 2008 (17)",,-,,
Central Coast Mariners,Christian Theoharous,,,Left Winger,"Dec 6, 1999 (25)",,-,left,"Jan 17, 2023"
Central Coast Mariners,Vitor Feijão,,,Left Winger,"Aug 1, 1996 (28)",,-,right,"Aug 1, 2024"
Central Coast Mariners,Abdul Faisal,,,Left Winger,"Oct 27, 2005 (19)",,-,right,"Jan 20, 2025"
Central Coast Mariners,Mikael Doka,,,Right Winger,"Jan 24, 2000 (25)",,-,right,"Aug 2, 2023"
Central Coast Mariners,Miguel Di Pizio,,,Right Winger,"Jan 4, 2006 (19)",,-,left,"Apr 12, 2023"
Central Coast Mariners,Alou Kuol,,,Centre-Forward,"Jul 5, 2001 (23)",,-,right,"Jul 10, 2023"
Central Coast Mariners,Ryan Edmondson,,,Centre-Forward,"May 20, 2001 (23)",,-,right,"Jan 26, 2024"
Central Coast Mariners,Bailey Brandtman,,,Centre-Forward,"Jun 28, 2005 (19)",,-,left,"Oct 30, 2023"
Central Coast Mariners,Nicholas Duarte,,,Centre-Forward,"Dec 16, 2003 (21)",,-,right,"Oct 30, 2023"
Central Coast Mariners,Arthur De Lima,,,Centre-Forward,"Jun 11, 2007 (17)",,-,,"Aug 20, 2024"
