Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 10/18/24",Central Coast Mariners,Melbourne Victory,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€25k,Australia
"Fri, 10/18/24",Central Coast Mariners,Melbourne Victory,Starting XI,Brian Kaltak,31,Centre-Back,€450k,Vanuatu
"Fri, 10/18/24",Central Coast Mariners,Melbourne Victory,Starting XI,Brad Tapp,23,Centre-Back,€225k,Australia
"Fri, 10/18/24",Central Coast Mariners,Melbourne Victory,Starting XI,Lucas Mauragis,23,Left-Back,€400k,"Australia, Lithuania"
"Fri, 10/18/24",Central Coast Mariners,Melbourne Victory,Starting XI,Storm Roux,31,Right-Back,€350k,"New Zealand, Australia"
"Fri, 10/18/24",Central Coast Mariners,Melbourne Victory,Starting XI,Harrison Steele,22,Central Midfield,€250k,Australia
"Fri, 10/18/24",Central Coast Mariners,Melbourne Victory,Starting XI,Alfie McCalmont,24,Central Midfield,€175k,"Northern Ireland, England"
"Fri, 10/18/24",Central Coast Mariners,Melbourne Victory,Starting XI,Vitor Feijão,28,Left Winger,€150k,Brazil
"Fri, 10/18/24",Central Coast Mariners,Melbourne Victory,Starting XI,Mikael Doka,24,Right Winger,€400k,Brazil
"Fri, 10/18/24",Central Coast Mariners,Melbourne Victory,Starting XI,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Fri, 10/18/24",Central Coast Mariners,Melbourne Victory,Starting XI,Ryan Edmondson,23,Centre-Forward,€300k,England
"Fri, 10/18/24",Central Coast Mariners,Melbourne Victory,Substitutes,Jack Warshawsky,20,Goalkeeper,€50k,Australia
"Fri, 10/18/24",Central Coast Mariners,Melbourne Victory,Substitutes,Nathan Paull,21,Centre-Back,€150k,Australia
"Fri, 10/18/24",Central Coast Mariners,Melbourne Victory,Substitutes,Sasha Kuzevski,23,Right-Back,€50k,Australia
"Fri, 10/18/24",Central Coast Mariners,Melbourne Victory,Substitutes,Haine Eames,16,Central Midfield,,Australia
"Fri, 10/18/24",Central Coast Mariners,Melbourne Victory,Substitutes,Sabit James Ngor,23,Left Winger,€100k,"Australia, Southern Sudan"
"Fri, 10/18/24",Central Coast Mariners,Melbourne Victory,Substitutes,Bailey Brandtman,19,Right Winger,€75k,Australia
"Fri, 10/18/24",Central Coast Mariners,Melbourne Victory,Substitutes,Nicholas Duarte,20,Centre-Forward,€25k,Australia
"Fri, 10/18/24",Melbourne Victory,Central Coast Mariners,Starting XI,Jack Duncan,31,Goalkeeper,€250k,Australia
"Fri, 10/18/24",Melbourne Victory,Central Coast Mariners,Starting XI,Brendan Hamill,32,Centre-Back,€350k,"Australia, Ireland"
"Fri, 10/18/24",Melbourne Victory,Central Coast Mariners,Starting XI,Roderick Miranda,33,Centre-Back,€750k,"Portugal, Brazil"
"Fri, 10/18/24",Melbourne Victory,Central Coast Mariners,Starting XI,Kasey Bos,20,Left-Back,€150k,"Australia, Netherlands"
"Fri, 10/18/24",Melbourne Victory,Central Coast Mariners,Starting XI,Jason Geria,31,Right-Back,€500k,"Australia, Uganda"
"Fri, 10/18/24",Melbourne Victory,Central Coast Mariners,Starting XI,Ryan Teague,22,Defensive Midfield,€400k,Australia
"Fri, 10/18/24",Melbourne Victory,Central Coast Mariners,Starting XI,Jordi Valadon,21,Defensive Midfield,€125k,Australia
"Fri, 10/18/24",Melbourne Victory,Central Coast Mariners,Starting XI,Zinédine Machach,28,Attacking Midfield,€600k,"France, Morocco"
"Fri, 10/18/24",Melbourne Victory,Central Coast Mariners,Starting XI,Reno Piscopo,26,Left Winger,€450k,"Australia, Italy"
"Fri, 10/18/24",Melbourne Victory,Central Coast Mariners,Starting XI,Nishan Velupillay,23,Right Winger,€350k,"Australia, Sri Lanka"
"Fri, 10/18/24",Melbourne Victory,Central Coast Mariners,Starting XI,Bruno Fornaroli,37,Centre-Forward,€450k,"Australia, Uruguay"
"Fri, 10/18/24",Melbourne Victory,Central Coast Mariners,Substitutes,Daniel Graskoski,17,Goalkeeper,,Australia
"Fri, 10/18/24",Melbourne Victory,Central Coast Mariners,Substitutes,Adama Traoré,34,Left-Back,€175k,"Cote d'Ivoire, Australia"
"Fri, 10/18/24",Melbourne Victory,Central Coast Mariners,Substitutes,Joshua Rawlins,20,Centre-Back,€250k,Australia
"Fri, 10/18/24",Melbourne Victory,Central Coast Mariners,Substitutes,Fabian Monge,23,Defensive Midfield,€200k,Australia
"Fri, 10/18/24",Melbourne Victory,Central Coast Mariners,Substitutes,Clarismario,23,Right Winger,€450k,Brazil
"Fri, 10/18/24",Melbourne Victory,Central Coast Mariners,Substitutes,Jing Reec,21,Centre-Forward,€150k,"Australia, Southern Sudan"
"Fri, 10/18/24",Melbourne Victory,Central Coast Mariners,Substitutes,Nikolaos Vergos,28,Centre-Forward,€450k,Greece
