Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 10/19/24",Auckland FC,Brisbane Roar,Starting XI,Alex Paulsen,22,Goalkeeper,€450k,"New Zealand, South Africa"
"Sat, 10/19/24",Auckland FC,Brisbane Roar,Starting XI,Nando Pijnaker,25,Centre-Back,€150k,"New Zealand, Netherlands"
"Sat, 10/19/24",Auckland FC,Brisbane Roar,Starting XI,Daniel Hall,25,Centre-Back,€350k,"Australia, Fiji"
"Sat, 10/19/24",Auckland FC,Brisbane Roar,Starting XI,Francis de Vries,29,Left-Back,€375k,New Zealand
"Sat, 10/19/24",Auckland FC,Brisbane Roar,Starting XI,Hiroki Sakai,34,Right-Back,€600k,Japan
"Sat, 10/19/24",Auckland FC,Brisbane Roar,Starting XI,Louis Verstraete,25,Central Midfield,€400k,Belgium
"Sat, 10/19/24",Auckland FC,Brisbane Roar,Starting XI,Luis Felipe Gallegos,32,Central Midfield,€300k,"Chile, Italy"
"Sat, 10/19/24",Auckland FC,Brisbane Roar,Starting XI,Liam Gillion,22,Left Winger,€375k,New Zealand
"Sat, 10/19/24",Auckland FC,Brisbane Roar,Starting XI,Logan Rogerson,26,Right Winger,€200k,New Zealand
"Sat, 10/19/24",Auckland FC,Brisbane Roar,Starting XI,Jake Brimmer,26,Second Striker,€550k,"Australia, Malta"
"Sat, 10/19/24",Auckland FC,Brisbane Roar,Starting XI,Guillermo May,26,Centre-Forward,€800k,"Uruguay, Italy"
"Sat, 10/19/24",Auckland FC,Brisbane Roar,Substitutes,Michael Woud,25,Goalkeeper,€200k,"New Zealand, Netherlands"
"Sat, 10/19/24",Auckland FC,Brisbane Roar,Substitutes,Tommy Smith,34,Centre-Back,€100k,"New Zealand, England"
"Sat, 10/19/24",Auckland FC,Brisbane Roar,Substitutes,Callan Elliot,25,Right-Back,€300k,"New Zealand, Scotland"
"Sat, 10/19/24",Auckland FC,Brisbane Roar,Substitutes,Cameron Howieson,29,Attacking Midfield,€400k,"New Zealand, Scotland"
"Sat, 10/19/24",Auckland FC,Brisbane Roar,Substitutes,Finn McKenlay,19,Central Midfield,€325k,"New Zealand, England"
"Sat, 10/19/24",Auckland FC,Brisbane Roar,Substitutes,Jesse Randall,22,Right Winger,€250k,New Zealand
"Sat, 10/19/24",Auckland FC,Brisbane Roar,Substitutes,Max Mata,24,Centre-Forward,€275k,"New Zealand, Cookinseln"
"Sat, 10/19/24",Brisbane Roar,Auckland FC,Starting XI,Macklin Freke,25,Goalkeeper,€300k,"Australia, New Zealand"
"Sat, 10/19/24",Brisbane Roar,Auckland FC,Starting XI,Ben Warland,28,Centre-Back,€300k,Australia
"Sat, 10/19/24",Brisbane Roar,Auckland FC,Starting XI,Walid Shour,28,Centre-Back,€325k,"Lebanon, Sierra Leone"
"Sat, 10/19/24",Brisbane Roar,Auckland FC,Starting XI,Antonee Burke-Gilroy,27,Left-Back,€250k,"Australia, England"
"Sat, 10/19/24",Brisbane Roar,Auckland FC,Starting XI,Harry Van der Saag,24,Right-Back,€250k,"Australia, Netherlands"
"Sat, 10/19/24",Brisbane Roar,Auckland FC,Starting XI,Joe Caletti,26,Central Midfield,€300k,"Australia, Japan"
"Sat, 10/19/24",Brisbane Roar,Auckland FC,Starting XI,Jay O'Shea,36,Central Midfield,€300k,Ireland
"Sat, 10/19/24",Brisbane Roar,Auckland FC,Starting XI,Néicer Acosta,21,Left Winger,€75k,Ecuador
"Sat, 10/19/24",Brisbane Roar,Auckland FC,Starting XI,Ben Halloran,32,Right Winger,€400k,Australia
"Sat, 10/19/24",Brisbane Roar,Auckland FC,Starting XI,Keegan Jelacic,22,Second Striker,€300k,"Australia, New Zealand"
"Sat, 10/19/24",Brisbane Roar,Auckland FC,Starting XI,Thomas Waddingham,19,Centre-Forward,€350k,"Australia, England"
"Sat, 10/19/24",Brisbane Roar,Auckland FC,Substitutes,Matt Acton,32,Goalkeeper,€200k,"Australia, Finland"
"Sat, 10/19/24",Brisbane Roar,Auckland FC,Substitutes,Hosine Bility,23,Centre-Back,€50k,"Australia, Guinea"
"Sat, 10/19/24",Brisbane Roar,Auckland FC,Substitutes,Louis Zabala,23,Left-Back,€175k,Australia
"Sat, 10/19/24",Brisbane Roar,Auckland FC,Substitutes,Jack Hingert,34,Right-Back,€175k,"Sri Lanka, Australia"
"Sat, 10/19/24",Brisbane Roar,Auckland FC,Substitutes,Sam Klein,20,Central Midfield,,Australia
"Sat, 10/19/24",Brisbane Roar,Auckland FC,Substitutes,Rafael Struick,21,Centre-Forward,€75k,"Indonesia, Netherlands"
"Sat, 10/19/24",Brisbane Roar,Auckland FC,Substitutes,Ivan Ozzi,20,Centre-Forward,,Australia
