Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 10/19/24",Newcastle United Jets,Melbourne City FC,Starting XI,Ryan Scott,28,Goalkeeper,€300k,"Australia, England"
"Sat, 10/19/24",Newcastle United Jets,Melbourne City FC,Starting XI,Aleksandar Susnjar,29,Centre-Back,€300k,"Australia, Serbia"
"Sat, 10/19/24",Newcastle United Jets,Melbourne City FC,Starting XI,Mark Natta,21,Centre-Back,€375k,"Australia, Italy"
"Sat, 10/19/24",Newcastle United Jets,Melbourne City FC,Starting XI,Daniel Wilmering,23,Left-Back,€250k,"Australia, Germany"
"Sat, 10/19/24",Newcastle United Jets,Melbourne City FC,Starting XI,Dane Ingham,25,Right-Back,€400k,"New Zealand, Australia"
"Sat, 10/19/24",Newcastle United Jets,Melbourne City FC,Starting XI,Kosta Grozos,24,Central Midfield,€400k,Australia
"Sat, 10/19/24",Newcastle United Jets,Melbourne City FC,Starting XI,Lachlan Bayliss,22,Central Midfield,€150k,"New Zealand, Australia"
"Sat, 10/19/24",Newcastle United Jets,Melbourne City FC,Starting XI,Thomas Aquilina,23,Left Winger,€350k,"Australia, Malta"
"Sat, 10/19/24",Newcastle United Jets,Melbourne City FC,Starting XI,Eli Adams,22,Right Winger,€125k,Australia
"Sat, 10/19/24",Newcastle United Jets,Melbourne City FC,Starting XI,Wellissol,26,Centre-Forward,€100k,Brazil
"Sat, 10/19/24",Newcastle United Jets,Melbourne City FC,Starting XI,Justin Vidic,20,Centre-Forward,€50k,Australia
"Sat, 10/19/24",Newcastle United Jets,Melbourne City FC,Substitutes,Noah James,23,Goalkeeper,,Australia
"Sat, 10/19/24",Newcastle United Jets,Melbourne City FC,Substitutes,Phillip Cancar,23,Centre-Back,€350k,"Croatia, Australia"
"Sat, 10/19/24",Newcastle United Jets,Melbourne City FC,Substitutes,Nathan Grimaldi,23,Centre-Back,€100k,"Australia, Philippines"
"Sat, 10/19/24",Newcastle United Jets,Melbourne City FC,Substitutes,Matthew Scarcella,20,Central Midfield,€50k,"Australia, Italy"
"Sat, 10/19/24",Newcastle United Jets,Melbourne City FC,Substitutes,Will Dobson,17,Central Midfield,,Australia
"Sat, 10/19/24",Newcastle United Jets,Melbourne City FC,Substitutes,Clayton Taylor,20,Right Winger,€300k,Australia
"Sat, 10/19/24",Newcastle United Jets,Melbourne City FC,Substitutes,Ben Gibson,21,Centre-Forward,€75k,Australia
"Sat, 10/19/24",Melbourne City FC,Newcastle United Jets,Starting XI,Patrick Beach,21,Goalkeeper,€100k,Australia
"Sat, 10/19/24",Melbourne City FC,Newcastle United Jets,Starting XI,Samuel Souprayen,35,Centre-Back,€100k,"France, Réunion"
"Sat, 10/19/24",Melbourne City FC,Newcastle United Jets,Starting XI,Kai Trewin,23,Centre-Back,€400k,Australia
"Sat, 10/19/24",Melbourne City FC,Newcastle United Jets,Starting XI,Aziz Behich,33,Left-Back,€400k,"Australia, Türkiye"
"Sat, 10/19/24",Melbourne City FC,Newcastle United Jets,Starting XI,Callum Talbot,23,Right-Back,€350k,"Australia, Malta"
"Sat, 10/19/24",Melbourne City FC,Newcastle United Jets,Starting XI,Nathaniel Atkinson,25,Defensive Midfield,€800k,Australia
"Sat, 10/19/24",Melbourne City FC,Newcastle United Jets,Starting XI,James Jeggo,32,Defensive Midfield,€500k,"Australia, England"
"Sat, 10/19/24",Melbourne City FC,Newcastle United Jets,Starting XI,Steven Ugarkovic,30,Attacking Midfield,€450k,"Australia, Croatia"
"Sat, 10/19/24",Melbourne City FC,Newcastle United Jets,Starting XI,Yonatan Cohen,28,Left Winger,€350k,"Israel, Poland"
"Sat, 10/19/24",Melbourne City FC,Newcastle United Jets,Starting XI,Marco Tilio,23,Right Winger,€1.20m,Australia
"Sat, 10/19/24",Melbourne City FC,Newcastle United Jets,Starting XI,Andrew Nabbout,31,Centre-Forward,€550k,"Australia, Lebanon"
"Sat, 10/19/24",Melbourne City FC,Newcastle United Jets,Substitutes,Jamie Young,39,Goalkeeper,€200k,"England, Australia"
"Sat, 10/19/24",Melbourne City FC,Newcastle United Jets,Substitutes,Germán Ferreyra,28,Centre-Back,€450k,Argentina
"Sat, 10/19/24",Melbourne City FC,Newcastle United Jets,Substitutes,Harry Politidis,22,Left Winger,€100k,Australia
"Sat, 10/19/24",Melbourne City FC,Newcastle United Jets,Substitutes,Zane Schreiber,19,Defensive Midfield,€50k,Australia
"Sat, 10/19/24",Melbourne City FC,Newcastle United Jets,Substitutes,Andreas Kuen,29,Central Midfield,€450k,Austria
"Sat, 10/19/24",Melbourne City FC,Newcastle United Jets,Substitutes,Kavian Rahmani,17,Left Winger,,Australia
"Sat, 10/19/24",Melbourne City FC,Newcastle United Jets,Substitutes,Arion Sulemani,19,Centre-Forward,€25k,Australia
