Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 10/19/24",Western Sydney Wanderers,Sydney FC,Starting XI,Tristan Vidackovic,21,Goalkeeper,,Australia
"Sat, 10/19/24",Western Sydney Wanderers,Sydney FC,Starting XI,Alex Bonetig,22,Centre-Back,€200k,Australia
"Sat, 10/19/24",Western Sydney Wanderers,Sydney FC,Starting XI,Tae-wook Jeong,27,Centre-Back,€700k,"Korea, South"
"Sat, 10/19/24",Western Sydney Wanderers,Sydney FC,Starting XI,Jack Clisby,32,Left-Back,€400k,Australia
"Sat, 10/19/24",Western Sydney Wanderers,Sydney FC,Starting XI,Gabriel Cléùr,26,Right-Back,€350k,"Australia, Italy"
"Sat, 10/19/24",Western Sydney Wanderers,Sydney FC,Starting XI,Joshua Brillante,31,Central Midfield,€450k,"Australia, Italy"
"Sat, 10/19/24",Western Sydney Wanderers,Sydney FC,Starting XI,Dylan Scicluna,20,Central Midfield,€100k,"Malta, Australia"
"Sat, 10/19/24",Western Sydney Wanderers,Sydney FC,Starting XI,Aydan Hammond,20,Left Winger,€50k,"Australia, Peru"
"Sat, 10/19/24",Western Sydney Wanderers,Sydney FC,Starting XI,Nicolas Milanovic,22,Right Winger,€450k,"Australia, Croatia"
"Sat, 10/19/24",Western Sydney Wanderers,Sydney FC,Starting XI,Zachary Sapsford,22,Centre-Forward,€150k,Australia
"Sat, 10/19/24",Western Sydney Wanderers,Sydney FC,Starting XI,Brandon Borrello,29,Centre-Forward,€700k,"Australia, Italy"
"Sat, 10/19/24",Western Sydney Wanderers,Sydney FC,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Sat, 10/19/24",Western Sydney Wanderers,Sydney FC,Substitutes,Tom Beadling,28,Centre-Back,€300k,"Australia, England"
"Sat, 10/19/24",Western Sydney Wanderers,Sydney FC,Substitutes,Dean Pelekanos,23,Central Midfield,€100k,Australia
"Sat, 10/19/24",Western Sydney Wanderers,Sydney FC,Substitutes,Juan Mata,36,Attacking Midfield,€700k,Spain
"Sat, 10/19/24",Western Sydney Wanderers,Sydney FC,Substitutes,Ben Holliday,22,Left Winger,€75k,Australia
"Sat, 10/19/24",Western Sydney Wanderers,Sydney FC,Substitutes,Bozhidar Kraev,27,Left Winger,€750k,Bulgaria
"Sat, 10/19/24",Western Sydney Wanderers,Sydney FC,Substitutes,Marcus Antonsson,33,Centre-Forward,€600k,Sweden
"Sat, 10/19/24",Sydney FC,Western Sydney Wanderers,Starting XI,Andrew Redmayne,35,Goalkeeper,€400k,Australia
"Sat, 10/19/24",Sydney FC,Western Sydney Wanderers,Starting XI,Hayden Matthews,20,Centre-Back,€300k,Australia
"Sat, 10/19/24",Sydney FC,Western Sydney Wanderers,Starting XI,Alexandar Popovic,22,Centre-Back,€325k,Australia
"Sat, 10/19/24",Sydney FC,Western Sydney Wanderers,Starting XI,Jordan Courtney-Perkins,21,Left-Back,€400k,Australia
"Sat, 10/19/24",Sydney FC,Western Sydney Wanderers,Starting XI,Rhyan Grant,33,Right-Back,€500k,Australia
"Sat, 10/19/24",Sydney FC,Western Sydney Wanderers,Starting XI,Léo Sena,28,Defensive Midfield,€500k,Brazil
"Sat, 10/19/24",Sydney FC,Western Sydney Wanderers,Starting XI,Anthony Cáceres,32,Defensive Midfield,€600k,"Australia, Uruguay"
"Sat, 10/19/24",Sydney FC,Western Sydney Wanderers,Starting XI,Anas Ouahim,27,Attacking Midfield,€500k,"Morocco, Germany"
"Sat, 10/19/24",Sydney FC,Western Sydney Wanderers,Starting XI,Douglas Costa,34,Left Winger,€800k,Brazil
"Sat, 10/19/24",Sydney FC,Western Sydney Wanderers,Starting XI,Joe Lolley,32,Right Winger,€1.50m,England
"Sat, 10/19/24",Sydney FC,Western Sydney Wanderers,Starting XI,Patryk Klimala,26,Centre-Forward,€600k,Poland
"Sat, 10/19/24",Sydney FC,Western Sydney Wanderers,Substitutes,Harrison Devenish-Meares,27,Goalkeeper,€25k,Australia
"Sat, 10/19/24",Sydney FC,Western Sydney Wanderers,Substitutes,Joel King,23,Left-Back,€500k,Australia
"Sat, 10/19/24",Sydney FC,Western Sydney Wanderers,Substitutes,Corey Hollman,21,Defensive Midfield,€350k,Australia
"Sat, 10/19/24",Sydney FC,Western Sydney Wanderers,Substitutes,Max Burgess,29,Attacking Midfield,€500k,Australia
"Sat, 10/19/24",Sydney FC,Western Sydney Wanderers,Substitutes,Jaiden Kucharski,22,Left Winger,€350k,"Australia, Poland"
"Sat, 10/19/24",Sydney FC,Western Sydney Wanderers,Substitutes,Adrian Segecic,20,Right Winger,€400k,"Australia, Croatia"
"Sat, 10/19/24",Sydney FC,Western Sydney Wanderers,Substitutes,Nathan Amanatidis,18,Right Winger,€125k,Australia
