Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 10/20/24",Macarthur FC,Perth Glory,Starting XI,Filip Kurto,33,Goalkeeper,€450k,Poland
"Sun, 10/20/24",Macarthur FC,Perth Glory,Starting XI,Matthew Jurman,34,Centre-Back,€250k,"Australia, England"
"Sun, 10/20/24",Macarthur FC,Perth Glory,Starting XI,Tomislav Uskok,33,Centre-Back,€275k,"Australia, Croatia"
"Sun, 10/20/24",Macarthur FC,Perth Glory,Starting XI,Ivan Vujica,27,Left-Back,€350k,"Australia, Croatia"
"Sun, 10/20/24",Macarthur FC,Perth Glory,Starting XI,Kealey Adamson,21,Right-Back,€200k,"Australia, Tanzania"
"Sun, 10/20/24",Macarthur FC,Perth Glory,Starting XI,Liam Rose,27,Defensive Midfield,€250k,Australia
"Sun, 10/20/24",Macarthur FC,Perth Glory,Starting XI,Luke Brattan,34,Defensive Midfield,€450k,"Australia, England"
"Sun, 10/20/24",Macarthur FC,Perth Glory,Starting XI,Jake Hollman,23,Attacking Midfield,€400k,Australia
"Sun, 10/20/24",Macarthur FC,Perth Glory,Starting XI,Marin Jakolis,27,Left Winger,€700k,"Croatia, Australia"
"Sun, 10/20/24",Macarthur FC,Perth Glory,Starting XI,Jed Drew,21,Right Winger,€350k,Australia
"Sun, 10/20/24",Macarthur FC,Perth Glory,Starting XI,Valère Germain,34,Centre-Forward,€1.00m,France
"Sun, 10/20/24",Macarthur FC,Perth Glory,Substitutes,Alex Robinson,19,Goalkeeper,€25k,Australia
"Sun, 10/20/24",Macarthur FC,Perth Glory,Substitutes,Dino Arslanagic,31,Centre-Back,€500k,"Belgium, Bosnia-Herzegovina"
"Sun, 10/20/24",Macarthur FC,Perth Glory,Substitutes,Joshua Damevski,19,Centre-Back,€50k,Australia
"Sun, 10/20/24",Macarthur FC,Perth Glory,Substitutes,Walter Scott,25,Left Winger,€100k,Australia
"Sun, 10/20/24",Macarthur FC,Perth Glory,Substitutes,Ariath Piol,20,Centre-Forward,€50k,"Australia, Sudan"
"Sun, 10/20/24",Macarthur FC,Perth Glory,Substitutes,Dean Bosnjak,18,Right Winger,,Australia
"Sun, 10/20/24",Macarthur FC,Perth Glory,Substitutes,Harry Sawyer,27,Centre-Forward,€125k,Australia
"Sun, 10/20/24",Perth Glory,Macarthur FC,Starting XI,Oliver Sail,28,Goalkeeper,€500k,"New Zealand, Australia"
"Sun, 10/20/24",Perth Glory,Macarthur FC,Starting XI,Andriano Lebib,18,Centre-Back,,Australia
"Sun, 10/20/24",Perth Glory,Macarthur FC,Starting XI,Luis Cangá,29,Centre-Back,€600k,Ecuador
"Sun, 10/20/24",Perth Glory,Macarthur FC,Starting XI,Zach Lisolajski,19,Left-Back,€50k,Australia
"Sun, 10/20/24",Perth Glory,Macarthur FC,Starting XI,Kaelan Majekodunmi,20,Right-Back,€150k,"Australia, England"
"Sun, 10/20/24",Perth Glory,Macarthur FC,Starting XI,Luke Bodnar,24,Central Midfield,€200k,"Australia, Romania"
"Sun, 10/20/24",Perth Glory,Macarthur FC,Starting XI,Brandon O'Neill,30,Central Midfield,€350k,Australia
"Sun, 10/20/24",Perth Glory,Macarthur FC,Starting XI,Abdul Faisal,18,Left Winger,€100k,Australia
"Sun, 10/20/24",Perth Glory,Macarthur FC,Starting XI,Hiroaki Aoyama,28,Right Winger,€100k,Japan
"Sun, 10/20/24",Perth Glory,Macarthur FC,Starting XI,Taras Gomulka,23,Second Striker,€300k,"Australia, Ukraine"
"Sun, 10/20/24",Perth Glory,Macarthur FC,Starting XI,Adam Taggart,31,Centre-Forward,€750k,Australia
"Sun, 10/20/24",Perth Glory,Macarthur FC,Substitutes,Cameron Cook,23,Goalkeeper,€350k,Australia
"Sun, 10/20/24",Perth Glory,Macarthur FC,Substitutes,Anas Hamzaoui,28,Left-Back,€150k,"Belgium, Morocco"
"Sun, 10/20/24",Perth Glory,Macarthur FC,Substitutes,Adam Bugarija,19,Central Midfield,€50k,"Australia, Spain"
"Sun, 10/20/24",Perth Glory,Macarthur FC,Substitutes,Khoa Ngo,18,Right Winger,€50k,Australia
"Sun, 10/20/24",Perth Glory,Macarthur FC,Substitutes,Jarrod Carluccio,23,Right-Back,€300k,Australia
"Sun, 10/20/24",Perth Glory,Macarthur FC,Substitutes,Nikola Mileusnic,31,Left Winger,€400k,"Australia, Serbia"
"Sun, 10/20/24",Perth Glory,Macarthur FC,Substitutes,David Williams,36,Centre-Forward,€150k,"Australia, England"
