Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 10/20/24",Wellington Phoenix,Western United FC,Starting XI,Joshua Oluwayemi,23,Goalkeeper,€200k,"Nigeria, England"
"Sun, 10/20/24",Wellington Phoenix,Western United FC,Starting XI,Scott Wootton,33,Centre-Back,€300k,England
"Sun, 10/20/24",Wellington Phoenix,Western United FC,Starting XI,Isaac Hughes,20,Centre-Back,€150k,"New Zealand, England"
"Sun, 10/20/24",Wellington Phoenix,Western United FC,Starting XI,Matthew Sheridan,20,Centre-Back,€100k,New Zealand
"Sun, 10/20/24",Wellington Phoenix,Western United FC,Starting XI,Alex Rufer,28,Defensive Midfield,€600k,"New Zealand, Switzerland"
"Sun, 10/20/24",Wellington Phoenix,Western United FC,Starting XI,Fin Roa Conchie,21,Attacking Midfield,€175k,New Zealand
"Sun, 10/20/24",Wellington Phoenix,Western United FC,Starting XI,Kazuki Nagasawa,32,Attacking Midfield,€250k,Japan
"Sun, 10/20/24",Wellington Phoenix,Western United FC,Starting XI,Nathan Walker,18,Left Winger,€75k,New Zealand
"Sun, 10/20/24",Wellington Phoenix,Western United FC,Starting XI,Tim Payne,30,Right Winger,€450k,New Zealand
"Sun, 10/20/24",Wellington Phoenix,Western United FC,Starting XI,Hideki Ishige,30,Centre-Forward,€300k,Japan
"Sun, 10/20/24",Wellington Phoenix,Western United FC,Starting XI,Kosta Barbarouses,34,Centre-Forward,€400k,"New Zealand, Greece"
"Sun, 10/20/24",Wellington Phoenix,Western United FC,Substitutes,Alby Kelly-Heald,19,Goalkeeper,€175k,New Zealand
"Sun, 10/20/24",Wellington Phoenix,Western United FC,Substitutes,Corban Piper,22,Centre-Back,€250k,New Zealand
"Sun, 10/20/24",Wellington Phoenix,Western United FC,Substitutes,Jayden Smith,17,Centre-Back,€100k,"New Zealand, England"
"Sun, 10/20/24",Wellington Phoenix,Western United FC,Substitutes,Tze-xuan Loke,19,Right-Back,€100k,"New Zealand, Singapore"
"Sun, 10/20/24",Wellington Phoenix,Western United FC,Substitutes,Mohamed Al-Taay,24,Defensive Midfield,€300k,"Iraq, Australia"
"Sun, 10/20/24",Wellington Phoenix,Western United FC,Substitutes,Oskar van Hattum,22,Right Winger,€250k,"New Zealand, Austria"
"Sun, 10/20/24",Wellington Phoenix,Western United FC,Substitutes,David Ball,34,Centre-Forward,€200k,England
"Sun, 10/20/24",Western United FC,Wellington Phoenix,Starting XI,Matt Sutton,24,Goalkeeper,€200k,Australia
"Sun, 10/20/24",Western United FC,Wellington Phoenix,Starting XI,James Donachie,31,Centre-Back,€300k,Australia
"Sun, 10/20/24",Western United FC,Wellington Phoenix,Starting XI,Tomoki Imai,33,Centre-Back,€300k,Japan
"Sun, 10/20/24",Western United FC,Wellington Phoenix,Starting XI,Charbel Shamoon,20,Left-Back,€50k,"Iraq, Australia"
"Sun, 10/20/24",Western United FC,Wellington Phoenix,Starting XI,Tate Russell,25,Right-Back,€325k,Australia
"Sun, 10/20/24",Western United FC,Wellington Phoenix,Starting XI,Sebastian Pasquali,24,Central Midfield,€300k,"Australia, Italy"
"Sun, 10/20/24",Western United FC,Wellington Phoenix,Starting XI,Angus Thurgate,24,Central Midfield,€500k,Australia
"Sun, 10/20/24",Western United FC,Wellington Phoenix,Starting XI,Matthew Grimaldi,20,Left Winger,€200k,Australia
"Sun, 10/20/24",Western United FC,Wellington Phoenix,Starting XI,Riku Danzaki,24,Right Winger,€250k,Japan
"Sun, 10/20/24",Western United FC,Wellington Phoenix,Starting XI,Oli Lavale,19,Centre-Forward,€25k,Australia
"Sun, 10/20/24",Western United FC,Wellington Phoenix,Starting XI,Hiroshi Ibusuki,33,Centre-Forward,€250k,Japan
"Sun, 10/20/24",Western United FC,Wellington Phoenix,Substitutes,Tom Heward-Belle,27,Goalkeeper,€300k,Australia
"Sun, 10/20/24",Western United FC,Wellington Phoenix,Substitutes,Dylan Leonard,17,Centre-Back,,"Australia, Scotland"
"Sun, 10/20/24",Western United FC,Wellington Phoenix,Substitutes,Rhys Bozinovski,20,Central Midfield,€100k,"Australia, Malta"
"Sun, 10/20/24",Western United FC,Wellington Phoenix,Substitutes,Abel Walatee,20,Right Winger,€25k,"Australia, Ghana"
"Sun, 10/20/24",Western United FC,Wellington Phoenix,Substitutes,Jake Najdovski,19,Centre-Forward,€25k,Australia
"Sun, 10/20/24",Western United FC,Wellington Phoenix,Substitutes,Noah Botic,22,Centre-Forward,€350k,"Australia, Croatia"
"Sun, 10/20/24",Western United FC,Wellington Phoenix,Substitutes,Luke Vickery,18,Centre-Forward,€25k,Australia
