Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 10/25/24",Macarthur FC,Newcastle United Jets,Starting XI,Filip Kurto,33,Goalkeeper,€450k,Poland
"Fri, 10/25/24",Macarthur FC,Newcastle United Jets,Starting XI,Matthew Jurman,34,Centre-Back,€250k,"Australia, England"
"Fri, 10/25/24",Macarthur FC,Newcastle United Jets,Starting XI,Tomislav Uskok,33,Centre-Back,€275k,"Australia, Croatia"
"Fri, 10/25/24",Macarthur FC,Newcastle United Jets,Starting XI,Ivan Vujica,27,Left-Back,€350k,"Australia, Croatia"
"Fri, 10/25/24",Macarthur FC,Newcastle United Jets,Starting XI,Kealey Adamson,21,Right-Back,€200k,"Australia, Tanzania"
"Fri, 10/25/24",Macarthur FC,Newcastle United Jets,Starting XI,Liam Rose,27,Defensive Midfield,€250k,Australia
"Fri, 10/25/24",Macarthur FC,Newcastle United Jets,Starting XI,Luke Brattan,34,Defensive Midfield,€450k,"Australia, England"
"Fri, 10/25/24",Macarthur FC,Newcastle United Jets,Starting XI,Jake Hollman,23,Attacking Midfield,€400k,Australia
"Fri, 10/25/24",Macarthur FC,Newcastle United Jets,Starting XI,Marin Jakolis,27,Left Winger,€700k,"Croatia, Australia"
"Fri, 10/25/24",Macarthur FC,Newcastle United Jets,Starting XI,Jed Drew,21,Right Winger,€350k,Australia
"Fri, 10/25/24",Macarthur FC,Newcastle United Jets,Starting XI,Valère Germain,34,Centre-Forward,€1.00m,France
"Fri, 10/25/24",Macarthur FC,Newcastle United Jets,Substitutes,Alex Robinson,19,Goalkeeper,€25k,Australia
"Fri, 10/25/24",Macarthur FC,Newcastle United Jets,Substitutes,Dino Arslanagic,31,Centre-Back,€500k,"Belgium, Bosnia-Herzegovina"
"Fri, 10/25/24",Macarthur FC,Newcastle United Jets,Substitutes,Joshua Damevski,19,Centre-Back,€50k,Australia
"Fri, 10/25/24",Macarthur FC,Newcastle United Jets,Substitutes,Walter Scott,25,Left-Back,€100k,Australia
"Fri, 10/25/24",Macarthur FC,Newcastle United Jets,Substitutes,Daniel De Silva,27,Central Midfield,€350k,Australia
"Fri, 10/25/24",Macarthur FC,Newcastle United Jets,Substitutes,Dean Bosnjak,18,Right Winger,,Australia
"Fri, 10/25/24",Macarthur FC,Newcastle United Jets,Substitutes,Harry Sawyer,27,Centre-Forward,€125k,Australia
"Fri, 10/25/24",Newcastle United Jets,Macarthur FC,Starting XI,Ryan Scott,28,Goalkeeper,€300k,"Australia, England"
"Fri, 10/25/24",Newcastle United Jets,Macarthur FC,Starting XI,Aleksandar Susnjar,29,Centre-Back,€300k,"Australia, Serbia"
"Fri, 10/25/24",Newcastle United Jets,Macarthur FC,Starting XI,Mark Natta,21,Centre-Back,€375k,"Australia, Italy"
"Fri, 10/25/24",Newcastle United Jets,Macarthur FC,Starting XI,Daniel Wilmering,23,Left-Back,€250k,"Australia, Germany"
"Fri, 10/25/24",Newcastle United Jets,Macarthur FC,Starting XI,Dane Ingham,25,Right-Back,€400k,"New Zealand, Australia"
"Fri, 10/25/24",Newcastle United Jets,Macarthur FC,Starting XI,Kosta Grozos,24,Central Midfield,€400k,Australia
"Fri, 10/25/24",Newcastle United Jets,Macarthur FC,Starting XI,Lachlan Bayliss,22,Central Midfield,€150k,"New Zealand, Australia"
"Fri, 10/25/24",Newcastle United Jets,Macarthur FC,Starting XI,Thomas Aquilina,23,Left Winger,€350k,"Australia, Malta"
"Fri, 10/25/24",Newcastle United Jets,Macarthur FC,Starting XI,Eli Adams,22,Right Winger,€125k,Australia
"Fri, 10/25/24",Newcastle United Jets,Macarthur FC,Starting XI,Wellissol,26,Centre-Forward,€100k,Brazil
"Fri, 10/25/24",Newcastle United Jets,Macarthur FC,Starting XI,Ben Gibson,21,Centre-Forward,€75k,Australia
"Fri, 10/25/24",Newcastle United Jets,Macarthur FC,Substitutes,Noah James,23,Goalkeeper,,Australia
"Fri, 10/25/24",Newcastle United Jets,Macarthur FC,Substitutes,Phillip Cancar,23,Centre-Back,€350k,"Croatia, Australia"
"Fri, 10/25/24",Newcastle United Jets,Macarthur FC,Substitutes,Nathan Grimaldi,23,Centre-Back,€100k,"Australia, Philippines"
"Fri, 10/25/24",Newcastle United Jets,Macarthur FC,Substitutes,Matthew Scarcella,20,Central Midfield,€50k,"Australia, Italy"
"Fri, 10/25/24",Newcastle United Jets,Macarthur FC,Substitutes,Callum Timmins,24,Central Midfield,€300k,"Australia, England"
"Fri, 10/25/24",Newcastle United Jets,Macarthur FC,Substitutes,Clayton Taylor,20,Left Winger,€300k,Australia
"Fri, 10/25/24",Newcastle United Jets,Macarthur FC,Substitutes,Justin Vidic,20,Centre-Forward,€50k,Australia
