Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 10/26/24",Adelaide United,Central Coast Mariners,Starting XI,James Delianov,25,Goalkeeper,€250k,Australia
"Sat, 10/26/24",Adelaide United,Central Coast Mariners,Starting XI,Panagiotis Kikianis,19,Centre-Back,€125k,Australia
"Sat, 10/26/24",Adelaide United,Central Coast Mariners,Starting XI,Isaías Sánchez,37,Centre-Back,€175k,"Spain, Australia"
"Sat, 10/26/24",Adelaide United,Central Coast Mariners,Starting XI,Ryan Kitto,30,Left-Back,€450k,Australia
"Sat, 10/26/24",Adelaide United,Central Coast Mariners,Starting XI,Dylan Pierias,24,Right-Back,€350k,"Australia, Italy"
"Sat, 10/26/24",Adelaide United,Central Coast Mariners,Starting XI,Jay Barnett,23,Defensive Midfield,€150k,Australia
"Sat, 10/26/24",Adelaide United,Central Coast Mariners,Starting XI,Ethan Alagich,20,Defensive Midfield,€200k,Australia
"Sat, 10/26/24",Adelaide United,Central Coast Mariners,Starting XI,Stefan Mauk,29,Attacking Midfield,€600k,"Australia, Germany"
"Sat, 10/26/24",Adelaide United,Central Coast Mariners,Starting XI,Austin Ayoubi,23,Left Winger,€75k,Australia
"Sat, 10/26/24",Adelaide United,Central Coast Mariners,Starting XI,Zach Clough,29,Right Winger,€550k,England
"Sat, 10/26/24",Adelaide United,Central Coast Mariners,Starting XI,Luka Jovanovic,19,Centre-Forward,€250k,"Australia, Serbia"
"Sat, 10/26/24",Adelaide United,Central Coast Mariners,Substitutes,Ethan Cox,20,Goalkeeper,€50k,Australia
"Sat, 10/26/24",Adelaide United,Central Coast Mariners,Substitutes,Joshua Cavallo,24,Left-Back,€250k,"Australia, Italy"
"Sat, 10/26/24",Adelaide United,Central Coast Mariners,Substitutes,Javi López,38,Centre-Back,€175k,Spain
"Sat, 10/26/24",Adelaide United,Central Coast Mariners,Substitutes,Jonny Yull,19,Attacking Midfield,€250k,"Australia, England"
"Sat, 10/26/24",Adelaide United,Central Coast Mariners,Substitutes,Ryan White,20,Left Winger,€50k,Australia
"Sat, 10/26/24",Adelaide United,Central Coast Mariners,Substitutes,Ben Folami,25,Left Winger,€400k,"Australia, Nigeria"
"Sat, 10/26/24",Adelaide United,Central Coast Mariners,Substitutes,Archie Goodwin,19,Centre-Forward,€225k,Australia
"Sat, 10/26/24",Central Coast Mariners,Adelaide United,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€25k,Australia
"Sat, 10/26/24",Central Coast Mariners,Adelaide United,Starting XI,Brian Kaltak,31,Centre-Back,€450k,Vanuatu
"Sat, 10/26/24",Central Coast Mariners,Adelaide United,Starting XI,Brad Tapp,23,Centre-Back,€225k,Australia
"Sat, 10/26/24",Central Coast Mariners,Adelaide United,Starting XI,Lucas Mauragis,23,Left-Back,€400k,"Australia, Lithuania"
"Sat, 10/26/24",Central Coast Mariners,Adelaide United,Starting XI,Storm Roux,31,Right-Back,€350k,"New Zealand, Australia"
"Sat, 10/26/24",Central Coast Mariners,Adelaide United,Starting XI,Harrison Steele,22,Central Midfield,€250k,Australia
"Sat, 10/26/24",Central Coast Mariners,Adelaide United,Starting XI,Alfie McCalmont,24,Central Midfield,€175k,"Northern Ireland, England"
"Sat, 10/26/24",Central Coast Mariners,Adelaide United,Starting XI,Mikael Doka,24,Left Winger,€400k,Brazil
"Sat, 10/26/24",Central Coast Mariners,Adelaide United,Starting XI,Bailey Brandtman,19,Right Winger,€75k,Australia
"Sat, 10/26/24",Central Coast Mariners,Adelaide United,Starting XI,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Sat, 10/26/24",Central Coast Mariners,Adelaide United,Starting XI,Ryan Edmondson,23,Centre-Forward,€300k,England
"Sat, 10/26/24",Central Coast Mariners,Adelaide United,Substitutes,Adam Pavlesic,22,Goalkeeper,€100k,"Australia, Croatia"
"Sat, 10/26/24",Central Coast Mariners,Adelaide United,Substitutes,Nathan Paull,21,Centre-Back,€150k,Australia
"Sat, 10/26/24",Central Coast Mariners,Adelaide United,Substitutes,Sasha Kuzevski,23,Right-Back,€50k,Australia
"Sat, 10/26/24",Central Coast Mariners,Adelaide United,Substitutes,Haine Eames,16,Attacking Midfield,,Australia
"Sat, 10/26/24",Central Coast Mariners,Adelaide United,Substitutes,Vitor Feijão,28,Right Winger,€150k,Brazil
"Sat, 10/26/24",Central Coast Mariners,Adelaide United,Substitutes,Sabit James Ngor,23,Left Winger,€100k,"Australia, Southern Sudan"
"Sat, 10/26/24",Central Coast Mariners,Adelaide United,Substitutes,Nicholas Duarte,20,Centre-Forward,€25k,Australia
