Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 10/26/24",Melbourne City FC,Melbourne Victory,Starting XI,Patrick Beach,21,Goalkeeper,€100k,Australia
"Sat, 10/26/24",Melbourne City FC,Melbourne Victory,Starting XI,Samuel Souprayen,35,Centre-Back,€100k,"France, Réunion"
"Sat, 10/26/24",Melbourne City FC,Melbourne Victory,Starting XI,Germán Ferreyra,28,Centre-Back,€450k,Argentina
"Sat, 10/26/24",Melbourne City FC,Melbourne Victory,Starting XI,Aziz Behich,33,Left-Back,€400k,"Australia, Türkiye"
"Sat, 10/26/24",Melbourne City FC,Melbourne Victory,Starting XI,Callum Talbot,23,Right-Back,€350k,"Australia, Malta"
"Sat, 10/26/24",Melbourne City FC,Melbourne Victory,Starting XI,Kai Trewin,23,Central Midfield,€400k,Australia
"Sat, 10/26/24",Melbourne City FC,Melbourne Victory,Starting XI,Nathaniel Atkinson,25,Central Midfield,€800k,Australia
"Sat, 10/26/24",Melbourne City FC,Melbourne Victory,Starting XI,Marco Tilio,23,Left Winger,€1.20m,Australia
"Sat, 10/26/24",Melbourne City FC,Melbourne Victory,Starting XI,Yonatan Cohen,28,Right Winger,€350k,"Israel, Poland"
"Sat, 10/26/24",Melbourne City FC,Melbourne Victory,Starting XI,Steven Ugarkovic,30,Second Striker,€450k,"Australia, Croatia"
"Sat, 10/26/24",Melbourne City FC,Melbourne Victory,Starting XI,Andrew Nabbout,31,Centre-Forward,€550k,"Australia, Lebanon"
"Sat, 10/26/24",Melbourne City FC,Melbourne Victory,Substitutes,Jamie Young,39,Goalkeeper,€200k,"England, Australia"
"Sat, 10/26/24",Melbourne City FC,Melbourne Victory,Substitutes,Harry Politidis,22,Left Winger,€100k,Australia
"Sat, 10/26/24",Melbourne City FC,Melbourne Victory,Substitutes,Zane Schreiber,19,Central Midfield,€50k,Australia
"Sat, 10/26/24",Melbourne City FC,Melbourne Victory,Substitutes,Andreas Kuen,29,Central Midfield,€450k,Austria
"Sat, 10/26/24",Melbourne City FC,Melbourne Victory,Substitutes,Benjamin Dunbar,18,Central Midfield,,Australia
"Sat, 10/26/24",Melbourne City FC,Melbourne Victory,Substitutes,Kavian Rahmani,17,Left Winger,,Australia
"Sat, 10/26/24",Melbourne City FC,Melbourne Victory,Substitutes,Arion Sulemani,19,Centre-Forward,€25k,Australia
"Sat, 10/26/24",Melbourne Victory,Melbourne City FC,Starting XI,Jack Duncan,31,Goalkeeper,€250k,Australia
"Sat, 10/26/24",Melbourne Victory,Melbourne City FC,Starting XI,Brendan Hamill,32,Centre-Back,€350k,"Australia, Ireland"
"Sat, 10/26/24",Melbourne Victory,Melbourne City FC,Starting XI,Joshua Rawlins,20,Centre-Back,€250k,Australia
"Sat, 10/26/24",Melbourne Victory,Melbourne City FC,Starting XI,Kasey Bos,20,Left-Back,€150k,"Australia, Netherlands"
"Sat, 10/26/24",Melbourne Victory,Melbourne City FC,Starting XI,Jason Geria,31,Right-Back,€500k,"Australia, Uganda"
"Sat, 10/26/24",Melbourne Victory,Melbourne City FC,Starting XI,Ryan Teague,22,Defensive Midfield,€400k,Australia
"Sat, 10/26/24",Melbourne Victory,Melbourne City FC,Starting XI,Jordi Valadon,21,Defensive Midfield,€125k,Australia
"Sat, 10/26/24",Melbourne Victory,Melbourne City FC,Starting XI,Zinédine Machach,28,Attacking Midfield,€600k,"France, Morocco"
"Sat, 10/26/24",Melbourne Victory,Melbourne City FC,Starting XI,Reno Piscopo,26,Left Winger,€450k,"Australia, Italy"
"Sat, 10/26/24",Melbourne Victory,Melbourne City FC,Starting XI,Nishan Velupillay,23,Right Winger,€350k,"Australia, Sri Lanka"
"Sat, 10/26/24",Melbourne Victory,Melbourne City FC,Starting XI,Nikolaos Vergos,28,Centre-Forward,€450k,Greece
"Sat, 10/26/24",Melbourne Victory,Melbourne City FC,Substitutes,Daniel Graskoski,17,Goalkeeper,,Australia
"Sat, 10/26/24",Melbourne Victory,Melbourne City FC,Substitutes,Adama Traoré,34,Left-Back,€175k,"Cote d'Ivoire, Australia"
"Sat, 10/26/24",Melbourne Victory,Melbourne City FC,Substitutes,Fabian Monge,23,Central Midfield,€200k,Australia
"Sat, 10/26/24",Melbourne Victory,Melbourne City FC,Substitutes,Clarismario,23,Attacking Midfield,€450k,Brazil
"Sat, 10/26/24",Melbourne Victory,Melbourne City FC,Substitutes,Daniel Arzani,25,Left Winger,€500k,Australia
"Sat, 10/26/24",Melbourne Victory,Melbourne City FC,Substitutes,Jing Reec,21,Centre-Forward,€150k,"Australia, Southern Sudan"
"Sat, 10/26/24",Melbourne Victory,Melbourne City FC,Substitutes,Bruno Fornaroli,37,Centre-Forward,€450k,"Australia, Uruguay"
