Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 10/26/24",Perth Glory,Wellington Phoenix,Starting XI,Oliver Sail,28,Goalkeeper,€500k,"New Zealand, Australia"
"Sat, 10/26/24",Perth Glory,Wellington Phoenix,Starting XI,Lachlan Barr,30,Centre-Back,€150k,"Australia, England"
"Sat, 10/26/24",Perth Glory,Wellington Phoenix,Starting XI,Luis Cangá,29,Centre-Back,€600k,Ecuador
"Sat, 10/26/24",Perth Glory,Wellington Phoenix,Starting XI,Anas Hamzaoui,28,Left-Back,€150k,"Belgium, Morocco"
"Sat, 10/26/24",Perth Glory,Wellington Phoenix,Starting XI,Jarrod Carluccio,23,Right-Back,€300k,Australia
"Sat, 10/26/24",Perth Glory,Wellington Phoenix,Starting XI,Brandon O'Neill,30,Defensive Midfield,€350k,Australia
"Sat, 10/26/24",Perth Glory,Wellington Phoenix,Starting XI,Taras Gomulka,23,Defensive Midfield,€300k,"Australia, Ukraine"
"Sat, 10/26/24",Perth Glory,Wellington Phoenix,Starting XI,Adam Bugarija,19,Attacking Midfield,€50k,"Australia, Spain"
"Sat, 10/26/24",Perth Glory,Wellington Phoenix,Starting XI,Abdul Faisal,18,Left Winger,€100k,Australia
"Sat, 10/26/24",Perth Glory,Wellington Phoenix,Starting XI,Hiroaki Aoyama,28,Right Winger,€100k,Japan
"Sat, 10/26/24",Perth Glory,Wellington Phoenix,Starting XI,Adam Taggart,31,Centre-Forward,€750k,Australia
"Sat, 10/26/24",Perth Glory,Wellington Phoenix,Substitutes,Cameron Cook,23,Goalkeeper,€350k,Australia
"Sat, 10/26/24",Perth Glory,Wellington Phoenix,Substitutes,Andriano Lebib,18,Centre-Back,,Australia
"Sat, 10/26/24",Perth Glory,Wellington Phoenix,Substitutes,Zach Lisolajski,19,Left-Back,€50k,Australia
"Sat, 10/26/24",Perth Glory,Wellington Phoenix,Substitutes,Nicholas Pennington,25,Central Midfield,€350k,"Australia, Italy"
"Sat, 10/26/24",Perth Glory,Wellington Phoenix,Substitutes,Khoa Ngo,18,Right Winger,€50k,Australia
"Sat, 10/26/24",Perth Glory,Wellington Phoenix,Substitutes,David Williams,36,Left Winger,€150k,"Australia, England"
"Sat, 10/26/24",Perth Glory,Wellington Phoenix,Substitutes,Nathanael Blair,20,Centre-Forward,€100k,Australia
"Sat, 10/26/24",Wellington Phoenix,Perth Glory,Starting XI,Joshua Oluwayemi,23,Goalkeeper,€200k,"Nigeria, England"
"Sat, 10/26/24",Wellington Phoenix,Perth Glory,Starting XI,Scott Wootton,33,Centre-Back,€300k,England
"Sat, 10/26/24",Wellington Phoenix,Perth Glory,Starting XI,Isaac Hughes,20,Centre-Back,€150k,"New Zealand, England"
"Sat, 10/26/24",Wellington Phoenix,Perth Glory,Starting XI,Matthew Sheridan,20,Centre-Back,€100k,New Zealand
"Sat, 10/26/24",Wellington Phoenix,Perth Glory,Starting XI,Sam Sutton,22,Left-Back,€350k,"New Zealand, England"
"Sat, 10/26/24",Wellington Phoenix,Perth Glory,Starting XI,Tim Payne,30,Right-Back,€450k,New Zealand
"Sat, 10/26/24",Wellington Phoenix,Perth Glory,Starting XI,Alex Rufer,28,Defensive Midfield,€600k,"New Zealand, Switzerland"
"Sat, 10/26/24",Wellington Phoenix,Perth Glory,Starting XI,Fin Roa Conchie,21,Defensive Midfield,€175k,New Zealand
"Sat, 10/26/24",Wellington Phoenix,Perth Glory,Starting XI,Kazuki Nagasawa,32,Central Midfield,€250k,Japan
"Sat, 10/26/24",Wellington Phoenix,Perth Glory,Starting XI,Hideki Ishige,30,Second Striker,€300k,Japan
"Sat, 10/26/24",Wellington Phoenix,Perth Glory,Starting XI,Kosta Barbarouses,34,Centre-Forward,€400k,"New Zealand, Greece"
"Sat, 10/26/24",Wellington Phoenix,Perth Glory,Substitutes,Alby Kelly-Heald,19,Goalkeeper,€175k,New Zealand
"Sat, 10/26/24",Wellington Phoenix,Perth Glory,Substitutes,Corban Piper,22,Centre-Back,€250k,New Zealand
"Sat, 10/26/24",Wellington Phoenix,Perth Glory,Substitutes,Tze-xuan Loke,19,Right-Back,€100k,"New Zealand, Singapore"
"Sat, 10/26/24",Wellington Phoenix,Perth Glory,Substitutes,Mohamed Al-Taay,24,Defensive Midfield,€300k,"Iraq, Australia"
"Sat, 10/26/24",Wellington Phoenix,Perth Glory,Substitutes,Nathan Walker,18,Left Winger,€75k,New Zealand
"Sat, 10/26/24",Wellington Phoenix,Perth Glory,Substitutes,Oskar van Hattum,22,Right Winger,€250k,"New Zealand, Austria"
"Sat, 10/26/24",Wellington Phoenix,Perth Glory,Substitutes,Stefan Colakovski,24,Centre-Forward,€350k,"North Macedonia, Australia"
