Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 10/27/24",Western United FC,Western Sydney Wanderers,Starting XI,Matt Sutton,24,Goalkeeper,€200k,Australia
"Sun, 10/27/24",Western United FC,Western Sydney Wanderers,Starting XI,Tomoki Imai,33,Centre-Back,€300k,Japan
"Sun, 10/27/24",Western United FC,Western Sydney Wanderers,Starting XI,Dylan Leonard,17,Centre-Back,,"Australia, Scotland"
"Sun, 10/27/24",Western United FC,Western Sydney Wanderers,Starting XI,Charbel Shamoon,20,Left-Back,€50k,"Iraq, Australia"
"Sun, 10/27/24",Western United FC,Western Sydney Wanderers,Starting XI,Tate Russell,25,Right-Back,€325k,Australia
"Sun, 10/27/24",Western United FC,Western Sydney Wanderers,Starting XI,Sebastian Pasquali,24,Central Midfield,€300k,"Australia, Italy"
"Sun, 10/27/24",Western United FC,Western Sydney Wanderers,Starting XI,Angus Thurgate,24,Central Midfield,€500k,Australia
"Sun, 10/27/24",Western United FC,Western Sydney Wanderers,Starting XI,Matthew Grimaldi,20,Left Winger,€200k,Australia
"Sun, 10/27/24",Western United FC,Western Sydney Wanderers,Starting XI,Riku Danzaki,24,Right Winger,€250k,Japan
"Sun, 10/27/24",Western United FC,Western Sydney Wanderers,Starting XI,Oli Lavale,19,Centre-Forward,€25k,Australia
"Sun, 10/27/24",Western United FC,Western Sydney Wanderers,Starting XI,Hiroshi Ibusuki,33,Centre-Forward,€250k,Japan
"Sun, 10/27/24",Western United FC,Western Sydney Wanderers,Substitutes,Tom Heward-Belle,27,Goalkeeper,€300k,Australia
"Sun, 10/27/24",Western United FC,Western Sydney Wanderers,Substitutes,Kane Vidmar,20,Centre-Back,€200k,"Australia, Wales"
"Sun, 10/27/24",Western United FC,Western Sydney Wanderers,Substitutes,Rhys Bozinovski,20,Central Midfield,€100k,"Australia, Malta"
"Sun, 10/27/24",Western United FC,Western Sydney Wanderers,Substitutes,James York,19,Central Midfield,€25k,"Australia, Scotland"
"Sun, 10/27/24",Western United FC,Western Sydney Wanderers,Substitutes,Abel Walatee,20,Right Winger,€25k,"Australia, Ghana"
"Sun, 10/27/24",Western United FC,Western Sydney Wanderers,Substitutes,Jake Najdovski,19,Centre-Forward,€25k,Australia
"Sun, 10/27/24",Western United FC,Western Sydney Wanderers,Substitutes,Noah Botic,22,Centre-Forward,€350k,"Australia, Croatia"
"Sun, 10/27/24",Western Sydney Wanderers,Western United FC,Starting XI,Tristan Vidackovic,21,Goalkeeper,,Australia
"Sun, 10/27/24",Western Sydney Wanderers,Western United FC,Starting XI,Alex Bonetig,22,Centre-Back,€200k,Australia
"Sun, 10/27/24",Western Sydney Wanderers,Western United FC,Starting XI,Tae-wook Jeong,27,Centre-Back,€700k,"Korea, South"
"Sun, 10/27/24",Western Sydney Wanderers,Western United FC,Starting XI,Jack Clisby,32,Left-Back,€400k,Australia
"Sun, 10/27/24",Western Sydney Wanderers,Western United FC,Starting XI,Gabriel Cléùr,26,Right-Back,€350k,"Australia, Italy"
"Sun, 10/27/24",Western Sydney Wanderers,Western United FC,Starting XI,Joshua Brillante,31,Central Midfield,€450k,"Australia, Italy"
"Sun, 10/27/24",Western Sydney Wanderers,Western United FC,Starting XI,Oscar Priestman,21,Central Midfield,€250k,Australia
"Sun, 10/27/24",Western Sydney Wanderers,Western United FC,Starting XI,Juan Mata,36,Attacking Midfield,€700k,Spain
"Sun, 10/27/24",Western Sydney Wanderers,Western United FC,Starting XI,Nicolas Milanovic,22,Left Winger,€450k,"Australia, Croatia"
"Sun, 10/27/24",Western Sydney Wanderers,Western United FC,Starting XI,Bozhidar Kraev,27,Right Winger,€750k,Bulgaria
"Sun, 10/27/24",Western Sydney Wanderers,Western United FC,Starting XI,Brandon Borrello,29,Centre-Forward,€700k,"Australia, Italy"
"Sun, 10/27/24",Western Sydney Wanderers,Western United FC,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Sun, 10/27/24",Western Sydney Wanderers,Western United FC,Substitutes,Tom Beadling,28,Centre-Back,€300k,"Australia, England"
"Sun, 10/27/24",Western Sydney Wanderers,Western United FC,Substitutes,Aidan Simmons,21,Left Winger,€350k,Australia
"Sun, 10/27/24",Western Sydney Wanderers,Western United FC,Substitutes,Dylan Scicluna,20,Central Midfield,€100k,"Malta, Australia"
"Sun, 10/27/24",Western Sydney Wanderers,Western United FC,Substitutes,Ben Holliday,22,Centre-Forward,€75k,Australia
"Sun, 10/27/24",Western Sydney Wanderers,Western United FC,Substitutes,Aydan Hammond,20,Right Winger,€50k,"Australia, Peru"
"Sun, 10/27/24",Western Sydney Wanderers,Western United FC,Substitutes,Marcus Antonsson,33,Centre-Forward,€600k,Sweden
