Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 11/1/24",Brisbane Roar,Sydney FC,Starting XI,Macklin Freke,25,Goalkeeper,€300k,"Australia, New Zealand"
"Fri, 11/1/24",Brisbane Roar,Sydney FC,Starting XI,Ben Warland,28,Centre-Back,€300k,Australia
"Fri, 11/1/24",Brisbane Roar,Sydney FC,Starting XI,Hosine Bility,23,Centre-Back,€50k,"Australia, Guinea"
"Fri, 11/1/24",Brisbane Roar,Sydney FC,Starting XI,Corey Brown,30,Left-Back,€250k,Australia
"Fri, 11/1/24",Brisbane Roar,Sydney FC,Starting XI,Harry Van der Saag,25,Right-Back,€250k,"Australia, Netherlands"
"Fri, 11/1/24",Brisbane Roar,Sydney FC,Starting XI,Walid Shour,28,Defensive Midfield,€325k,"Lebanon, Sierra Leone"
"Fri, 11/1/24",Brisbane Roar,Sydney FC,Starting XI,Jay O'Shea,36,Defensive Midfield,€300k,Ireland
"Fri, 11/1/24",Brisbane Roar,Sydney FC,Starting XI,Keegan Jelacic,22,Left Winger,€300k,"Australia, New Zealand"
"Fri, 11/1/24",Brisbane Roar,Sydney FC,Starting XI,Antonee Burke-Gilroy,27,Right Winger,€250k,"Australia, England"
"Fri, 11/1/24",Brisbane Roar,Sydney FC,Starting XI,Ben Halloran,32,Centre-Forward,€400k,Australia
"Fri, 11/1/24",Brisbane Roar,Sydney FC,Starting XI,Thomas Waddingham,19,Centre-Forward,€350k,"Australia, England"
"Fri, 11/1/24",Brisbane Roar,Sydney FC,Substitutes,Matt Acton,32,Goalkeeper,€200k,"Australia, Finland"
"Fri, 11/1/24",Brisbane Roar,Sydney FC,Substitutes,Lucas Herrington,17,Centre-Back,,Australia
"Fri, 11/1/24",Brisbane Roar,Sydney FC,Substitutes,Louis Zabala,23,Left-Back,€175k,Australia
"Fri, 11/1/24",Brisbane Roar,Sydney FC,Substitutes,Jack Hingert,34,Right-Back,€175k,"Sri Lanka, Australia"
"Fri, 11/1/24",Brisbane Roar,Sydney FC,Substitutes,Quinn MacNicol,16,Central Midfield,,Australia
"Fri, 11/1/24",Brisbane Roar,Sydney FC,Substitutes,Florin Bérenguer,35,Attacking Midfield,€300k,France
"Fri, 11/1/24",Brisbane Roar,Sydney FC,Substitutes,Rafael Struick,21,Centre-Forward,€75k,"Indonesia, Netherlands"
"Fri, 11/1/24",Sydney FC,Brisbane Roar,Starting XI,Andrew Redmayne,35,Goalkeeper,€400k,Australia
"Fri, 11/1/24",Sydney FC,Brisbane Roar,Starting XI,Hayden Matthews,20,Centre-Back,€300k,Australia
"Fri, 11/1/24",Sydney FC,Brisbane Roar,Starting XI,Alexandar Popovic,22,Centre-Back,€325k,Australia
"Fri, 11/1/24",Sydney FC,Brisbane Roar,Starting XI,Joel King,24,Left-Back,€500k,Australia
"Fri, 11/1/24",Sydney FC,Brisbane Roar,Starting XI,Rhyan Grant,33,Right-Back,€500k,Australia
"Fri, 11/1/24",Sydney FC,Brisbane Roar,Starting XI,Léo Sena,28,Defensive Midfield,€500k,Brazil
"Fri, 11/1/24",Sydney FC,Brisbane Roar,Starting XI,Anthony Cáceres,32,Defensive Midfield,€600k,"Australia, Uruguay"
"Fri, 11/1/24",Sydney FC,Brisbane Roar,Starting XI,Anas Ouahim,27,Attacking Midfield,€500k,"Morocco, Germany"
"Fri, 11/1/24",Sydney FC,Brisbane Roar,Starting XI,Jordan Courtney-Perkins,21,Left Winger,€400k,Australia
"Fri, 11/1/24",Sydney FC,Brisbane Roar,Starting XI,Max Burgess,29,Right Winger,€500k,Australia
"Fri, 11/1/24",Sydney FC,Brisbane Roar,Starting XI,Patryk Klimala,26,Centre-Forward,€600k,Poland
"Fri, 11/1/24",Sydney FC,Brisbane Roar,Substitutes,Harrison Devenish-Meares,28,Goalkeeper,€25k,Australia
"Fri, 11/1/24",Sydney FC,Brisbane Roar,Substitutes,Will Kennedy,19,Left-Back,,"Australia, England"
"Fri, 11/1/24",Sydney FC,Brisbane Roar,Substitutes,Tiago Quintal,18,Attacking Midfield,€50k,"Australia, Portugal"
"Fri, 11/1/24",Sydney FC,Brisbane Roar,Substitutes,Jaiden Kucharski,22,Left Winger,€350k,"Australia, Poland"
"Fri, 11/1/24",Sydney FC,Brisbane Roar,Substitutes,Marin France,17,Left Winger,€50k,Australia
"Fri, 11/1/24",Sydney FC,Brisbane Roar,Substitutes,Adrian Segecic,20,Attacking Midfield,€400k,"Australia, Croatia"
"Fri, 11/1/24",Sydney FC,Brisbane Roar,Substitutes,Patrick Wood,22,Centre-Forward,€350k,Australia
