Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 11/2/24",Central Coast Mariners,Perth Glory,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€25k,Australia
"Sat, 11/2/24",Central Coast Mariners,Perth Glory,Starting XI,Nathan Paull,21,Centre-Back,€150k,Australia
"Sat, 11/2/24",Central Coast Mariners,Perth Glory,Starting XI,Brian Kaltak,31,Centre-Back,€450k,Vanuatu
"Sat, 11/2/24",Central Coast Mariners,Perth Glory,Starting XI,Brad Tapp,23,Centre-Back,€225k,Australia
"Sat, 11/2/24",Central Coast Mariners,Perth Glory,Starting XI,Lucas Mauragis,23,Left-Back,€400k,"Australia, Lithuania"
"Sat, 11/2/24",Central Coast Mariners,Perth Glory,Starting XI,Sasha Kuzevski,23,Right-Back,€50k,Australia
"Sat, 11/2/24",Central Coast Mariners,Perth Glory,Starting XI,Harrison Steele,22,Defensive Midfield,€250k,Australia
"Sat, 11/2/24",Central Coast Mariners,Perth Glory,Starting XI,Alfie McCalmont,24,Defensive Midfield,€175k,"Northern Ireland, England"
"Sat, 11/2/24",Central Coast Mariners,Perth Glory,Starting XI,Mikael Doka,24,Attacking Midfield,€400k,Brazil
"Sat, 11/2/24",Central Coast Mariners,Perth Glory,Starting XI,Bailey Brandtman,19,Centre-Forward,€75k,Australia
"Sat, 11/2/24",Central Coast Mariners,Perth Glory,Starting XI,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Sat, 11/2/24",Central Coast Mariners,Perth Glory,Substitutes,Adam Pavlesic,22,Goalkeeper,€100k,"Australia, Croatia"
"Sat, 11/2/24",Central Coast Mariners,Perth Glory,Substitutes,Diesel Herrington,20,Centre-Back,€150k,Australia
"Sat, 11/2/24",Central Coast Mariners,Perth Glory,Substitutes,Storm Roux,31,Right-Back,€350k,"New Zealand, Australia"
"Sat, 11/2/24",Central Coast Mariners,Perth Glory,Substitutes,Haine Eames,16,Central Midfield,,Australia
"Sat, 11/2/24",Central Coast Mariners,Perth Glory,Substitutes,Vitor Feijão,28,Centre-Forward,€150k,Brazil
"Sat, 11/2/24",Central Coast Mariners,Perth Glory,Substitutes,Sabit James Ngor,23,Right Winger,€100k,"Australia, Southern Sudan"
"Sat, 11/2/24",Central Coast Mariners,Perth Glory,Substitutes,Ryan Edmondson,23,Centre-Forward,€300k,England
"Sat, 11/2/24",Perth Glory,Central Coast Mariners,Starting XI,Oliver Sail,28,Goalkeeper,€500k,"New Zealand, Australia"
"Sat, 11/2/24",Perth Glory,Central Coast Mariners,Starting XI,Lachlan Barr,30,Centre-Back,€150k,"Australia, England"
"Sat, 11/2/24",Perth Glory,Central Coast Mariners,Starting XI,Luis Cangá,29,Centre-Back,€600k,Ecuador
"Sat, 11/2/24",Perth Glory,Central Coast Mariners,Starting XI,Zach Lisolajski,19,Left-Back,€50k,Australia
"Sat, 11/2/24",Perth Glory,Central Coast Mariners,Starting XI,Jarrod Carluccio,23,Right-Back,€300k,Australia
"Sat, 11/2/24",Perth Glory,Central Coast Mariners,Starting XI,Brandon O'Neill,30,Defensive Midfield,€350k,Australia
"Sat, 11/2/24",Perth Glory,Central Coast Mariners,Starting XI,Taras Gomulka,23,Defensive Midfield,€300k,"Australia, Ukraine"
"Sat, 11/2/24",Perth Glory,Central Coast Mariners,Starting XI,Hiroaki Aoyama,28,Attacking Midfield,€100k,Japan
"Sat, 11/2/24",Perth Glory,Central Coast Mariners,Starting XI,Abdul Faisal,19,Left Winger,€100k,Australia
"Sat, 11/2/24",Perth Glory,Central Coast Mariners,Starting XI,David Williams,36,Right Winger,€150k,"Australia, England"
"Sat, 11/2/24",Perth Glory,Central Coast Mariners,Starting XI,Adam Taggart,31,Centre-Forward,€750k,Australia
"Sat, 11/2/24",Perth Glory,Central Coast Mariners,Substitutes,Cameron Cook,23,Goalkeeper,€350k,Australia
"Sat, 11/2/24",Perth Glory,Central Coast Mariners,Substitutes,Andriano Lebib,18,Centre-Back,,Australia
"Sat, 11/2/24",Perth Glory,Central Coast Mariners,Substitutes,Nicholas Pennington,25,Defensive Midfield,€350k,"Australia, Italy"
"Sat, 11/2/24",Perth Glory,Central Coast Mariners,Substitutes,Adam Bugarija,19,Attacking Midfield,€50k,"Australia, Spain"
"Sat, 11/2/24",Perth Glory,Central Coast Mariners,Substitutes,Khoa Ngo,18,Left Winger,€50k,Australia
"Sat, 11/2/24",Perth Glory,Central Coast Mariners,Substitutes,Trent Ostler,22,Right Winger,€200k,Australia
"Sat, 11/2/24",Perth Glory,Central Coast Mariners,Substitutes,Nathanael Blair,20,Right Winger,€100k,Australia
