Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 11/2/24",Western Sydney Wanderers,Adelaide United,Starting XI,Tristan Vidackovic,21,Goalkeeper,,Australia
"Sat, 11/2/24",Western Sydney Wanderers,Adelaide United,Starting XI,Alex Bonetig,22,Centre-Back,€200k,Australia
"Sat, 11/2/24",Western Sydney Wanderers,Adelaide United,Starting XI,Tae-wook Jeong,27,Centre-Back,€700k,"Korea, South"
"Sat, 11/2/24",Western Sydney Wanderers,Adelaide United,Starting XI,Jack Clisby,32,Left-Back,€400k,Australia
"Sat, 11/2/24",Western Sydney Wanderers,Adelaide United,Starting XI,Gabriel Cléùr,26,Right-Back,€350k,"Australia, Italy"
"Sat, 11/2/24",Western Sydney Wanderers,Adelaide United,Starting XI,Joshua Brillante,31,Defensive Midfield,€450k,"Australia, Italy"
"Sat, 11/2/24",Western Sydney Wanderers,Adelaide United,Starting XI,Oscar Priestman,21,Defensive Midfield,€250k,Australia
"Sat, 11/2/24",Western Sydney Wanderers,Adelaide United,Starting XI,Bozhidar Kraev,27,Left Winger,€750k,Bulgaria
"Sat, 11/2/24",Western Sydney Wanderers,Adelaide United,Starting XI,Nicolas Milanovic,22,Right Winger,€450k,"Australia, Croatia"
"Sat, 11/2/24",Western Sydney Wanderers,Adelaide United,Starting XI,Juan Mata,36,Second Striker,€700k,Spain
"Sat, 11/2/24",Western Sydney Wanderers,Adelaide United,Starting XI,Brandon Borrello,29,Centre-Forward,€700k,"Australia, Italy"
"Sat, 11/2/24",Western Sydney Wanderers,Adelaide United,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Sat, 11/2/24",Western Sydney Wanderers,Adelaide United,Substitutes,Anthony Pantazopoulos,21,Right-Back,€50k,Australia
"Sat, 11/2/24",Western Sydney Wanderers,Adelaide United,Substitutes,Dylan Scicluna,20,Defensive Midfield,€100k,"Malta, Australia"
"Sat, 11/2/24",Western Sydney Wanderers,Adelaide United,Substitutes,Ben Holliday,22,Left Winger,€75k,Australia
"Sat, 11/2/24",Western Sydney Wanderers,Adelaide United,Substitutes,Aydan Hammond,20,Right Winger,€50k,"Australia, Peru"
"Sat, 11/2/24",Western Sydney Wanderers,Adelaide United,Substitutes,Zachary Sapsford,22,Centre-Forward,€150k,Australia
"Sat, 11/2/24",Western Sydney Wanderers,Adelaide United,Substitutes,Marcus Antonsson,33,Centre-Forward,€600k,Sweden
"Sat, 11/2/24",Adelaide United,Western Sydney Wanderers,Starting XI,James Delianov,25,Goalkeeper,€250k,Australia
"Sat, 11/2/24",Adelaide United,Western Sydney Wanderers,Starting XI,Panagiotis Kikianis,19,Centre-Back,€125k,Australia
"Sat, 11/2/24",Adelaide United,Western Sydney Wanderers,Starting XI,Isaías Sánchez,37,Centre-Back,€175k,"Spain, Australia"
"Sat, 11/2/24",Adelaide United,Western Sydney Wanderers,Starting XI,Ryan Kitto,30,Left-Back,€450k,Australia
"Sat, 11/2/24",Adelaide United,Western Sydney Wanderers,Starting XI,Dylan Pierias,24,Right-Back,€350k,"Australia, Italy"
"Sat, 11/2/24",Adelaide United,Western Sydney Wanderers,Starting XI,Jay Barnett,23,Defensive Midfield,€150k,Australia
"Sat, 11/2/24",Adelaide United,Western Sydney Wanderers,Starting XI,Ethan Alagich,20,Defensive Midfield,€200k,Australia
"Sat, 11/2/24",Adelaide United,Western Sydney Wanderers,Starting XI,Stefan Mauk,29,Attacking Midfield,€600k,"Australia, Germany"
"Sat, 11/2/24",Adelaide United,Western Sydney Wanderers,Starting XI,Austin Ayoubi,23,Left Winger,€75k,Australia
"Sat, 11/2/24",Adelaide United,Western Sydney Wanderers,Starting XI,Zach Clough,29,Right Winger,€550k,England
"Sat, 11/2/24",Adelaide United,Western Sydney Wanderers,Starting XI,Luka Jovanovic,19,Centre-Forward,€250k,"Australia, Serbia"
"Sat, 11/2/24",Adelaide United,Western Sydney Wanderers,Substitutes,Ethan Cox,20,Goalkeeper,€50k,Australia
"Sat, 11/2/24",Adelaide United,Western Sydney Wanderers,Substitutes,Javi López,38,Right-Back,€175k,Spain
"Sat, 11/2/24",Adelaide United,Western Sydney Wanderers,Substitutes,Jonny Yull,19,Central Midfield,€250k,"Australia, England"
"Sat, 11/2/24",Adelaide United,Western Sydney Wanderers,Substitutes,Panashe Madanha,20,Right Winger,€100k,"Australia, Zimbabwe"
"Sat, 11/2/24",Adelaide United,Western Sydney Wanderers,Substitutes,Ryan White,20,Attacking Midfield,€50k,Australia
"Sat, 11/2/24",Adelaide United,Western Sydney Wanderers,Substitutes,Ben Folami,25,Left Winger,€400k,"Australia, Nigeria"
"Sat, 11/2/24",Adelaide United,Western Sydney Wanderers,Substitutes,Archie Goodwin,19,Centre-Forward,€225k,Australia
