Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 11/3/24",Melbourne Victory,Macarthur FC,Starting XI,Jack Duncan,31,Goalkeeper,€250k,Australia
"Sun, 11/3/24",Melbourne Victory,Macarthur FC,Starting XI,Brendan Hamill,32,Centre-Back,€350k,"Australia, Ireland"
"Sun, 11/3/24",Melbourne Victory,Macarthur FC,Starting XI,Roderick Miranda,33,Centre-Back,€750k,"Portugal, Brazil"
"Sun, 11/3/24",Melbourne Victory,Macarthur FC,Starting XI,Kasey Bos,20,Left-Back,€150k,"Australia, Netherlands"
"Sun, 11/3/24",Melbourne Victory,Macarthur FC,Starting XI,Jason Geria,31,Right-Back,€500k,"Australia, Uganda"
"Sun, 11/3/24",Melbourne Victory,Macarthur FC,Starting XI,Ryan Teague,22,Defensive Midfield,€400k,Australia
"Sun, 11/3/24",Melbourne Victory,Macarthur FC,Starting XI,Jordi Valadon,21,Defensive Midfield,€125k,Australia
"Sun, 11/3/24",Melbourne Victory,Macarthur FC,Starting XI,Zinédine Machach,28,Attacking Midfield,€600k,"France, Morocco"
"Sun, 11/3/24",Melbourne Victory,Macarthur FC,Starting XI,Reno Piscopo,26,Left Winger,€450k,"Australia, Italy"
"Sun, 11/3/24",Melbourne Victory,Macarthur FC,Starting XI,Nishan Velupillay,23,Right Winger,€350k,"Australia, Sri Lanka"
"Sun, 11/3/24",Melbourne Victory,Macarthur FC,Starting XI,Nikolaos Vergos,28,Centre-Forward,€450k,Greece
"Sun, 11/3/24",Melbourne Victory,Macarthur FC,Substitutes,Daniel Graskoski,17,Goalkeeper,,Australia
"Sun, 11/3/24",Melbourne Victory,Macarthur FC,Substitutes,Adama Traoré,34,Left-Back,€175k,"Cote d'Ivoire, Australia"
"Sun, 11/3/24",Melbourne Victory,Macarthur FC,Substitutes,Joshua Rawlins,20,Right-Back,€250k,Australia
"Sun, 11/3/24",Melbourne Victory,Macarthur FC,Substitutes,Fabian Monge,23,Defensive Midfield,€200k,Australia
"Sun, 11/3/24",Melbourne Victory,Macarthur FC,Substitutes,Clarismario,23,Right Winger,€450k,Brazil
"Sun, 11/3/24",Melbourne Victory,Macarthur FC,Substitutes,Daniel Arzani,25,Left Winger,€500k,Australia
"Sun, 11/3/24",Melbourne Victory,Macarthur FC,Substitutes,Jing Reec,21,Centre-Forward,€150k,"Australia, Southern Sudan"
"Sun, 11/3/24",Macarthur FC,Melbourne Victory,Starting XI,Filip Kurto,33,Goalkeeper,€450k,Poland
"Sun, 11/3/24",Macarthur FC,Melbourne Victory,Starting XI,Tomislav Uskok,33,Centre-Back,€275k,"Australia, Croatia"
"Sun, 11/3/24",Macarthur FC,Melbourne Victory,Starting XI,Dino Arslanagic,31,Centre-Back,€500k,"Belgium, Bosnia-Herzegovina"
"Sun, 11/3/24",Macarthur FC,Melbourne Victory,Starting XI,Ivan Vujica,27,Left-Back,€350k,"Australia, Croatia"
"Sun, 11/3/24",Macarthur FC,Melbourne Victory,Starting XI,Kealey Adamson,21,Right-Back,€200k,"Australia, Tanzania"
"Sun, 11/3/24",Macarthur FC,Melbourne Victory,Starting XI,Liam Rose,27,Defensive Midfield,€250k,Australia
"Sun, 11/3/24",Macarthur FC,Melbourne Victory,Starting XI,Luke Brattan,34,Defensive Midfield,€450k,"Australia, England"
"Sun, 11/3/24",Macarthur FC,Melbourne Victory,Starting XI,Jake Hollman,23,Attacking Midfield,€400k,Australia
"Sun, 11/3/24",Macarthur FC,Melbourne Victory,Starting XI,Marin Jakolis,27,Left Winger,€700k,"Croatia, Australia"
"Sun, 11/3/24",Macarthur FC,Melbourne Victory,Starting XI,Jed Drew,21,Right Winger,€350k,Australia
"Sun, 11/3/24",Macarthur FC,Melbourne Victory,Starting XI,Valère Germain,34,Centre-Forward,€1.00m,France
"Sun, 11/3/24",Macarthur FC,Melbourne Victory,Substitutes,Alex Robinson,19,Goalkeeper,€25k,Australia
"Sun, 11/3/24",Macarthur FC,Melbourne Victory,Substitutes,Matthew Jurman,34,Centre-Back,€250k,"Australia, England"
"Sun, 11/3/24",Macarthur FC,Melbourne Victory,Substitutes,Joshua Damevski,19,Right-Back,€50k,Australia
"Sun, 11/3/24",Macarthur FC,Melbourne Victory,Substitutes,Walter Scott,25,Left-Back,€100k,Australia
"Sun, 11/3/24",Macarthur FC,Melbourne Victory,Substitutes,Oliver Randazzo,18,Right Winger,€25k,Australia
"Sun, 11/3/24",Macarthur FC,Melbourne Victory,Substitutes,Dean Bosnjak,18,Right Winger,,Australia
"Sun, 11/3/24",Macarthur FC,Melbourne Victory,Substitutes,Harry Sawyer,27,Centre-Forward,€125k,Australia
