Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Mon, 11/4/24",Western United FC,Melbourne City FC,Starting XI,Matt Sutton,24,Goalkeeper,€200k,Australia
"Mon, 11/4/24",Western United FC,Melbourne City FC,Starting XI,Tomoki Imai,33,Centre-Back,€300k,Japan
"Mon, 11/4/24",Western United FC,Melbourne City FC,Starting XI,Dylan Leonard,17,Centre-Back,,"Australia, Scotland"
"Mon, 11/4/24",Western United FC,Melbourne City FC,Starting XI,Charbel Shamoon,20,Left-Back,€50k,"Iraq, Australia"
"Mon, 11/4/24",Western United FC,Melbourne City FC,Starting XI,Tate Russell,25,Right-Back,€325k,Australia
"Mon, 11/4/24",Western United FC,Melbourne City FC,Starting XI,Rhys Bozinovski,20,Central Midfield,€100k,"Australia, Malta"
"Mon, 11/4/24",Western United FC,Melbourne City FC,Starting XI,Angus Thurgate,24,Central Midfield,€500k,Australia
"Mon, 11/4/24",Western United FC,Melbourne City FC,Starting XI,Matthew Grimaldi,20,Left Winger,€200k,Australia
"Mon, 11/4/24",Western United FC,Melbourne City FC,Starting XI,Riku Danzaki,24,Right Winger,€250k,Japan
"Mon, 11/4/24",Western United FC,Melbourne City FC,Starting XI,Oli Lavale,19,Centre-Forward,€25k,Australia
"Mon, 11/4/24",Western United FC,Melbourne City FC,Starting XI,Hiroshi Ibusuki,33,Centre-Forward,€250k,Japan
"Mon, 11/4/24",Western United FC,Melbourne City FC,Substitutes,Tom Heward-Belle,27,Goalkeeper,€300k,Australia
"Mon, 11/4/24",Western United FC,Melbourne City FC,Substitutes,Kane Vidmar,20,Centre-Back,€200k,"Australia, Wales"
"Mon, 11/4/24",Western United FC,Melbourne City FC,Substitutes,Sebastian Pasquali,24,Central Midfield,€300k,"Australia, Italy"
"Mon, 11/4/24",Western United FC,Melbourne City FC,Substitutes,James York,19,Central Midfield,€25k,"Australia, Scotland"
"Mon, 11/4/24",Western United FC,Melbourne City FC,Substitutes,Abel Walatee,20,Left Winger,€25k,"Australia, Ghana"
"Mon, 11/4/24",Western United FC,Melbourne City FC,Substitutes,Noah Botic,22,Centre-Forward,€350k,"Australia, Croatia"
"Mon, 11/4/24",Western United FC,Melbourne City FC,Substitutes,Luke Vickery,19,Centre-Forward,€25k,Australia
"Mon, 11/4/24",Melbourne City FC,Western United FC,Starting XI,Patrick Beach,21,Goalkeeper,€100k,Australia
"Mon, 11/4/24",Melbourne City FC,Western United FC,Starting XI,Samuel Souprayen,35,Centre-Back,€100k,"France, Réunion"
"Mon, 11/4/24",Melbourne City FC,Western United FC,Starting XI,Kai Trewin,23,Centre-Back,€400k,Australia
"Mon, 11/4/24",Melbourne City FC,Western United FC,Starting XI,Nathaniel Atkinson,25,Left-Back,€800k,Australia
"Mon, 11/4/24",Melbourne City FC,Western United FC,Starting XI,Callum Talbot,23,Right-Back,€350k,"Australia, Malta"
"Mon, 11/4/24",Melbourne City FC,Western United FC,Starting XI,Steven Ugarkovic,30,Defensive Midfield,€450k,"Australia, Croatia"
"Mon, 11/4/24",Melbourne City FC,Western United FC,Starting XI,Zane Schreiber,19,Defensive Midfield,€50k,Australia
"Mon, 11/4/24",Melbourne City FC,Western United FC,Starting XI,Andreas Kuen,29,Attacking Midfield,€450k,Austria
"Mon, 11/4/24",Melbourne City FC,Western United FC,Starting XI,Harry Politidis,22,Left Winger,€100k,Australia
"Mon, 11/4/24",Melbourne City FC,Western United FC,Starting XI,Marco Tilio,23,Right Winger,€1.20m,Australia
"Mon, 11/4/24",Melbourne City FC,Western United FC,Starting XI,Andrew Nabbout,31,Centre-Forward,€550k,"Australia, Lebanon"
"Mon, 11/4/24",Melbourne City FC,Western United FC,Substitutes,Jamie Young,39,Goalkeeper,€200k,"England, Australia"
"Mon, 11/4/24",Melbourne City FC,Western United FC,Substitutes,Germán Ferreyra,28,Centre-Back,€450k,Argentina
"Mon, 11/4/24",Melbourne City FC,Western United FC,Substitutes,Benjamin Dunbar,18,Central Midfield,,Australia
"Mon, 11/4/24",Melbourne City FC,Western United FC,Substitutes,Yonatan Cohen,28,Right Winger,€350k,"Israel, Poland"
"Mon, 11/4/24",Melbourne City FC,Western United FC,Substitutes,Mathew Leckie,33,Centre-Forward,€600k,Australia
"Mon, 11/4/24",Melbourne City FC,Western United FC,Substitutes,Kavian Rahmani,17,Left Winger,,Australia
"Mon, 11/4/24",Melbourne City FC,Western United FC,Substitutes,Medin Memeti,17,Centre-Forward,,Australia
