Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 11/8/24",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Fri, 11/8/24",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Alex Bonetig,22,Centre-Back,€200k,Australia
"Fri, 11/8/24",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Tae-wook Jeong,27,Centre-Back,€700k,"Korea, South"
"Fri, 11/8/24",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Anthony Pantazopoulos,21,Left-Back,€50k,Australia
"Fri, 11/8/24",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Gabriel Cléùr,26,Right-Back,€350k,"Australia, Italy"
"Fri, 11/8/24",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Joshua Brillante,31,Central Midfield,€450k,"Australia, Italy"
"Fri, 11/8/24",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Dylan Scicluna,20,Central Midfield,€100k,"Malta, Australia"
"Fri, 11/8/24",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Bozhidar Kraev,27,Left Winger,€750k,Bulgaria
"Fri, 11/8/24",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Nicolas Milanovic,22,Right Winger,€450k,"Australia, Croatia"
"Fri, 11/8/24",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Zachary Sapsford,22,Centre-Forward,€150k,Australia
"Fri, 11/8/24",Western Sydney Wanderers,Newcastle United Jets,Starting XI,Brandon Borrello,29,Centre-Forward,€700k,"Australia, Italy"
"Fri, 11/8/24",Western Sydney Wanderers,Newcastle United Jets,Substitutes,Tristan Vidackovic,21,Goalkeeper,,Australia
"Fri, 11/8/24",Western Sydney Wanderers,Newcastle United Jets,Substitutes,Jack Clisby,32,Left-Back,€400k,Australia
"Fri, 11/8/24",Western Sydney Wanderers,Newcastle United Jets,Substitutes,Oscar Priestman,21,Central Midfield,€250k,Australia
"Fri, 11/8/24",Western Sydney Wanderers,Newcastle United Jets,Substitutes,Juan Mata,36,Central Midfield,€700k,Spain
"Fri, 11/8/24",Western Sydney Wanderers,Newcastle United Jets,Substitutes,Ben Holliday,22,Left Winger,€75k,Australia
"Fri, 11/8/24",Western Sydney Wanderers,Newcastle United Jets,Substitutes,Aydan Hammond,20,Right Winger,€50k,"Australia, Peru"
"Fri, 11/8/24",Western Sydney Wanderers,Newcastle United Jets,Substitutes,Marcus Antonsson,33,Centre-Forward,€600k,Sweden
"Fri, 11/8/24",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Ryan Scott,28,Goalkeeper,€300k,"Australia, England"
"Fri, 11/8/24",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Aleksandar Susnjar,29,Centre-Back,€300k,"Australia, Serbia"
"Fri, 11/8/24",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Mark Natta,21,Centre-Back,€375k,"Australia, Italy"
"Fri, 11/8/24",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Daniel Wilmering,23,Left-Back,€250k,"Australia, Germany"
"Fri, 11/8/24",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Dane Ingham,25,Right-Back,€400k,"New Zealand, Australia"
"Fri, 11/8/24",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Kosta Grozos,24,Central Midfield,€400k,Australia
"Fri, 11/8/24",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Lachlan Bayliss,22,Central Midfield,€150k,"New Zealand, Australia"
"Fri, 11/8/24",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Thomas Aquilina,23,Left Winger,€350k,"Australia, Malta"
"Fri, 11/8/24",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Eli Adams,22,Right Winger,€125k,Australia
"Fri, 11/8/24",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Wellissol,26,Centre-Forward,€100k,Brazil
"Fri, 11/8/24",Newcastle United Jets,Western Sydney Wanderers,Starting XI,Ben Gibson,21,Centre-Forward,€75k,Australia
"Fri, 11/8/24",Newcastle United Jets,Western Sydney Wanderers,Substitutes,Noah James,23,Goalkeeper,,Australia
"Fri, 11/8/24",Newcastle United Jets,Western Sydney Wanderers,Substitutes,Phillip Cancar,23,Centre-Back,€350k,"Croatia, Australia"
"Fri, 11/8/24",Newcastle United Jets,Western Sydney Wanderers,Substitutes,Nathan Grimaldi,23,Centre-Back,€100k,"Australia, Philippines"
"Fri, 11/8/24",Newcastle United Jets,Western Sydney Wanderers,Substitutes,Matthew Scarcella,20,Central Midfield,€50k,"Australia, Italy"
"Fri, 11/8/24",Newcastle United Jets,Western Sydney Wanderers,Substitutes,Callum Timmins,24,Second Striker,€300k,"Australia, England"
"Fri, 11/8/24",Newcastle United Jets,Western Sydney Wanderers,Substitutes,Clayton Taylor,20,Left Winger,€300k,Australia
"Fri, 11/8/24",Newcastle United Jets,Western Sydney Wanderers,Substitutes,Justin Vidic,20,Centre-Forward,€50k,Australia
