Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 11/9/24",Adelaide United,Western United FC,Starting XI,James Delianov,25,Goalkeeper,€250k,Australia
"Sat, 11/9/24",Adelaide United,Western United FC,Starting XI,Bart Vriends,33,Centre-Back,€400k,Netherlands
"Sat, 11/9/24",Adelaide United,Western United FC,Starting XI,Panagiotis Kikianis,19,Centre-Back,€125k,Australia
"Sat, 11/9/24",Adelaide United,Western United FC,Starting XI,Ryan Kitto,30,Left-Back,€450k,Australia
"Sat, 11/9/24",Adelaide United,Western United FC,Starting XI,Dylan Pierias,24,Right-Back,€350k,"Australia, Italy"
"Sat, 11/9/24",Adelaide United,Western United FC,Starting XI,Jay Barnett,23,Defensive Midfield,€150k,Australia
"Sat, 11/9/24",Adelaide United,Western United FC,Starting XI,Ethan Alagich,20,Defensive Midfield,€200k,Australia
"Sat, 11/9/24",Adelaide United,Western United FC,Starting XI,Stefan Mauk,29,Attacking Midfield,€600k,"Australia, Germany"
"Sat, 11/9/24",Adelaide United,Western United FC,Starting XI,Austin Ayoubi,23,Left Winger,€75k,Australia
"Sat, 11/9/24",Adelaide United,Western United FC,Starting XI,Zach Clough,29,Right Winger,€550k,England
"Sat, 11/9/24",Adelaide United,Western United FC,Starting XI,Luka Jovanovic,19,Centre-Forward,€250k,"Australia, Serbia"
"Sat, 11/9/24",Adelaide United,Western United FC,Substitutes,Ethan Cox,20,Goalkeeper,€50k,Australia
"Sat, 11/9/24",Adelaide United,Western United FC,Substitutes,Isaías Sánchez,37,Defensive Midfield,€175k,"Spain, Australia"
"Sat, 11/9/24",Adelaide United,Western United FC,Substitutes,Jonny Yull,19,Attacking Midfield,€250k,"Australia, England"
"Sat, 11/9/24",Adelaide United,Western United FC,Substitutes,Panashe Madanha,20,Right Midfield,€100k,"Australia, Zimbabwe"
"Sat, 11/9/24",Adelaide United,Western United FC,Substitutes,Ryan White,20,Right Winger,€50k,Australia
"Sat, 11/9/24",Adelaide United,Western United FC,Substitutes,Ben Folami,25,Left Winger,€400k,"Australia, Nigeria"
"Sat, 11/9/24",Adelaide United,Western United FC,Substitutes,Archie Goodwin,20,Centre-Forward,€225k,Australia
"Sat, 11/9/24",Western United FC,Adelaide United,Starting XI,Matt Sutton,24,Goalkeeper,€200k,Australia
"Sat, 11/9/24",Western United FC,Adelaide United,Starting XI,Kane Vidmar,20,Centre-Back,€200k,"Australia, Wales"
"Sat, 11/9/24",Western United FC,Adelaide United,Starting XI,Dylan Leonard,17,Centre-Back,,"Australia, Scotland"
"Sat, 11/9/24",Western United FC,Adelaide United,Starting XI,Charbel Shamoon,20,Left-Back,€50k,"Iraq, Australia"
"Sat, 11/9/24",Western United FC,Adelaide United,Starting XI,Tate Russell,25,Right-Back,€325k,Australia
"Sat, 11/9/24",Western United FC,Adelaide United,Starting XI,Sebastian Pasquali,25,Central Midfield,€300k,"Australia, Italy"
"Sat, 11/9/24",Western United FC,Adelaide United,Starting XI,Angus Thurgate,24,Central Midfield,€500k,Australia
"Sat, 11/9/24",Western United FC,Adelaide United,Starting XI,Matthew Grimaldi,20,Left Winger,€200k,Australia
"Sat, 11/9/24",Western United FC,Adelaide United,Starting XI,Riku Danzaki,24,Right Winger,€250k,Japan
"Sat, 11/9/24",Western United FC,Adelaide United,Starting XI,Hiroshi Ibusuki,33,Centre-Forward,€250k,Japan
"Sat, 11/9/24",Western United FC,Adelaide United,Starting XI,Noah Botic,22,Centre-Forward,€350k,"Australia, Croatia"
"Sat, 11/9/24",Western United FC,Adelaide United,Substitutes,Tom Heward-Belle,27,Goalkeeper,€300k,Australia
"Sat, 11/9/24",Western United FC,Adelaide United,Substitutes,Ben Garuccio,29,Left-Back,€450k,"Australia, Italy"
"Sat, 11/9/24",Western United FC,Adelaide United,Substitutes,Rhys Bozinovski,20,Central Midfield,€100k,"Australia, Malta"
"Sat, 11/9/24",Western United FC,Adelaide United,Substitutes,James York,19,Centre-Back,€25k,"Australia, Scotland"
"Sat, 11/9/24",Western United FC,Adelaide United,Substitutes,Abel Walatee,20,Left Winger,€25k,"Australia, Ghana"
"Sat, 11/9/24",Western United FC,Adelaide United,Substitutes,Oli Lavale,19,Centre-Forward,€25k,Australia
"Sat, 11/9/24",Western United FC,Adelaide United,Substitutes,Jake Najdovski,19,Centre-Forward,€25k,Australia
