Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 11/9/24",Melbourne Victory,Brisbane Roar,Starting XI,Jack Duncan,31,Goalkeeper,€250k,Australia
"Sat, 11/9/24",Melbourne Victory,Brisbane Roar,Starting XI,Brendan Hamill,32,Centre-Back,€350k,"Australia, Ireland"
"Sat, 11/9/24",Melbourne Victory,Brisbane Roar,Starting XI,Roderick Miranda,33,Centre-Back,€750k,"Portugal, Brazil"
"Sat, 11/9/24",Melbourne Victory,Brisbane Roar,Starting XI,Kasey Bos,20,Left-Back,€150k,"Australia, Netherlands"
"Sat, 11/9/24",Melbourne Victory,Brisbane Roar,Starting XI,Jason Geria,31,Right-Back,€500k,"Australia, Uganda"
"Sat, 11/9/24",Melbourne Victory,Brisbane Roar,Starting XI,Ryan Teague,22,Central Midfield,€400k,Australia
"Sat, 11/9/24",Melbourne Victory,Brisbane Roar,Starting XI,Jordi Valadon,21,Central Midfield,€125k,Australia
"Sat, 11/9/24",Melbourne Victory,Brisbane Roar,Starting XI,Reno Piscopo,26,Left Winger,€450k,"Australia, Italy"
"Sat, 11/9/24",Melbourne Victory,Brisbane Roar,Starting XI,Nishan Velupillay,23,Right Winger,€350k,"Australia, Sri Lanka"
"Sat, 11/9/24",Melbourne Victory,Brisbane Roar,Starting XI,Zinédine Machach,28,Second Striker,€600k,"France, Morocco"
"Sat, 11/9/24",Melbourne Victory,Brisbane Roar,Starting XI,Nikolaos Vergos,28,Centre-Forward,€450k,Greece
"Sat, 11/9/24",Melbourne Victory,Brisbane Roar,Substitutes,Daniel Graskoski,17,Goalkeeper,,Australia
"Sat, 11/9/24",Melbourne Victory,Brisbane Roar,Substitutes,Adama Traoré,34,Left-Back,€175k,"Cote d'Ivoire, Australia"
"Sat, 11/9/24",Melbourne Victory,Brisbane Roar,Substitutes,Joshua Rawlins,20,Right-Back,€250k,Australia
"Sat, 11/9/24",Melbourne Victory,Brisbane Roar,Substitutes,Fabian Monge,23,Defensive Midfield,€200k,Australia
"Sat, 11/9/24",Melbourne Victory,Brisbane Roar,Substitutes,Clarismario,23,Second Striker,€450k,Brazil
"Sat, 11/9/24",Melbourne Victory,Brisbane Roar,Substitutes,Daniel Arzani,25,Left Winger,€500k,Australia
"Sat, 11/9/24",Melbourne Victory,Brisbane Roar,Substitutes,Jing Reec,21,Centre-Forward,€150k,"Australia, Southern Sudan"
"Sat, 11/9/24",Brisbane Roar,Melbourne Victory,Starting XI,Macklin Freke,25,Goalkeeper,€300k,"Australia, New Zealand"
"Sat, 11/9/24",Brisbane Roar,Melbourne Victory,Starting XI,Ben Warland,28,Centre-Back,€300k,Australia
"Sat, 11/9/24",Brisbane Roar,Melbourne Victory,Starting XI,Hosine Bility,23,Centre-Back,€50k,"Australia, Guinea"
"Sat, 11/9/24",Brisbane Roar,Melbourne Victory,Starting XI,Corey Brown,30,Left-Back,€250k,Australia
"Sat, 11/9/24",Brisbane Roar,Melbourne Victory,Starting XI,Harry Van der Saag,25,Right-Back,€250k,"Australia, Netherlands"
"Sat, 11/9/24",Brisbane Roar,Melbourne Victory,Starting XI,Walid Shour,28,Central Midfield,€325k,"Lebanon, Sierra Leone"
"Sat, 11/9/24",Brisbane Roar,Melbourne Victory,Starting XI,Jay O'Shea,36,Central Midfield,€300k,Ireland
"Sat, 11/9/24",Brisbane Roar,Melbourne Victory,Starting XI,Keegan Jelacic,22,Left Winger,€300k,"Australia, New Zealand"
"Sat, 11/9/24",Brisbane Roar,Melbourne Victory,Starting XI,Ben Halloran,32,Right Winger,€400k,Australia
"Sat, 11/9/24",Brisbane Roar,Melbourne Victory,Starting XI,Florin Bérenguer,35,Second Striker,€300k,France
"Sat, 11/9/24",Brisbane Roar,Melbourne Victory,Starting XI,Thomas Waddingham,19,Centre-Forward,€350k,"Australia, England"
"Sat, 11/9/24",Brisbane Roar,Melbourne Victory,Substitutes,Matt Acton,32,Goalkeeper,€200k,"Australia, Finland"
"Sat, 11/9/24",Brisbane Roar,Melbourne Victory,Substitutes,Louis Zabala,23,Right-Back,€175k,Australia
"Sat, 11/9/24",Brisbane Roar,Melbourne Victory,Substitutes,Jack Hingert,34,Right-Back,€175k,"Sri Lanka, Australia"
"Sat, 11/9/24",Brisbane Roar,Melbourne Victory,Substitutes,Antonee Burke-Gilroy,27,Left Winger,€250k,"Australia, England"
"Sat, 11/9/24",Brisbane Roar,Melbourne Victory,Substitutes,Sam Klein,20,Central Midfield,,Australia
"Sat, 11/9/24",Brisbane Roar,Melbourne Victory,Substitutes,Rafael Struick,21,Centre-Forward,€75k,"Indonesia, Netherlands"
"Sat, 11/9/24",Brisbane Roar,Melbourne Victory,Substitutes,Adam Zimarino,23,Right Winger,€75k,Australia
