Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 11/10/24",Central Coast Mariners,Wellington Phoenix,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€25k,Australia
"Sun, 11/10/24",Central Coast Mariners,Wellington Phoenix,Starting XI,Nathan Paull,21,Centre-Back,€150k,Australia
"Sun, 11/10/24",Central Coast Mariners,Wellington Phoenix,Starting XI,Brian Kaltak,31,Centre-Back,€450k,Vanuatu
"Sun, 11/10/24",Central Coast Mariners,Wellington Phoenix,Starting XI,Diesel Herrington,20,Centre-Back,€150k,Australia
"Sun, 11/10/24",Central Coast Mariners,Wellington Phoenix,Starting XI,Lucas Mauragis,23,Left-Back,€400k,"Australia, Lithuania"
"Sun, 11/10/24",Central Coast Mariners,Wellington Phoenix,Starting XI,Sasha Kuzevski,23,Right-Back,€50k,Australia
"Sun, 11/10/24",Central Coast Mariners,Wellington Phoenix,Starting XI,Harrison Steele,22,Defensive Midfield,€250k,Australia
"Sun, 11/10/24",Central Coast Mariners,Wellington Phoenix,Starting XI,Alfie McCalmont,24,Defensive Midfield,€175k,"Northern Ireland, England"
"Sun, 11/10/24",Central Coast Mariners,Wellington Phoenix,Starting XI,Mikael Doka,24,Attacking Midfield,€400k,Brazil
"Sun, 11/10/24",Central Coast Mariners,Wellington Phoenix,Starting XI,Vitor Feijão,28,Centre-Forward,€150k,Brazil
"Sun, 11/10/24",Central Coast Mariners,Wellington Phoenix,Starting XI,Ryan Edmondson,23,Centre-Forward,€300k,England
"Sun, 11/10/24",Central Coast Mariners,Wellington Phoenix,Substitutes,Jack Warshawsky,20,Goalkeeper,€50k,Australia
"Sun, 11/10/24",Central Coast Mariners,Wellington Phoenix,Substitutes,Noah Smith,23,Left-Back,€150k,Australia
"Sun, 11/10/24",Central Coast Mariners,Wellington Phoenix,Substitutes,Storm Roux,31,Right-Back,€350k,"New Zealand, Australia"
"Sun, 11/10/24",Central Coast Mariners,Wellington Phoenix,Substitutes,Haine Eames,16,Central Midfield,,Australia
"Sun, 11/10/24",Central Coast Mariners,Wellington Phoenix,Substitutes,Sabit James Ngor,23,Left Winger,€100k,"Australia, Southern Sudan"
"Sun, 11/10/24",Central Coast Mariners,Wellington Phoenix,Substitutes,Bailey Brandtman,19,Right Winger,€75k,Australia
"Sun, 11/10/24",Central Coast Mariners,Wellington Phoenix,Substitutes,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Sun, 11/10/24",Wellington Phoenix,Central Coast Mariners,Starting XI,Joshua Oluwayemi,23,Goalkeeper,€200k,"Nigeria, England"
"Sun, 11/10/24",Wellington Phoenix,Central Coast Mariners,Starting XI,Scott Wootton,33,Centre-Back,€300k,England
"Sun, 11/10/24",Wellington Phoenix,Central Coast Mariners,Starting XI,Isaac Hughes,20,Centre-Back,€150k,"New Zealand, England"
"Sun, 11/10/24",Wellington Phoenix,Central Coast Mariners,Starting XI,Sam Sutton,22,Left-Back,€350k,"New Zealand, England"
"Sun, 11/10/24",Wellington Phoenix,Central Coast Mariners,Starting XI,Tim Payne,30,Right-Back,€450k,New Zealand
"Sun, 11/10/24",Wellington Phoenix,Central Coast Mariners,Starting XI,Alex Rufer,28,Defensive Midfield,€600k,"New Zealand, Switzerland"
"Sun, 11/10/24",Wellington Phoenix,Central Coast Mariners,Starting XI,Paulo Retre,31,Central Midfield,€350k,"Australia, Portugal"
"Sun, 11/10/24",Wellington Phoenix,Central Coast Mariners,Starting XI,Kazuki Nagasawa,32,Central Midfield,€250k,Japan
"Sun, 11/10/24",Wellington Phoenix,Central Coast Mariners,Starting XI,Hideki Ishige,30,Left Winger,€300k,Japan
"Sun, 11/10/24",Wellington Phoenix,Central Coast Mariners,Starting XI,Matthew Sheridan,20,Right Winger,€100k,New Zealand
"Sun, 11/10/24",Wellington Phoenix,Central Coast Mariners,Starting XI,Kosta Barbarouses,34,Centre-Forward,€400k,"New Zealand, Greece"
"Sun, 11/10/24",Wellington Phoenix,Central Coast Mariners,Substitutes,Alby Kelly-Heald,19,Goalkeeper,€175k,New Zealand
"Sun, 11/10/24",Wellington Phoenix,Central Coast Mariners,Substitutes,Corban Piper,22,Centre-Back,€250k,New Zealand
"Sun, 11/10/24",Wellington Phoenix,Central Coast Mariners,Substitutes,Mohamed Al-Taay,24,Central Midfield,€300k,"Iraq, Australia"
"Sun, 11/10/24",Wellington Phoenix,Central Coast Mariners,Substitutes,Nathan Walker,18,Right Winger,€75k,New Zealand
"Sun, 11/10/24",Wellington Phoenix,Central Coast Mariners,Substitutes,Marco Rojas,33,Right Winger,€350k,"New Zealand, Chile"
"Sun, 11/10/24",Wellington Phoenix,Central Coast Mariners,Substitutes,Oskar van Hattum,22,Right Winger,€250k,"New Zealand, Austria"
"Sun, 11/10/24",Wellington Phoenix,Central Coast Mariners,Substitutes,Stefan Colakovski,24,Centre-Forward,€350k,"North Macedonia, Australia"
