Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 11/10/24",Perth Glory,Melbourne City FC,Starting XI,Oliver Sail,28,Goalkeeper,€500k,"New Zealand, Australia"
"Sun, 11/10/24",Perth Glory,Melbourne City FC,Starting XI,Lachlan Barr,30,Centre-Back,€150k,"Australia, England"
"Sun, 11/10/24",Perth Glory,Melbourne City FC,Starting XI,Luis Cangá,29,Centre-Back,€600k,Ecuador
"Sun, 11/10/24",Perth Glory,Melbourne City FC,Starting XI,Zach Lisolajski,19,Left-Back,€50k,Australia
"Sun, 11/10/24",Perth Glory,Melbourne City FC,Starting XI,Trent Ostler,22,Right-Back,€200k,Australia
"Sun, 11/10/24",Perth Glory,Melbourne City FC,Starting XI,Taras Gomulka,23,Central Midfield,€300k,"Australia, Ukraine"
"Sun, 11/10/24",Perth Glory,Melbourne City FC,Starting XI,Nicholas Pennington,25,Central Midfield,€350k,"Australia, Italy"
"Sun, 11/10/24",Perth Glory,Melbourne City FC,Starting XI,Abdul Faisal,19,Left Winger,€100k,Australia
"Sun, 11/10/24",Perth Glory,Melbourne City FC,Starting XI,Jarrod Carluccio,23,Right Winger,€300k,Australia
"Sun, 11/10/24",Perth Glory,Melbourne City FC,Starting XI,Cristian Caicedo,22,Second Striker,€150k,Colombia
"Sun, 11/10/24",Perth Glory,Melbourne City FC,Starting XI,Adam Taggart,31,Centre-Forward,€750k,Australia
"Sun, 11/10/24",Perth Glory,Melbourne City FC,Substitutes,Cameron Cook,23,Goalkeeper,€350k,Australia
"Sun, 11/10/24",Perth Glory,Melbourne City FC,Substitutes,Andriano Lebib,18,Centre-Back,,Australia
"Sun, 11/10/24",Perth Glory,Melbourne City FC,Substitutes,Brandon O'Neill,30,Defensive Midfield,€350k,Australia
"Sun, 11/10/24",Perth Glory,Melbourne City FC,Substitutes,Adam Bugarija,19,Attacking Midfield,€50k,"Australia, Spain"
"Sun, 11/10/24",Perth Glory,Melbourne City FC,Substitutes,Khoa Ngo,18,Right Winger,€50k,Australia
"Sun, 11/10/24",Perth Glory,Melbourne City FC,Substitutes,Nikola Mileusnic,31,Left Winger,€400k,"Australia, Serbia"
"Sun, 11/10/24",Perth Glory,Melbourne City FC,Substitutes,Nathanael Blair,20,Left Winger,€100k,Australia
"Sun, 11/10/24",Melbourne City FC,Perth Glory,Starting XI,Patrick Beach,21,Goalkeeper,€100k,Australia
"Sun, 11/10/24",Melbourne City FC,Perth Glory,Starting XI,Samuel Souprayen,35,Centre-Back,€100k,"France, Réunion"
"Sun, 11/10/24",Melbourne City FC,Perth Glory,Starting XI,Kai Trewin,23,Centre-Back,€400k,Australia
"Sun, 11/10/24",Melbourne City FC,Perth Glory,Starting XI,Nathaniel Atkinson,25,Left-Back,€800k,Australia
"Sun, 11/10/24",Melbourne City FC,Perth Glory,Starting XI,Callum Talbot,23,Right-Back,€350k,"Australia, Malta"
"Sun, 11/10/24",Melbourne City FC,Perth Glory,Starting XI,Steven Ugarkovic,30,Defensive Midfield,€450k,"Australia, Croatia"
"Sun, 11/10/24",Melbourne City FC,Perth Glory,Starting XI,Zane Schreiber,19,Defensive Midfield,€50k,Australia
"Sun, 11/10/24",Melbourne City FC,Perth Glory,Starting XI,Andreas Kuen,29,Attacking Midfield,€450k,Austria
"Sun, 11/10/24",Melbourne City FC,Perth Glory,Starting XI,Harry Politidis,22,Left Winger,€100k,Australia
"Sun, 11/10/24",Melbourne City FC,Perth Glory,Starting XI,Yonatan Cohen,28,Right Winger,€350k,"Israel, Poland"
"Sun, 11/10/24",Melbourne City FC,Perth Glory,Starting XI,Medin Memeti,17,Centre-Forward,,Australia
"Sun, 11/10/24",Melbourne City FC,Perth Glory,Substitutes,Jamie Young,39,Goalkeeper,€200k,"England, Australia"
"Sun, 11/10/24",Melbourne City FC,Perth Glory,Substitutes,Germán Ferreyra,28,Centre-Back,€450k,Argentina
"Sun, 11/10/24",Melbourne City FC,Perth Glory,Substitutes,James Jeggo,32,Defensive Midfield,€500k,"Australia, England"
"Sun, 11/10/24",Melbourne City FC,Perth Glory,Substitutes,Benjamin Dunbar,18,Defensive Midfield,,Australia
"Sun, 11/10/24",Melbourne City FC,Perth Glory,Substitutes,Mathew Leckie,33,Attacking Midfield,€600k,Australia
"Sun, 11/10/24",Melbourne City FC,Perth Glory,Substitutes,Kavian Rahmani,17,Left Winger,,Australia
"Sun, 11/10/24",Melbourne City FC,Perth Glory,Substitutes,Benjamin Mazzeo,19,Right Winger,€75k,Australia
