Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 11/10/24",Sydney FC,Macarthur FC,Starting XI,Andrew Redmayne,35,Goalkeeper,€400k,Australia
"Sun, 11/10/24",Sydney FC,Macarthur FC,Starting XI,Hayden Matthews,20,Centre-Back,€300k,Australia
"Sun, 11/10/24",Sydney FC,Macarthur FC,Starting XI,Alexandar Popovic,22,Centre-Back,€325k,Australia
"Sun, 11/10/24",Sydney FC,Macarthur FC,Starting XI,Jordan Courtney-Perkins,22,Left-Back,€400k,Australia
"Sun, 11/10/24",Sydney FC,Macarthur FC,Starting XI,Rhyan Grant,33,Right-Back,€500k,Australia
"Sun, 11/10/24",Sydney FC,Macarthur FC,Starting XI,Léo Sena,28,Defensive Midfield,€500k,Brazil
"Sun, 11/10/24",Sydney FC,Macarthur FC,Starting XI,Anthony Cáceres,32,Defensive Midfield,€600k,"Australia, Uruguay"
"Sun, 11/10/24",Sydney FC,Macarthur FC,Starting XI,Max Burgess,29,Attacking Midfield,€500k,Australia
"Sun, 11/10/24",Sydney FC,Macarthur FC,Starting XI,Anas Ouahim,27,Left Winger,€500k,"Morocco, Germany"
"Sun, 11/10/24",Sydney FC,Macarthur FC,Starting XI,Adrian Segecic,20,Right Winger,€400k,"Australia, Croatia"
"Sun, 11/10/24",Sydney FC,Macarthur FC,Starting XI,Patryk Klimala,26,Centre-Forward,€600k,Poland
"Sun, 11/10/24",Sydney FC,Macarthur FC,Substitutes,Harrison Devenish-Meares,28,Goalkeeper,€25k,Australia
"Sun, 11/10/24",Sydney FC,Macarthur FC,Substitutes,Joel King,24,Left-Back,€500k,Australia
"Sun, 11/10/24",Sydney FC,Macarthur FC,Substitutes,Tiago Quintal,18,Attacking Midfield,€50k,"Australia, Portugal"
"Sun, 11/10/24",Sydney FC,Macarthur FC,Substitutes,Jaiden Kucharski,22,Right Winger,€350k,"Australia, Poland"
"Sun, 11/10/24",Sydney FC,Macarthur FC,Substitutes,Douglas Costa,34,Right Winger,€800k,Brazil
"Sun, 11/10/24",Sydney FC,Macarthur FC,Substitutes,Nathan Amanatidis,18,Left Winger,€125k,Australia
"Sun, 11/10/24",Sydney FC,Macarthur FC,Substitutes,Patrick Wood,22,Centre-Forward,€350k,Australia
"Sun, 11/10/24",Macarthur FC,Sydney FC,Starting XI,Filip Kurto,33,Goalkeeper,€450k,Poland
"Sun, 11/10/24",Macarthur FC,Sydney FC,Starting XI,Tomislav Uskok,33,Centre-Back,€275k,"Australia, Croatia"
"Sun, 11/10/24",Macarthur FC,Sydney FC,Starting XI,Dino Arslanagic,31,Centre-Back,€500k,"Belgium, Bosnia-Herzegovina"
"Sun, 11/10/24",Macarthur FC,Sydney FC,Starting XI,Ivan Vujica,27,Left-Back,€350k,"Australia, Croatia"
"Sun, 11/10/24",Macarthur FC,Sydney FC,Starting XI,Kealey Adamson,21,Right-Back,€200k,"Australia, Tanzania"
"Sun, 11/10/24",Macarthur FC,Sydney FC,Starting XI,Liam Rose,27,Central Midfield,€250k,Australia
"Sun, 11/10/24",Macarthur FC,Sydney FC,Starting XI,Luke Brattan,34,Central Midfield,€450k,"Australia, England"
"Sun, 11/10/24",Macarthur FC,Sydney FC,Starting XI,Jake Hollman,23,Attacking Midfield,€400k,Australia
"Sun, 11/10/24",Macarthur FC,Sydney FC,Starting XI,Marin Jakolis,27,Left Winger,€700k,"Croatia, Australia"
"Sun, 11/10/24",Macarthur FC,Sydney FC,Starting XI,Walter Scott,25,Right Winger,€100k,Australia
"Sun, 11/10/24",Macarthur FC,Sydney FC,Starting XI,Valère Germain,34,Centre-Forward,€1.00m,France
"Sun, 11/10/24",Macarthur FC,Sydney FC,Substitutes,Alex Robinson,19,Goalkeeper,€25k,Australia
"Sun, 11/10/24",Macarthur FC,Sydney FC,Substitutes,Matthew Jurman,34,Centre-Back,€250k,"Australia, England"
"Sun, 11/10/24",Macarthur FC,Sydney FC,Substitutes,Joshua Damevski,19,Defensive Midfield,€50k,Australia
"Sun, 11/10/24",Macarthur FC,Sydney FC,Substitutes,Daniel De Silva,27,Attacking Midfield,€350k,Australia
"Sun, 11/10/24",Macarthur FC,Sydney FC,Substitutes,Ariath Piol,20,Centre-Forward,€50k,"Australia, Sudan"
"Sun, 11/10/24",Macarthur FC,Sydney FC,Substitutes,Dean Bosnjak,18,Right Winger,,Australia
"Sun, 11/10/24",Macarthur FC,Sydney FC,Substitutes,Harry Sawyer,27,Centre-Forward,€125k,Australia
