Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 11/23/24",Brisbane Roar,Adelaide United,Starting XI,Macklin Freke,25,Goalkeeper,€300k,"Australia, New Zealand"
"Sat, 11/23/24",Brisbane Roar,Adelaide United,Starting XI,Ben Warland,28,Centre-Back,€300k,Australia
"Sat, 11/23/24",Brisbane Roar,Adelaide United,Starting XI,Hosine Bility,23,Centre-Back,€50k,"Australia, Guinea"
"Sat, 11/23/24",Brisbane Roar,Adelaide United,Starting XI,Corey Brown,30,Left-Back,€250k,Australia
"Sat, 11/23/24",Brisbane Roar,Adelaide United,Starting XI,Antonee Burke-Gilroy,27,Right-Back,€250k,"Australia, England"
"Sat, 11/23/24",Brisbane Roar,Adelaide United,Starting XI,Joe Caletti,26,Defensive Midfield,€300k,"Australia, Japan"
"Sat, 11/23/24",Brisbane Roar,Adelaide United,Starting XI,Walid Shour,28,Defensive Midfield,€325k,"Lebanon, Sierra Leone"
"Sat, 11/23/24",Brisbane Roar,Adelaide United,Starting XI,Jay O'Shea,36,Attacking Midfield,€300k,Ireland
"Sat, 11/23/24",Brisbane Roar,Adelaide United,Starting XI,Ben Halloran,32,Left Winger,€400k,Australia
"Sat, 11/23/24",Brisbane Roar,Adelaide United,Starting XI,Keegan Jelacic,22,Right Winger,€300k,"Australia, New Zealand"
"Sat, 11/23/24",Brisbane Roar,Adelaide United,Starting XI,Thomas Waddingham,19,Centre-Forward,€350k,"Australia, England"
"Sat, 11/23/24",Brisbane Roar,Adelaide United,Substitutes,Matt Acton,32,Goalkeeper,€200k,"Australia, Finland"
"Sat, 11/23/24",Brisbane Roar,Adelaide United,Substitutes,Louis Zabala,23,Left-Back,€175k,Australia
"Sat, 11/23/24",Brisbane Roar,Adelaide United,Substitutes,Harry Van der Saag,25,Right-Back,€250k,"Australia, Netherlands"
"Sat, 11/23/24",Brisbane Roar,Adelaide United,Substitutes,Sam Klein,20,Defensive Midfield,,Australia
"Sat, 11/23/24",Brisbane Roar,Adelaide United,Substitutes,Florin Bérenguer,35,Second Striker,€300k,France
"Sat, 11/23/24",Brisbane Roar,Adelaide United,Substitutes,Rafael Struick,21,Centre-Forward,€75k,"Indonesia, Netherlands"
"Sat, 11/23/24",Brisbane Roar,Adelaide United,Substitutes,Jacob Brazete,18,Left Winger,,"Australia, Portugal"
"Sat, 11/23/24",Adelaide United,Brisbane Roar,Starting XI,James Delianov,25,Goalkeeper,€250k,Australia
"Sat, 11/23/24",Adelaide United,Brisbane Roar,Starting XI,Bart Vriends,33,Centre-Back,€400k,Netherlands
"Sat, 11/23/24",Adelaide United,Brisbane Roar,Starting XI,Panagiotis Kikianis,19,Centre-Back,€125k,Australia
"Sat, 11/23/24",Adelaide United,Brisbane Roar,Starting XI,Ryan Kitto,30,Left-Back,€450k,Australia
"Sat, 11/23/24",Adelaide United,Brisbane Roar,Starting XI,Dylan Pierias,24,Right-Back,€350k,"Australia, Italy"
"Sat, 11/23/24",Adelaide United,Brisbane Roar,Starting XI,Jay Barnett,23,Defensive Midfield,€150k,Australia
"Sat, 11/23/24",Adelaide United,Brisbane Roar,Starting XI,Ethan Alagich,20,Defensive Midfield,€200k,Australia
"Sat, 11/23/24",Adelaide United,Brisbane Roar,Starting XI,Stefan Mauk,29,Attacking Midfield,€600k,"Australia, Germany"
"Sat, 11/23/24",Adelaide United,Brisbane Roar,Starting XI,Austin Ayoubi,23,Left Winger,€75k,Australia
"Sat, 11/23/24",Adelaide United,Brisbane Roar,Starting XI,Zach Clough,29,Right Winger,€550k,England
"Sat, 11/23/24",Adelaide United,Brisbane Roar,Starting XI,Luka Jovanovic,19,Centre-Forward,€250k,"Australia, Serbia"
"Sat, 11/23/24",Adelaide United,Brisbane Roar,Substitutes,Max Vartuli,19,Goalkeeper,€25k,"Australia, Italy"
"Sat, 11/23/24",Adelaide United,Brisbane Roar,Substitutes,Joshua Cavallo,25,Left-Back,€250k,"Australia, Italy"
"Sat, 11/23/24",Adelaide United,Brisbane Roar,Substitutes,Isaías Sánchez,37,Defensive Midfield,€175k,"Spain, Australia"
"Sat, 11/23/24",Adelaide United,Brisbane Roar,Substitutes,Jonny Yull,19,Attacking Midfield,€250k,"Australia, England"
"Sat, 11/23/24",Adelaide United,Brisbane Roar,Substitutes,Panashe Madanha,20,Right-Back,€100k,"Australia, Zimbabwe"
"Sat, 11/23/24",Adelaide United,Brisbane Roar,Substitutes,Ben Folami,25,Left Winger,€400k,"Australia, Nigeria"
"Sat, 11/23/24",Adelaide United,Brisbane Roar,Substitutes,Archie Goodwin,20,Centre-Forward,€225k,Australia
