Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 11/23/24",Sydney FC,Western Sydney Wanderers,Starting XI,Andrew Redmayne,35,Goalkeeper,€400k,Australia
"Sat, 11/23/24",Sydney FC,Western Sydney Wanderers,Starting XI,Aaron Gurd,23,Centre-Back,€125k,"Australia, Thailand"
"Sat, 11/23/24",Sydney FC,Western Sydney Wanderers,Starting XI,Alexandar Popovic,22,Centre-Back,€325k,Australia
"Sat, 11/23/24",Sydney FC,Western Sydney Wanderers,Starting XI,Jordan Courtney-Perkins,22,Left-Back,€400k,Australia
"Sat, 11/23/24",Sydney FC,Western Sydney Wanderers,Starting XI,Rhyan Grant,33,Right-Back,€500k,Australia
"Sat, 11/23/24",Sydney FC,Western Sydney Wanderers,Starting XI,Léo Sena,28,Defensive Midfield,€500k,Brazil
"Sat, 11/23/24",Sydney FC,Western Sydney Wanderers,Starting XI,Anthony Cáceres,32,Defensive Midfield,€600k,"Australia, Uruguay"
"Sat, 11/23/24",Sydney FC,Western Sydney Wanderers,Starting XI,Douglas Costa,34,Attacking Midfield,€800k,Brazil
"Sat, 11/23/24",Sydney FC,Western Sydney Wanderers,Starting XI,Adrian Segecic,20,Left Winger,€400k,"Australia, Croatia"
"Sat, 11/23/24",Sydney FC,Western Sydney Wanderers,Starting XI,Joe Lolley,32,Right Winger,€1.50m,England
"Sat, 11/23/24",Sydney FC,Western Sydney Wanderers,Starting XI,Patryk Klimala,26,Centre-Forward,€600k,Poland
"Sat, 11/23/24",Sydney FC,Western Sydney Wanderers,Substitutes,Harrison Devenish-Meares,28,Goalkeeper,€25k,Australia
"Sat, 11/23/24",Sydney FC,Western Sydney Wanderers,Substitutes,Joel King,24,Left-Back,€500k,Australia
"Sat, 11/23/24",Sydney FC,Western Sydney Wanderers,Substitutes,Corey Hollman,21,Central Midfield,€350k,Australia
"Sat, 11/23/24",Sydney FC,Western Sydney Wanderers,Substitutes,Tiago Quintal,18,Centre-Forward,€50k,"Australia, Portugal"
"Sat, 11/23/24",Sydney FC,Western Sydney Wanderers,Substitutes,Anas Ouahim,27,Left Winger,€500k,"Morocco, Germany"
"Sat, 11/23/24",Sydney FC,Western Sydney Wanderers,Substitutes,Jaiden Kucharski,22,Right Winger,€350k,"Australia, Poland"
"Sat, 11/23/24",Sydney FC,Western Sydney Wanderers,Substitutes,Nathan Amanatidis,18,Right Winger,€125k,Australia
"Sat, 11/23/24",Western Sydney Wanderers,Sydney FC,Starting XI,Lawrence Thomas,32,Goalkeeper,€450k,"Australia, Italy"
"Sat, 11/23/24",Western Sydney Wanderers,Sydney FC,Starting XI,Alex Bonetig,22,Centre-Back,€200k,Australia
"Sat, 11/23/24",Western Sydney Wanderers,Sydney FC,Starting XI,Tae-wook Jeong,27,Centre-Back,€700k,"Korea, South"
"Sat, 11/23/24",Western Sydney Wanderers,Sydney FC,Starting XI,Anthony Pantazopoulos,21,Left-Back,€50k,Australia
"Sat, 11/23/24",Western Sydney Wanderers,Sydney FC,Starting XI,Gabriel Cléùr,26,Right-Back,€350k,"Australia, Italy"
"Sat, 11/23/24",Western Sydney Wanderers,Sydney FC,Starting XI,Dylan Scicluna,20,Central Midfield,€100k,"Malta, Australia"
"Sat, 11/23/24",Western Sydney Wanderers,Sydney FC,Starting XI,Oscar Priestman,21,Central Midfield,€250k,Australia
"Sat, 11/23/24",Western Sydney Wanderers,Sydney FC,Starting XI,Bozhidar Kraev,27,Left Winger,€750k,Bulgaria
"Sat, 11/23/24",Western Sydney Wanderers,Sydney FC,Starting XI,Nicolas Milanovic,23,Right Winger,€450k,"Australia, Croatia"
"Sat, 11/23/24",Western Sydney Wanderers,Sydney FC,Starting XI,Zachary Sapsford,22,Centre-Forward,€150k,Australia
"Sat, 11/23/24",Western Sydney Wanderers,Sydney FC,Starting XI,Brandon Borrello,29,Centre-Forward,€700k,"Australia, Italy"
"Sat, 11/23/24",Western Sydney Wanderers,Sydney FC,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Sat, 11/23/24",Western Sydney Wanderers,Sydney FC,Substitutes,Jack Clisby,32,Centre-Back,€400k,Australia
"Sat, 11/23/24",Western Sydney Wanderers,Sydney FC,Substitutes,Dean Pelekanos,23,Central Midfield,€100k,Australia
"Sat, 11/23/24",Western Sydney Wanderers,Sydney FC,Substitutes,Juan Mata,36,Attacking Midfield,€700k,Spain
"Sat, 11/23/24",Western Sydney Wanderers,Sydney FC,Substitutes,Aydan Hammond,20,Right Winger,€50k,"Australia, Peru"
"Sat, 11/23/24",Western Sydney Wanderers,Sydney FC,Substitutes,James Temelkovski,26,Centre-Forward,€125k,Australia
"Sat, 11/23/24",Western Sydney Wanderers,Sydney FC,Substitutes,Marcus Antonsson,33,Centre-Forward,€600k,Sweden
