Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 11/24/24",Macarthur FC,Auckland FC,Starting XI,Filip Kurto,33,Goalkeeper,€450k,Poland
"Sun, 11/24/24",Macarthur FC,Auckland FC,Starting XI,Tomislav Uskok,33,Centre-Back,€275k,"Australia, Croatia"
"Sun, 11/24/24",Macarthur FC,Auckland FC,Starting XI,Dino Arslanagic,31,Centre-Back,€500k,"Belgium, Bosnia-Herzegovina"
"Sun, 11/24/24",Macarthur FC,Auckland FC,Starting XI,Ivan Vujica,27,Left-Back,€350k,"Australia, Croatia"
"Sun, 11/24/24",Macarthur FC,Auckland FC,Starting XI,Kealey Adamson,21,Right-Back,€200k,"Australia, Tanzania"
"Sun, 11/24/24",Macarthur FC,Auckland FC,Starting XI,Liam Rose,27,Central Midfield,€250k,Australia
"Sun, 11/24/24",Macarthur FC,Auckland FC,Starting XI,Luke Brattan,34,Central Midfield,€450k,"Australia, England"
"Sun, 11/24/24",Macarthur FC,Auckland FC,Starting XI,Marin Jakolis,27,Left Winger,€700k,"Croatia, Australia"
"Sun, 11/24/24",Macarthur FC,Auckland FC,Starting XI,Walter Scott,25,Right Winger,€100k,Australia
"Sun, 11/24/24",Macarthur FC,Auckland FC,Starting XI,Ariath Piol,20,Centre-Forward,€50k,"Australia, Sudan"
"Sun, 11/24/24",Macarthur FC,Auckland FC,Starting XI,Valère Germain,34,Centre-Forward,€1.00m,France
"Sun, 11/24/24",Macarthur FC,Auckland FC,Substitutes,Alex Robinson,19,Goalkeeper,€25k,Australia
"Sun, 11/24/24",Macarthur FC,Auckland FC,Substitutes,Matthew Jurman,34,Centre-Back,€250k,"Australia, England"
"Sun, 11/24/24",Macarthur FC,Auckland FC,Substitutes,Yianni Nicolaou,24,Right-Back,€200k,"Australia, Greece"
"Sun, 11/24/24",Macarthur FC,Auckland FC,Substitutes,Frans Deli,19,Central Midfield,€25k,Australia
"Sun, 11/24/24",Macarthur FC,Auckland FC,Substitutes,Daniel De Silva,27,Attacking Midfield,€350k,Australia
"Sun, 11/24/24",Macarthur FC,Auckland FC,Substitutes,Oliver Randazzo,18,Right Winger,€25k,Australia
"Sun, 11/24/24",Macarthur FC,Auckland FC,Substitutes,Harry Sawyer,27,Centre-Forward,€125k,Australia
"Sun, 11/24/24",Auckland FC,Macarthur FC,Starting XI,Alex Paulsen,22,Goalkeeper,€450k,"New Zealand, South Africa"
"Sun, 11/24/24",Auckland FC,Macarthur FC,Starting XI,Nando Pijnaker,25,Centre-Back,€150k,"New Zealand, Netherlands"
"Sun, 11/24/24",Auckland FC,Macarthur FC,Starting XI,Daniel Hall,25,Centre-Back,€350k,"Australia, Fiji"
"Sun, 11/24/24",Auckland FC,Macarthur FC,Starting XI,Francis de Vries,29,Left-Back,€375k,New Zealand
"Sun, 11/24/24",Auckland FC,Macarthur FC,Starting XI,Hiroki Sakai,34,Right-Back,€600k,Japan
"Sun, 11/24/24",Auckland FC,Macarthur FC,Starting XI,Louis Verstraete,25,Defensive Midfield,€400k,Belgium
"Sun, 11/24/24",Auckland FC,Macarthur FC,Starting XI,Luis Felipe Gallegos,32,Defensive Midfield,€300k,"Chile, Italy"
"Sun, 11/24/24",Auckland FC,Macarthur FC,Starting XI,Jake Brimmer,26,Attacking Midfield,€550k,"Australia, Malta"
"Sun, 11/24/24",Auckland FC,Macarthur FC,Starting XI,Liam Gillion,22,Left Winger,€375k,New Zealand
"Sun, 11/24/24",Auckland FC,Macarthur FC,Starting XI,Logan Rogerson,26,Right Winger,€200k,New Zealand
"Sun, 11/24/24",Auckland FC,Macarthur FC,Starting XI,Guillermo May,26,Centre-Forward,€800k,"Uruguay, Italy"
"Sun, 11/24/24",Auckland FC,Macarthur FC,Substitutes,Michael Woud,25,Goalkeeper,€200k,"New Zealand, Netherlands"
"Sun, 11/24/24",Auckland FC,Macarthur FC,Substitutes,Tommy Smith,34,Centre-Back,€100k,"New Zealand, England"
"Sun, 11/24/24",Auckland FC,Macarthur FC,Substitutes,Scott Galloway,29,Left-Back,€300k,"Australia, Northern Ireland"
"Sun, 11/24/24",Auckland FC,Macarthur FC,Substitutes,Cameron Howieson,29,Central Midfield,€400k,"New Zealand, Scotland"
"Sun, 11/24/24",Auckland FC,Macarthur FC,Substitutes,Luis Toomey,23,Left Winger,€250k,New Zealand
"Sun, 11/24/24",Auckland FC,Macarthur FC,Substitutes,Neyder Moreno,27,Right Winger,€450k,Colombia
"Sun, 11/24/24",Auckland FC,Macarthur FC,Substitutes,Max Mata,24,Centre-Forward,€275k,"New Zealand, Cookinseln"
