Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 11/29/24",Adelaide United,Perth Glory,Starting XI,James Delianov,25,Goalkeeper,€250k,Australia
"Fri, 11/29/24",Adelaide United,Perth Glory,Starting XI,Bart Vriends,33,Centre-Back,€400k,Netherlands
"Fri, 11/29/24",Adelaide United,Perth Glory,Starting XI,Panagiotis Kikianis,19,Centre-Back,€125k,Australia
"Fri, 11/29/24",Adelaide United,Perth Glory,Starting XI,Ryan Kitto,30,Left-Back,€450k,Australia
"Fri, 11/29/24",Adelaide United,Perth Glory,Starting XI,Dylan Pierias,24,Right-Back,€350k,"Australia, Italy"
"Fri, 11/29/24",Adelaide United,Perth Glory,Starting XI,Jay Barnett,23,Defensive Midfield,€150k,Australia
"Fri, 11/29/24",Adelaide United,Perth Glory,Starting XI,Ethan Alagich,20,Defensive Midfield,€200k,Australia
"Fri, 11/29/24",Adelaide United,Perth Glory,Starting XI,Stefan Mauk,29,Attacking Midfield,€600k,"Australia, Germany"
"Fri, 11/29/24",Adelaide United,Perth Glory,Starting XI,Ben Folami,25,Left Winger,€400k,"Australia, Nigeria"
"Fri, 11/29/24",Adelaide United,Perth Glory,Starting XI,Zach Clough,29,Right Winger,€550k,England
"Fri, 11/29/24",Adelaide United,Perth Glory,Starting XI,Luka Jovanovic,19,Centre-Forward,€250k,"Australia, Serbia"
"Fri, 11/29/24",Adelaide United,Perth Glory,Substitutes,Max Vartuli,19,Goalkeeper,€25k,"Australia, Italy"
"Fri, 11/29/24",Adelaide United,Perth Glory,Substitutes,Joshua Cavallo,25,Left-Back,€250k,"Australia, Italy"
"Fri, 11/29/24",Adelaide United,Perth Glory,Substitutes,Isaías Sánchez,37,Defensive Midfield,€175k,"Spain, Australia"
"Fri, 11/29/24",Adelaide United,Perth Glory,Substitutes,Jonny Yull,19,Attacking Midfield,€250k,"Australia, England"
"Fri, 11/29/24",Adelaide United,Perth Glory,Substitutes,Panashe Madanha,20,Right Winger,€100k,"Australia, Zimbabwe"
"Fri, 11/29/24",Adelaide United,Perth Glory,Substitutes,Austin Ayoubi,23,Left Winger,€75k,Australia
"Fri, 11/29/24",Adelaide United,Perth Glory,Substitutes,Archie Goodwin,20,Centre-Forward,€225k,Australia
"Fri, 11/29/24",Perth Glory,Adelaide United,Starting XI,Cameron Cook,23,Goalkeeper,€350k,Australia
"Fri, 11/29/24",Perth Glory,Adelaide United,Starting XI,Lachlan Barr,30,Centre-Back,€150k,"Australia, England"
"Fri, 11/29/24",Perth Glory,Adelaide United,Starting XI,Luis Cangá,29,Centre-Back,€600k,Ecuador
"Fri, 11/29/24",Perth Glory,Adelaide United,Starting XI,Anas Hamzaoui,28,Left-Back,€150k,"Belgium, Morocco"
"Fri, 11/29/24",Perth Glory,Adelaide United,Starting XI,Josh Risdon,32,Right-Back,€450k,Australia
"Fri, 11/29/24",Perth Glory,Adelaide United,Starting XI,Taras Gomulka,23,Central Midfield,€300k,"Australia, Ukraine"
"Fri, 11/29/24",Perth Glory,Adelaide United,Starting XI,Nicholas Pennington,25,Central Midfield,€350k,"Australia, Italy"
"Fri, 11/29/24",Perth Glory,Adelaide United,Starting XI,Khoa Ngo,18,Left Winger,€50k,Australia
"Fri, 11/29/24",Perth Glory,Adelaide United,Starting XI,Trent Ostler,22,Right Winger,€200k,Australia
"Fri, 11/29/24",Perth Glory,Adelaide United,Starting XI,Adam Bugarija,19,Second Striker,€50k,"Australia, Spain"
"Fri, 11/29/24",Perth Glory,Adelaide United,Starting XI,Adam Taggart,31,Centre-Forward,€750k,Australia
"Fri, 11/29/24",Perth Glory,Adelaide United,Substitutes,Oliver Sail,28,Goalkeeper,€500k,"New Zealand, Australia"
"Fri, 11/29/24",Perth Glory,Adelaide United,Substitutes,Zach Lisolajski,19,Left-Back,€50k,Australia
"Fri, 11/29/24",Perth Glory,Adelaide United,Substitutes,Brandon O'Neill,30,Central Midfield,€350k,Australia
"Fri, 11/29/24",Perth Glory,Adelaide United,Substitutes,Jarrod Carluccio,23,Left Winger,€300k,Australia
"Fri, 11/29/24",Perth Glory,Adelaide United,Substitutes,Cristian Caicedo,22,Left Winger,€150k,Colombia
"Fri, 11/29/24",Perth Glory,Adelaide United,Substitutes,David Williams,36,Right Winger,€150k,"Australia, England"
"Fri, 11/29/24",Perth Glory,Adelaide United,Substitutes,Nathanael Blair,20,Centre-Forward,€100k,Australia
