Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 11/30/24",Auckland FC,Newcastle United Jets,Starting XI,Alex Paulsen,22,Goalkeeper,€450k,"New Zealand, South Africa"
"Sat, 11/30/24",Auckland FC,Newcastle United Jets,Starting XI,Nando Pijnaker,25,Centre-Back,€150k,"New Zealand, Netherlands"
"Sat, 11/30/24",Auckland FC,Newcastle United Jets,Starting XI,Daniel Hall,25,Centre-Back,€350k,"Australia, Fiji"
"Sat, 11/30/24",Auckland FC,Newcastle United Jets,Starting XI,Francis de Vries,30,Left-Back,€375k,New Zealand
"Sat, 11/30/24",Auckland FC,Newcastle United Jets,Starting XI,Callan Elliot,25,Right-Back,€300k,"New Zealand, Scotland"
"Sat, 11/30/24",Auckland FC,Newcastle United Jets,Starting XI,Louis Verstraete,25,Defensive Midfield,€400k,Belgium
"Sat, 11/30/24",Auckland FC,Newcastle United Jets,Starting XI,Luis Felipe Gallegos,32,Defensive Midfield,€300k,"Chile, Italy"
"Sat, 11/30/24",Auckland FC,Newcastle United Jets,Starting XI,Jake Brimmer,26,Attacking Midfield,€550k,"Australia, Malta"
"Sat, 11/30/24",Auckland FC,Newcastle United Jets,Starting XI,Liam Gillion,22,Left Winger,€375k,New Zealand
"Sat, 11/30/24",Auckland FC,Newcastle United Jets,Starting XI,Logan Rogerson,26,Right Winger,€200k,New Zealand
"Sat, 11/30/24",Auckland FC,Newcastle United Jets,Starting XI,Guillermo May,26,Centre-Forward,€800k,"Uruguay, Italy"
"Sat, 11/30/24",Auckland FC,Newcastle United Jets,Substitutes,Michael Woud,25,Goalkeeper,€200k,"New Zealand, Netherlands"
"Sat, 11/30/24",Auckland FC,Newcastle United Jets,Substitutes,Tommy Smith,34,Centre-Back,€100k,"New Zealand, England"
"Sat, 11/30/24",Auckland FC,Newcastle United Jets,Substitutes,Scott Galloway,29,Left-Back,€300k,"Australia, Northern Ireland"
"Sat, 11/30/24",Auckland FC,Newcastle United Jets,Substitutes,Cameron Howieson,29,Central Midfield,€400k,"New Zealand, Scotland"
"Sat, 11/30/24",Auckland FC,Newcastle United Jets,Substitutes,Luis Toomey,23,Central Midfield,€250k,New Zealand
"Sat, 11/30/24",Auckland FC,Newcastle United Jets,Substitutes,Neyder Moreno,27,Right Winger,€450k,Colombia
"Sat, 11/30/24",Auckland FC,Newcastle United Jets,Substitutes,Max Mata,24,Centre-Forward,€275k,"New Zealand, Cookinseln"
"Sat, 11/30/24",Newcastle United Jets,Auckland FC,Starting XI,Ryan Scott,28,Goalkeeper,€300k,"Australia, England"
"Sat, 11/30/24",Newcastle United Jets,Auckland FC,Starting XI,Aleksandar Susnjar,29,Centre-Back,€300k,"Australia, Serbia"
"Sat, 11/30/24",Newcastle United Jets,Auckland FC,Starting XI,Phillip Cancar,23,Centre-Back,€350k,"Croatia, Australia"
"Sat, 11/30/24",Newcastle United Jets,Auckland FC,Starting XI,Mark Natta,22,Left-Back,€375k,"Australia, Italy"
"Sat, 11/30/24",Newcastle United Jets,Auckland FC,Starting XI,Dane Ingham,25,Right-Back,€400k,"New Zealand, Australia"
"Sat, 11/30/24",Newcastle United Jets,Auckland FC,Starting XI,Kosta Grozos,24,Defensive Midfield,€400k,Australia
"Sat, 11/30/24",Newcastle United Jets,Auckland FC,Starting XI,Callum Timmins,24,Defensive Midfield,€300k,"Australia, England"
"Sat, 11/30/24",Newcastle United Jets,Auckland FC,Starting XI,Lachlan Bayliss,22,Attacking Midfield,€150k,"New Zealand, Australia"
"Sat, 11/30/24",Newcastle United Jets,Auckland FC,Starting XI,Thomas Aquilina,23,Left Winger,€350k,"Australia, Malta"
"Sat, 11/30/24",Newcastle United Jets,Auckland FC,Starting XI,Eli Adams,22,Right Winger,€125k,Australia
"Sat, 11/30/24",Newcastle United Jets,Auckland FC,Starting XI,Ben Gibson,21,Centre-Forward,€75k,Australia
"Sat, 11/30/24",Newcastle United Jets,Auckland FC,Substitutes,Noah James,23,Goalkeeper,,Australia
"Sat, 11/30/24",Newcastle United Jets,Auckland FC,Substitutes,Nathan Grimaldi,23,Centre-Back,€100k,"Australia, Philippines"
"Sat, 11/30/24",Newcastle United Jets,Auckland FC,Substitutes,Daniel Wilmering,23,Left Winger,€250k,"Australia, Germany"
"Sat, 11/30/24",Newcastle United Jets,Auckland FC,Substitutes,Matthew Scarcella,20,Central Midfield,€50k,"Australia, Italy"
"Sat, 11/30/24",Newcastle United Jets,Auckland FC,Substitutes,Will Dobson,17,Central Midfield,,Australia
"Sat, 11/30/24",Newcastle United Jets,Auckland FC,Substitutes,Clayton Taylor,20,Right Winger,€300k,Australia
"Sat, 11/30/24",Newcastle United Jets,Auckland FC,Substitutes,Justin Vidic,20,Centre-Forward,€50k,Australia
