Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 11/30/24",Macarthur FC,Brisbane Roar,Starting XI,Filip Kurto,33,Goalkeeper,€450k,Poland
"Sat, 11/30/24",Macarthur FC,Brisbane Roar,Starting XI,Tomislav Uskok,33,Centre-Back,€275k,"Australia, Croatia"
"Sat, 11/30/24",Macarthur FC,Brisbane Roar,Starting XI,Dino Arslanagic,31,Centre-Back,€500k,"Belgium, Bosnia-Herzegovina"
"Sat, 11/30/24",Macarthur FC,Brisbane Roar,Starting XI,Ivan Vujica,27,Left-Back,€350k,"Australia, Croatia"
"Sat, 11/30/24",Macarthur FC,Brisbane Roar,Starting XI,Kealey Adamson,21,Right-Back,€200k,"Australia, Tanzania"
"Sat, 11/30/24",Macarthur FC,Brisbane Roar,Starting XI,Luke Brattan,34,Central Midfield,€450k,"Australia, England"
"Sat, 11/30/24",Macarthur FC,Brisbane Roar,Starting XI,Frans Deli,19,Central Midfield,€25k,Australia
"Sat, 11/30/24",Macarthur FC,Brisbane Roar,Starting XI,Marin Jakolis,27,Left Winger,€700k,"Croatia, Australia"
"Sat, 11/30/24",Macarthur FC,Brisbane Roar,Starting XI,Walter Scott,25,Right Winger,€100k,Australia
"Sat, 11/30/24",Macarthur FC,Brisbane Roar,Starting XI,Ariath Piol,20,Centre-Forward,€50k,"Australia, Sudan"
"Sat, 11/30/24",Macarthur FC,Brisbane Roar,Starting XI,Valère Germain,34,Centre-Forward,€1.00m,France
"Sat, 11/30/24",Macarthur FC,Brisbane Roar,Substitutes,Alex Robinson,19,Goalkeeper,€25k,Australia
"Sat, 11/30/24",Macarthur FC,Brisbane Roar,Substitutes,Matthew Jurman,34,Centre-Back,€250k,"Australia, England"
"Sat, 11/30/24",Macarthur FC,Brisbane Roar,Substitutes,Yianni Nicolaou,24,Right-Back,€200k,"Australia, Greece"
"Sat, 11/30/24",Macarthur FC,Brisbane Roar,Substitutes,Liam Rose,27,Defensive Midfield,€250k,Australia
"Sat, 11/30/24",Macarthur FC,Brisbane Roar,Substitutes,Daniel De Silva,27,Left Winger,€350k,Australia
"Sat, 11/30/24",Macarthur FC,Brisbane Roar,Substitutes,Jake Hollman,23,Central Midfield,€400k,Australia
"Sat, 11/30/24",Macarthur FC,Brisbane Roar,Substitutes,Jed Drew,21,Right Winger,€350k,Australia
"Sat, 11/30/24",Brisbane Roar,Macarthur FC,Starting XI,Macklin Freke,25,Goalkeeper,€300k,"Australia, New Zealand"
"Sat, 11/30/24",Brisbane Roar,Macarthur FC,Starting XI,Ben Warland,28,Centre-Back,€300k,Australia
"Sat, 11/30/24",Brisbane Roar,Macarthur FC,Starting XI,Scott Neville,35,Centre-Back,€150k,"Australia, England"
"Sat, 11/30/24",Brisbane Roar,Macarthur FC,Starting XI,Antonee Burke-Gilroy,27,Left-Back,€250k,"Australia, England"
"Sat, 11/30/24",Brisbane Roar,Macarthur FC,Starting XI,Jack Hingert,34,Right-Back,€175k,"Sri Lanka, Australia"
"Sat, 11/30/24",Brisbane Roar,Macarthur FC,Starting XI,Louis Zabala,23,Central Midfield,€175k,Australia
"Sat, 11/30/24",Brisbane Roar,Macarthur FC,Starting XI,Jay O'Shea,36,Central Midfield,€300k,Ireland
"Sat, 11/30/24",Brisbane Roar,Macarthur FC,Starting XI,Rafael Struick,21,Left Winger,€75k,"Indonesia, Netherlands"
"Sat, 11/30/24",Brisbane Roar,Macarthur FC,Starting XI,Keegan Jelacic,22,Right Winger,€300k,"Australia, New Zealand"
"Sat, 11/30/24",Brisbane Roar,Macarthur FC,Starting XI,Florin Bérenguer,35,Second Striker,€300k,France
"Sat, 11/30/24",Brisbane Roar,Macarthur FC,Starting XI,Thomas Waddingham,19,Centre-Forward,€350k,"Australia, England"
"Sat, 11/30/24",Brisbane Roar,Macarthur FC,Substitutes,Matt Acton,32,Goalkeeper,€200k,"Australia, Finland"
"Sat, 11/30/24",Brisbane Roar,Macarthur FC,Substitutes,Hosine Bility,23,Centre-Back,€50k,"Australia, Guinea"
"Sat, 11/30/24",Brisbane Roar,Macarthur FC,Substitutes,Harry Van der Saag,25,Right-Back,€250k,"Australia, Netherlands"
"Sat, 11/30/24",Brisbane Roar,Macarthur FC,Substitutes,Walid Shour,28,Central Midfield,€325k,"Lebanon, Sierra Leone"
"Sat, 11/30/24",Brisbane Roar,Macarthur FC,Substitutes,Sam Klein,20,Central Midfield,,Australia
"Sat, 11/30/24",Brisbane Roar,Macarthur FC,Substitutes,Jacob Brazete,18,Left Winger,,"Australia, Portugal"
"Sat, 11/30/24",Brisbane Roar,Macarthur FC,Substitutes,Ben Halloran,32,Centre-Forward,€400k,Australia
