Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 11/30/24",Melbourne City FC,Western Sydney Wanderers,Starting XI,Patrick Beach,21,Goalkeeper,€100k,Australia
"Sat, 11/30/24",Melbourne City FC,Western Sydney Wanderers,Starting XI,Samuel Souprayen,35,Centre-Back,€100k,"France, Réunion"
"Sat, 11/30/24",Melbourne City FC,Western Sydney Wanderers,Starting XI,Kai Trewin,23,Centre-Back,€400k,Australia
"Sat, 11/30/24",Melbourne City FC,Western Sydney Wanderers,Starting XI,Aziz Behich,33,Left-Back,€400k,"Australia, Türkiye"
"Sat, 11/30/24",Melbourne City FC,Western Sydney Wanderers,Starting XI,Callum Talbot,23,Right-Back,€350k,"Australia, Malta"
"Sat, 11/30/24",Melbourne City FC,Western Sydney Wanderers,Starting XI,Steven Ugarkovic,30,Central Midfield,€450k,"Australia, Croatia"
"Sat, 11/30/24",Melbourne City FC,Western Sydney Wanderers,Starting XI,Zane Schreiber,19,Central Midfield,€50k,Australia
"Sat, 11/30/24",Melbourne City FC,Western Sydney Wanderers,Starting XI,Andreas Kuen,29,Attacking Midfield,€450k,Austria
"Sat, 11/30/24",Melbourne City FC,Western Sydney Wanderers,Starting XI,Nathaniel Atkinson,25,Left Winger,€800k,Australia
"Sat, 11/30/24",Melbourne City FC,Western Sydney Wanderers,Starting XI,Yonatan Cohen,28,Right Winger,€350k,"Israel, Poland"
"Sat, 11/30/24",Melbourne City FC,Western Sydney Wanderers,Starting XI,Medin Memeti,17,Centre-Forward,,Australia
"Sat, 11/30/24",Melbourne City FC,Western Sydney Wanderers,Substitutes,Jamie Young,39,Goalkeeper,€200k,"England, Australia"
"Sat, 11/30/24",Melbourne City FC,Western Sydney Wanderers,Substitutes,Germán Ferreyra,28,Centre-Back,€450k,Argentina
"Sat, 11/30/24",Melbourne City FC,Western Sydney Wanderers,Substitutes,Harry Politidis,22,Left Winger,€100k,Australia
"Sat, 11/30/24",Melbourne City FC,Western Sydney Wanderers,Substitutes,James Jeggo,32,Central Midfield,€500k,"Australia, England"
"Sat, 11/30/24",Melbourne City FC,Western Sydney Wanderers,Substitutes,Benjamin Dunbar,18,Central Midfield,,Australia
"Sat, 11/30/24",Melbourne City FC,Western Sydney Wanderers,Substitutes,Kavian Rahmani,17,Attacking Midfield,,Australia
"Sat, 11/30/24",Melbourne City FC,Western Sydney Wanderers,Substitutes,Arion Sulemani,19,Centre-Forward,€25k,Australia
"Sat, 11/30/24",Western Sydney Wanderers,Melbourne City FC,Starting XI,Lawrence Thomas,32,Goalkeeper,€450k,"Australia, Italy"
"Sat, 11/30/24",Western Sydney Wanderers,Melbourne City FC,Starting XI,Alex Bonetig,22,Centre-Back,€200k,Australia
"Sat, 11/30/24",Western Sydney Wanderers,Melbourne City FC,Starting XI,Anthony Pantazopoulos,21,Centre-Back,€50k,Australia
"Sat, 11/30/24",Western Sydney Wanderers,Melbourne City FC,Starting XI,Jack Clisby,32,Left-Back,€400k,Australia
"Sat, 11/30/24",Western Sydney Wanderers,Melbourne City FC,Starting XI,Gabriel Cléùr,26,Right-Back,€350k,"Australia, Italy"
"Sat, 11/30/24",Western Sydney Wanderers,Melbourne City FC,Starting XI,Joshua Brillante,31,Defensive Midfield,€450k,"Australia, Italy"
"Sat, 11/30/24",Western Sydney Wanderers,Melbourne City FC,Starting XI,Dylan Scicluna,20,Defensive Midfield,€100k,"Malta, Australia"
"Sat, 11/30/24",Western Sydney Wanderers,Melbourne City FC,Starting XI,Bozhidar Kraev,27,Left Winger,€750k,Bulgaria
"Sat, 11/30/24",Western Sydney Wanderers,Melbourne City FC,Starting XI,Nicolas Milanovic,23,Right Winger,€450k,"Australia, Croatia"
"Sat, 11/30/24",Western Sydney Wanderers,Melbourne City FC,Starting XI,Zachary Sapsford,22,Centre-Forward,€150k,Australia
"Sat, 11/30/24",Western Sydney Wanderers,Melbourne City FC,Starting XI,Brandon Borrello,29,Centre-Forward,€700k,"Australia, Italy"
"Sat, 11/30/24",Western Sydney Wanderers,Melbourne City FC,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Sat, 11/30/24",Western Sydney Wanderers,Melbourne City FC,Substitutes,Dean Pelekanos,23,Centre-Back,€100k,Australia
"Sat, 11/30/24",Western Sydney Wanderers,Melbourne City FC,Substitutes,Oscar Priestman,21,Defensive Midfield,€250k,Australia
"Sat, 11/30/24",Western Sydney Wanderers,Melbourne City FC,Substitutes,Juan Mata,36,Attacking Midfield,€700k,Spain
"Sat, 11/30/24",Western Sydney Wanderers,Melbourne City FC,Substitutes,Aydan Hammond,20,Right Winger,€50k,"Australia, Peru"
"Sat, 11/30/24",Western Sydney Wanderers,Melbourne City FC,Substitutes,James Temelkovski,26,Centre-Forward,€125k,Australia
"Sat, 11/30/24",Western Sydney Wanderers,Melbourne City FC,Substitutes,Marcus Antonsson,33,Centre-Forward,€600k,Sweden
