Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 12/6/24",Brisbane Roar,Melbourne City FC,Starting XI,Macklin Freke,25,Goalkeeper,€300k,"Australia, New Zealand"
"Fri, 12/6/24",Brisbane Roar,Melbourne City FC,Starting XI,Ben Warland,28,Centre-Back,€300k,Australia
"Fri, 12/6/24",Brisbane Roar,Melbourne City FC,Starting XI,Scott Neville,35,Centre-Back,€150k,"Australia, England"
"Fri, 12/6/24",Brisbane Roar,Melbourne City FC,Starting XI,Antonee Burke-Gilroy,27,Left-Back,€250k,"Australia, England"
"Fri, 12/6/24",Brisbane Roar,Melbourne City FC,Starting XI,Jack Hingert,34,Right-Back,€175k,"Sri Lanka, Australia"
"Fri, 12/6/24",Brisbane Roar,Melbourne City FC,Starting XI,Louis Zabala,23,Central Midfield,€175k,Australia
"Fri, 12/6/24",Brisbane Roar,Melbourne City FC,Starting XI,Jay O'Shea,36,Central Midfield,€300k,Ireland
"Fri, 12/6/24",Brisbane Roar,Melbourne City FC,Starting XI,Florin Bérenguer,35,Central Midfield,€300k,France
"Fri, 12/6/24",Brisbane Roar,Melbourne City FC,Starting XI,Rafael Struick,21,Left Winger,€75k,"Indonesia, Netherlands"
"Fri, 12/6/24",Brisbane Roar,Melbourne City FC,Starting XI,Keegan Jelacic,22,Right Winger,€300k,"Australia, New Zealand"
"Fri, 12/6/24",Brisbane Roar,Melbourne City FC,Starting XI,Thomas Waddingham,19,Centre-Forward,€350k,"Australia, England"
"Fri, 12/6/24",Brisbane Roar,Melbourne City FC,Substitutes,Matt Acton,32,Goalkeeper,€200k,"Australia, Finland"
"Fri, 12/6/24",Brisbane Roar,Melbourne City FC,Substitutes,Hosine Bility,23,Centre-Back,€50k,"Australia, Guinea"
"Fri, 12/6/24",Brisbane Roar,Melbourne City FC,Substitutes,Corey Brown,30,Left-Back,€250k,Australia
"Fri, 12/6/24",Brisbane Roar,Melbourne City FC,Substitutes,Harry Van der Saag,25,Right-Back,€250k,"Australia, Netherlands"
"Fri, 12/6/24",Brisbane Roar,Melbourne City FC,Substitutes,Walid Shour,28,Central Midfield,€325k,"Lebanon, Sierra Leone"
"Fri, 12/6/24",Brisbane Roar,Melbourne City FC,Substitutes,Néicer Acosta,21,Right Winger,€75k,Ecuador
"Fri, 12/6/24",Brisbane Roar,Melbourne City FC,Substitutes,Jacob Brazete,18,Left Winger,,"Australia, Portugal"
"Fri, 12/6/24",Melbourne City FC,Brisbane Roar,Starting XI,Patrick Beach,21,Goalkeeper,€100k,Australia
"Fri, 12/6/24",Melbourne City FC,Brisbane Roar,Starting XI,Samuel Souprayen,35,Centre-Back,€100k,"France, Réunion"
"Fri, 12/6/24",Melbourne City FC,Brisbane Roar,Starting XI,Kai Trewin,23,Centre-Back,€400k,Australia
"Fri, 12/6/24",Melbourne City FC,Brisbane Roar,Starting XI,Aziz Behich,33,Left-Back,€400k,"Australia, Türkiye"
"Fri, 12/6/24",Melbourne City FC,Brisbane Roar,Starting XI,Nathaniel Atkinson,25,Right-Back,€800k,Australia
"Fri, 12/6/24",Melbourne City FC,Brisbane Roar,Starting XI,Steven Ugarkovic,30,Central Midfield,€450k,"Australia, Croatia"
"Fri, 12/6/24",Melbourne City FC,Brisbane Roar,Starting XI,James Jeggo,32,Central Midfield,€500k,"Australia, England"
"Fri, 12/6/24",Melbourne City FC,Brisbane Roar,Starting XI,Harry Politidis,22,Left Winger,€100k,Australia
"Fri, 12/6/24",Melbourne City FC,Brisbane Roar,Starting XI,Yonatan Cohen,28,Right Winger,€350k,"Israel, Poland"
"Fri, 12/6/24",Melbourne City FC,Brisbane Roar,Starting XI,Andreas Kuen,29,Second Striker,€450k,Austria
"Fri, 12/6/24",Melbourne City FC,Brisbane Roar,Starting XI,Arion Sulemani,19,Centre-Forward,€25k,Australia
"Fri, 12/6/24",Melbourne City FC,Brisbane Roar,Substitutes,Jamie Young,39,Goalkeeper,€200k,"England, Australia"
"Fri, 12/6/24",Melbourne City FC,Brisbane Roar,Substitutes,Germán Ferreyra,28,Right-Back,€450k,Argentina
"Fri, 12/6/24",Melbourne City FC,Brisbane Roar,Substitutes,Callum Talbot,23,Right-Back,€350k,"Australia, Malta"
"Fri, 12/6/24",Melbourne City FC,Brisbane Roar,Substitutes,Zane Schreiber,19,Defensive Midfield,€50k,Australia
"Fri, 12/6/24",Melbourne City FC,Brisbane Roar,Substitutes,Kavian Rahmani,17,Right Winger,,Australia
"Fri, 12/6/24",Melbourne City FC,Brisbane Roar,Substitutes,Benjamin Mazzeo,19,Left Winger,€75k,Australia
"Fri, 12/6/24",Melbourne City FC,Brisbane Roar,Substitutes,Medin Memeti,17,Centre-Forward,,Australia
