Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 12/7/24",Newcastle United Jets,Adelaide United,Starting XI,Ryan Scott,28,Goalkeeper,€300k,"Australia, England"
"Sat, 12/7/24",Newcastle United Jets,Adelaide United,Starting XI,Aleksandar Susnjar,29,Centre-Back,€300k,"Australia, Serbia"
"Sat, 12/7/24",Newcastle United Jets,Adelaide United,Starting XI,Phillip Cancar,23,Centre-Back,€350k,"Croatia, Australia"
"Sat, 12/7/24",Newcastle United Jets,Adelaide United,Starting XI,Mark Natta,22,Left-Back,€375k,"Australia, Italy"
"Sat, 12/7/24",Newcastle United Jets,Adelaide United,Starting XI,Dane Ingham,25,Right-Back,€400k,"New Zealand, Australia"
"Sat, 12/7/24",Newcastle United Jets,Adelaide United,Starting XI,Kosta Grozos,24,Central Midfield,€400k,Australia
"Sat, 12/7/24",Newcastle United Jets,Adelaide United,Starting XI,Callum Timmins,24,Central Midfield,€300k,"Australia, England"
"Sat, 12/7/24",Newcastle United Jets,Adelaide United,Starting XI,Thomas Aquilina,23,Left Winger,€350k,"Australia, Malta"
"Sat, 12/7/24",Newcastle United Jets,Adelaide United,Starting XI,Eli Adams,22,Right Winger,€125k,Australia
"Sat, 12/7/24",Newcastle United Jets,Adelaide United,Starting XI,Clayton Taylor,20,Centre-Forward,€300k,Australia
"Sat, 12/7/24",Newcastle United Jets,Adelaide United,Starting XI,Lachlan Rose,25,Centre-Forward,€325k,Australia
"Sat, 12/7/24",Newcastle United Jets,Adelaide United,Substitutes,Noah James,23,Goalkeeper,,Australia
"Sat, 12/7/24",Newcastle United Jets,Adelaide United,Substitutes,Daniel Wilmering,23,Left-Back,€250k,"Australia, Germany"
"Sat, 12/7/24",Newcastle United Jets,Adelaide United,Substitutes,Matthew Scarcella,20,Central Midfield,€50k,"Australia, Italy"
"Sat, 12/7/24",Newcastle United Jets,Adelaide United,Substitutes,Will Dobson,17,Central Midfield,,Australia
"Sat, 12/7/24",Newcastle United Jets,Adelaide United,Substitutes,Lachlan Bayliss,22,Left Winger,€150k,"New Zealand, Australia"
"Sat, 12/7/24",Newcastle United Jets,Adelaide United,Substitutes,Wellissol,26,Centre-Forward,€100k,Brazil
"Sat, 12/7/24",Newcastle United Jets,Adelaide United,Substitutes,Ben Gibson,21,Centre-Forward,€75k,Australia
"Sat, 12/7/24",Adelaide United,Newcastle United Jets,Starting XI,James Delianov,25,Goalkeeper,€250k,Australia
"Sat, 12/7/24",Adelaide United,Newcastle United Jets,Starting XI,Bart Vriends,33,Centre-Back,€400k,Netherlands
"Sat, 12/7/24",Adelaide United,Newcastle United Jets,Starting XI,Panagiotis Kikianis,19,Centre-Back,€125k,Australia
"Sat, 12/7/24",Adelaide United,Newcastle United Jets,Starting XI,Ryan Kitto,30,Left-Back,€450k,Australia
"Sat, 12/7/24",Adelaide United,Newcastle United Jets,Starting XI,Dylan Pierias,24,Right-Back,€350k,"Australia, Italy"
"Sat, 12/7/24",Adelaide United,Newcastle United Jets,Starting XI,Jay Barnett,23,Defensive Midfield,€150k,Australia
"Sat, 12/7/24",Adelaide United,Newcastle United Jets,Starting XI,Ethan Alagich,20,Defensive Midfield,€200k,Australia
"Sat, 12/7/24",Adelaide United,Newcastle United Jets,Starting XI,Stefan Mauk,29,Attacking Midfield,€600k,"Australia, Germany"
"Sat, 12/7/24",Adelaide United,Newcastle United Jets,Starting XI,Ben Folami,25,Left Winger,€400k,"Australia, Nigeria"
"Sat, 12/7/24",Adelaide United,Newcastle United Jets,Starting XI,Zach Clough,29,Right Winger,€550k,England
"Sat, 12/7/24",Adelaide United,Newcastle United Jets,Starting XI,Archie Goodwin,20,Centre-Forward,€225k,Australia
"Sat, 12/7/24",Adelaide United,Newcastle United Jets,Substitutes,Max Vartuli,19,Goalkeeper,€25k,"Australia, Italy"
"Sat, 12/7/24",Adelaide United,Newcastle United Jets,Substitutes,Isaías Sánchez,37,Defensive Midfield,€175k,"Spain, Australia"
"Sat, 12/7/24",Adelaide United,Newcastle United Jets,Substitutes,Jonny Yull,19,Attacking Midfield,€250k,"Australia, England"
"Sat, 12/7/24",Adelaide United,Newcastle United Jets,Substitutes,Panashe Madanha,20,Right Midfield,€100k,"Australia, Zimbabwe"
"Sat, 12/7/24",Adelaide United,Newcastle United Jets,Substitutes,Ryan White,20,Centre-Forward,€50k,Australia
"Sat, 12/7/24",Adelaide United,Newcastle United Jets,Substitutes,Austin Ayoubi,23,Attacking Midfield,€75k,Australia
"Sat, 12/7/24",Adelaide United,Newcastle United Jets,Substitutes,Luka Jovanovic,19,Centre-Forward,€250k,"Australia, Serbia"
