Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 12/7/24",Western United FC,Macarthur FC,Starting XI,Matt Sutton,24,Goalkeeper,€200k,Australia
"Sat, 12/7/24",Western United FC,Macarthur FC,Starting XI,Tomoki Imai,34,Centre-Back,€300k,Japan
"Sat, 12/7/24",Western United FC,Macarthur FC,Starting XI,Dylan Leonard,17,Centre-Back,,"Australia, Scotland"
"Sat, 12/7/24",Western United FC,Macarthur FC,Starting XI,Charbel Shamoon,20,Left-Back,€50k,"Iraq, Australia"
"Sat, 12/7/24",Western United FC,Macarthur FC,Starting XI,Tate Russell,25,Right-Back,€325k,Australia
"Sat, 12/7/24",Western United FC,Macarthur FC,Starting XI,Rhys Bozinovski,20,Central Midfield,€100k,"Australia, Malta"
"Sat, 12/7/24",Western United FC,Macarthur FC,Starting XI,Angus Thurgate,24,Central Midfield,€500k,Australia
"Sat, 12/7/24",Western United FC,Macarthur FC,Starting XI,Abel Walatee,20,Left Winger,€25k,"Australia, Ghana"
"Sat, 12/7/24",Western United FC,Macarthur FC,Starting XI,Riku Danzaki,24,Right Winger,€250k,Japan
"Sat, 12/7/24",Western United FC,Macarthur FC,Starting XI,Hiroshi Ibusuki,33,Centre-Forward,€250k,Japan
"Sat, 12/7/24",Western United FC,Macarthur FC,Starting XI,Noah Botic,22,Centre-Forward,€350k,"Australia, Croatia"
"Sat, 12/7/24",Western United FC,Macarthur FC,Substitutes,Tom Heward-Belle,27,Goalkeeper,€300k,Australia
"Sat, 12/7/24",Western United FC,Macarthur FC,Substitutes,Kane Vidmar,20,Centre-Back,€200k,"Australia, Wales"
"Sat, 12/7/24",Western United FC,Macarthur FC,Substitutes,Jordan Lauton,21,Central Midfield,€25k,Australia
"Sat, 12/7/24",Western United FC,Macarthur FC,Substitutes,Ramy Najjarine,24,Right Winger,€300k,"Australia, Lebanon"
"Sat, 12/7/24",Western United FC,Macarthur FC,Substitutes,Matthew Grimaldi,21,Left Winger,€200k,Australia
"Sat, 12/7/24",Western United FC,Macarthur FC,Substitutes,Jake Najdovski,19,Centre-Forward,€25k,Australia
"Sat, 12/7/24",Western United FC,Macarthur FC,Substitutes,Michael Ruhs,22,Centre-Forward,€200k,Australia
"Sat, 12/7/24",Macarthur FC,Western United FC,Starting XI,Filip Kurto,33,Goalkeeper,€450k,Poland
"Sat, 12/7/24",Macarthur FC,Western United FC,Starting XI,Oliver Jones,21,Centre-Back,€100k,Australia
"Sat, 12/7/24",Macarthur FC,Western United FC,Starting XI,Dino Arslanagic,31,Centre-Back,€500k,"Belgium, Bosnia-Herzegovina"
"Sat, 12/7/24",Macarthur FC,Western United FC,Starting XI,Ivan Vujica,27,Left-Back,€350k,"Australia, Croatia"
"Sat, 12/7/24",Macarthur FC,Western United FC,Starting XI,Kealey Adamson,21,Right-Back,€200k,"Australia, Tanzania"
"Sat, 12/7/24",Macarthur FC,Western United FC,Starting XI,Liam Rose,27,Central Midfield,€250k,Australia
"Sat, 12/7/24",Macarthur FC,Western United FC,Starting XI,Luke Brattan,34,Central Midfield,€450k,"Australia, England"
"Sat, 12/7/24",Macarthur FC,Western United FC,Starting XI,Jake Hollman,23,Attacking Midfield,€400k,Australia
"Sat, 12/7/24",Macarthur FC,Western United FC,Starting XI,Marin Jakolis,27,Left Winger,€700k,"Croatia, Australia"
"Sat, 12/7/24",Macarthur FC,Western United FC,Starting XI,Jed Drew,21,Right Winger,€350k,Australia
"Sat, 12/7/24",Macarthur FC,Western United FC,Starting XI,Valère Germain,34,Centre-Forward,€1.00m,France
"Sat, 12/7/24",Macarthur FC,Western United FC,Substitutes,Alex Robinson,19,Goalkeeper,€25k,Australia
"Sat, 12/7/24",Macarthur FC,Western United FC,Substitutes,Tomislav Uskok,33,Centre-Back,€275k,"Australia, Croatia"
"Sat, 12/7/24",Macarthur FC,Western United FC,Substitutes,Walter Scott,25,Left Winger,€100k,Australia
"Sat, 12/7/24",Macarthur FC,Western United FC,Substitutes,Frans Deli,19,Central Midfield,€25k,Australia
"Sat, 12/7/24",Macarthur FC,Western United FC,Substitutes,Daniel De Silva,27,Attacking Midfield,€350k,Australia
"Sat, 12/7/24",Macarthur FC,Western United FC,Substitutes,Ariath Piol,20,Centre-Forward,€50k,"Australia, Sudan"
"Sat, 12/7/24",Macarthur FC,Western United FC,Substitutes,Dean Bosnjak,18,Right Winger,,Australia
