Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 12/8/24",Central Coast Mariners,Sydney FC,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€25k,Australia
"Sun, 12/8/24",Central Coast Mariners,Sydney FC,Starting XI,Nathan Paull,21,Centre-Back,€150k,Australia
"Sun, 12/8/24",Central Coast Mariners,Sydney FC,Starting XI,Brian Kaltak,31,Centre-Back,€450k,Vanuatu
"Sun, 12/8/24",Central Coast Mariners,Sydney FC,Starting XI,Lucas Mauragis,23,Left-Back,€400k,"Australia, Lithuania"
"Sun, 12/8/24",Central Coast Mariners,Sydney FC,Starting XI,Storm Roux,31,Right-Back,€350k,"New Zealand, Australia"
"Sun, 12/8/24",Central Coast Mariners,Sydney FC,Starting XI,Harrison Steele,22,Central Midfield,€250k,Australia
"Sun, 12/8/24",Central Coast Mariners,Sydney FC,Starting XI,Alfie McCalmont,24,Central Midfield,€175k,"Northern Ireland, England"
"Sun, 12/8/24",Central Coast Mariners,Sydney FC,Starting XI,Christian Theoharous,25,Left Winger,€300k,"Australia, Cyprus"
"Sun, 12/8/24",Central Coast Mariners,Sydney FC,Starting XI,Sasha Kuzevski,23,Right Winger,€50k,Australia
"Sun, 12/8/24",Central Coast Mariners,Sydney FC,Starting XI,Mikael Doka,24,Second Striker,€400k,Brazil
"Sun, 12/8/24",Central Coast Mariners,Sydney FC,Starting XI,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Sun, 12/8/24",Central Coast Mariners,Sydney FC,Substitutes,Adam Pavlesic,22,Goalkeeper,€100k,"Australia, Croatia"
"Sun, 12/8/24",Central Coast Mariners,Sydney FC,Substitutes,Diesel Herrington,20,Centre-Back,€150k,Australia
"Sun, 12/8/24",Central Coast Mariners,Sydney FC,Substitutes,Noah Smith,23,Left-Back,€150k,Australia
"Sun, 12/8/24",Central Coast Mariners,Sydney FC,Substitutes,Will Wilson,22,Central Midfield,€175k,"Kenya, Australia"
"Sun, 12/8/24",Central Coast Mariners,Sydney FC,Substitutes,Haine Eames,16,Central Midfield,,Australia
"Sun, 12/8/24",Central Coast Mariners,Sydney FC,Substitutes,Vitor Feijão,28,Left Winger,€150k,Brazil
"Sun, 12/8/24",Central Coast Mariners,Sydney FC,Substitutes,Sabit James Ngor,23,Centre-Forward,€100k,"Australia, Southern Sudan"
"Sun, 12/8/24",Sydney FC,Central Coast Mariners,Starting XI,Harrison Devenish-Meares,28,Goalkeeper,€25k,Australia
"Sun, 12/8/24",Sydney FC,Central Coast Mariners,Starting XI,Hayden Matthews,20,Centre-Back,€300k,Australia
"Sun, 12/8/24",Sydney FC,Central Coast Mariners,Starting XI,Alexandar Popovic,22,Centre-Back,€325k,Australia
"Sun, 12/8/24",Sydney FC,Central Coast Mariners,Starting XI,Jordan Courtney-Perkins,22,Left-Back,€400k,Australia
"Sun, 12/8/24",Sydney FC,Central Coast Mariners,Starting XI,Rhyan Grant,33,Right-Back,€500k,Australia
"Sun, 12/8/24",Sydney FC,Central Coast Mariners,Starting XI,Léo Sena,28,Defensive Midfield,€500k,Brazil
"Sun, 12/8/24",Sydney FC,Central Coast Mariners,Starting XI,Anthony Cáceres,32,Defensive Midfield,€600k,"Australia, Uruguay"
"Sun, 12/8/24",Sydney FC,Central Coast Mariners,Starting XI,Douglas Costa,34,Attacking Midfield,€800k,Brazil
"Sun, 12/8/24",Sydney FC,Central Coast Mariners,Starting XI,Anas Ouahim,27,Left Winger,€500k,"Morocco, Germany"
"Sun, 12/8/24",Sydney FC,Central Coast Mariners,Starting XI,Joe Lolley,32,Right Winger,€1.50m,England
"Sun, 12/8/24",Sydney FC,Central Coast Mariners,Starting XI,Patryk Klimala,26,Centre-Forward,€600k,Poland
"Sun, 12/8/24",Sydney FC,Central Coast Mariners,Substitutes,Andrew Redmayne,35,Goalkeeper,€400k,Australia
"Sun, 12/8/24",Sydney FC,Central Coast Mariners,Substitutes,Aaron Gurd,23,Defensive Midfield,€125k,"Australia, Thailand"
"Sun, 12/8/24",Sydney FC,Central Coast Mariners,Substitutes,Joel King,24,Left-Back,€500k,Australia
"Sun, 12/8/24",Sydney FC,Central Coast Mariners,Substitutes,Jaiden Kucharski,22,Left Winger,€350k,"Australia, Poland"
"Sun, 12/8/24",Sydney FC,Central Coast Mariners,Substitutes,Marin France,17,Left Winger,€50k,Australia
"Sun, 12/8/24",Sydney FC,Central Coast Mariners,Substitutes,Adrian Segecic,20,Attacking Midfield,€400k,"Australia, Croatia"
"Sun, 12/8/24",Sydney FC,Central Coast Mariners,Substitutes,Patrick Wood,22,Centre-Forward,€350k,Australia
