Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 12/8/24",Melbourne Victory,Perth Glory,Starting XI,Jack Duncan,31,Goalkeeper,€250k,Australia
"Sun, 12/8/24",Melbourne Victory,Perth Glory,Starting XI,Brendan Hamill,32,Centre-Back,€350k,"Australia, Ireland"
"Sun, 12/8/24",Melbourne Victory,Perth Glory,Starting XI,Roderick Miranda,33,Centre-Back,€750k,"Portugal, Brazil"
"Sun, 12/8/24",Melbourne Victory,Perth Glory,Starting XI,Adama Traoré,34,Left-Back,€175k,"Cote d'Ivoire, Australia"
"Sun, 12/8/24",Melbourne Victory,Perth Glory,Starting XI,Jason Geria,31,Right-Back,€500k,"Australia, Uganda"
"Sun, 12/8/24",Melbourne Victory,Perth Glory,Starting XI,Ryan Teague,22,Defensive Midfield,€400k,Australia
"Sun, 12/8/24",Melbourne Victory,Perth Glory,Starting XI,Jordi Valadon,21,Defensive Midfield,€125k,Australia
"Sun, 12/8/24",Melbourne Victory,Perth Glory,Starting XI,Zinédine Machach,28,Attacking Midfield,€600k,"France, Morocco"
"Sun, 12/8/24",Melbourne Victory,Perth Glory,Starting XI,Daniel Arzani,25,Left Winger,€500k,Australia
"Sun, 12/8/24",Melbourne Victory,Perth Glory,Starting XI,Clarismario,23,Right Winger,€450k,Brazil
"Sun, 12/8/24",Melbourne Victory,Perth Glory,Starting XI,Nikolaos Vergos,28,Centre-Forward,€450k,Greece
"Sun, 12/8/24",Melbourne Victory,Perth Glory,Substitutes,Daniel Graskoski,17,Goalkeeper,,Australia
"Sun, 12/8/24",Melbourne Victory,Perth Glory,Substitutes,Joshua Inserra,19,Centre-Back,€50k,Australia
"Sun, 12/8/24",Melbourne Victory,Perth Glory,Substitutes,Joshua Rawlins,20,Left-Back,€250k,Australia
"Sun, 12/8/24",Melbourne Victory,Perth Glory,Substitutes,Fabian Monge,23,Central Midfield,€200k,Australia
"Sun, 12/8/24",Melbourne Victory,Perth Glory,Substitutes,Reno Piscopo,26,Left Winger,€450k,"Australia, Italy"
"Sun, 12/8/24",Melbourne Victory,Perth Glory,Substitutes,Jing Reec,21,Right Winger,€150k,"Australia, Southern Sudan"
"Sun, 12/8/24",Melbourne Victory,Perth Glory,Substitutes,Bruno Fornaroli,37,Centre-Forward,€450k,"Australia, Uruguay"
"Sun, 12/8/24",Perth Glory,Melbourne Victory,Starting XI,Cameron Cook,23,Goalkeeper,€350k,Australia
"Sun, 12/8/24",Perth Glory,Melbourne Victory,Starting XI,Lachlan Barr,30,Centre-Back,€150k,"Australia, England"
"Sun, 12/8/24",Perth Glory,Melbourne Victory,Starting XI,Luis Cangá,29,Centre-Back,€600k,Ecuador
"Sun, 12/8/24",Perth Glory,Melbourne Victory,Starting XI,Riley Warland,22,Left-Back,€200k,"Australia, England"
"Sun, 12/8/24",Perth Glory,Melbourne Victory,Starting XI,Josh Risdon,32,Right-Back,€450k,Australia
"Sun, 12/8/24",Perth Glory,Melbourne Victory,Starting XI,Taras Gomulka,23,Central Midfield,€300k,"Australia, Ukraine"
"Sun, 12/8/24",Perth Glory,Melbourne Victory,Starting XI,Nicholas Pennington,25,Central Midfield,€350k,"Australia, Italy"
"Sun, 12/8/24",Perth Glory,Melbourne Victory,Starting XI,Khoa Ngo,18,Left Winger,€50k,Australia
"Sun, 12/8/24",Perth Glory,Melbourne Victory,Starting XI,Jarrod Carluccio,23,Right Winger,€300k,Australia
"Sun, 12/8/24",Perth Glory,Melbourne Victory,Starting XI,Adam Bugarija,19,Second Striker,€50k,"Australia, Spain"
"Sun, 12/8/24",Perth Glory,Melbourne Victory,Starting XI,Adam Taggart,31,Centre-Forward,€750k,Australia
"Sun, 12/8/24",Perth Glory,Melbourne Victory,Substitutes,Oliver Sail,28,Goalkeeper,€500k,"New Zealand, Australia"
"Sun, 12/8/24",Perth Glory,Melbourne Victory,Substitutes,Zach Lisolajski,19,Left-Back,€50k,Australia
"Sun, 12/8/24",Perth Glory,Melbourne Victory,Substitutes,Brandon O'Neill,30,Central Midfield,€350k,Australia
"Sun, 12/8/24",Perth Glory,Melbourne Victory,Substitutes,Abdul Faisal,19,Left Winger,€100k,Australia
"Sun, 12/8/24",Perth Glory,Melbourne Victory,Substitutes,Joel Anasmo,20,Centre-Forward,€75k,"Australia, Southern Sudan"
"Sun, 12/8/24",Perth Glory,Melbourne Victory,Substitutes,David Williams,36,Right Winger,€150k,"Australia, England"
"Sun, 12/8/24",Perth Glory,Melbourne Victory,Substitutes,Nathanael Blair,20,Left Winger,€100k,Australia
