Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 12/13/24",Central Coast Mariners,Adelaide United,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€25k,Australia
"Fri, 12/13/24",Central Coast Mariners,Adelaide United,Starting XI,Nathan Paull,21,Centre-Back,€150k,Australia
"Fri, 12/13/24",Central Coast Mariners,Adelaide United,Starting XI,Brian Kaltak,31,Centre-Back,€450k,Vanuatu
"Fri, 12/13/24",Central Coast Mariners,Adelaide United,Starting XI,Lucas Mauragis,23,Left-Back,€400k,"Australia, Lithuania"
"Fri, 12/13/24",Central Coast Mariners,Adelaide United,Starting XI,Storm Roux,31,Right-Back,€350k,"New Zealand, Australia"
"Fri, 12/13/24",Central Coast Mariners,Adelaide United,Starting XI,Harrison Steele,22,Central Midfield,€250k,Australia
"Fri, 12/13/24",Central Coast Mariners,Adelaide United,Starting XI,Alfie McCalmont,24,Central Midfield,€175k,"Northern Ireland, England"
"Fri, 12/13/24",Central Coast Mariners,Adelaide United,Starting XI,Christian Theoharous,25,Left Winger,€300k,"Australia, Cyprus"
"Fri, 12/13/24",Central Coast Mariners,Adelaide United,Starting XI,Sasha Kuzevski,23,Right Winger,€50k,Australia
"Fri, 12/13/24",Central Coast Mariners,Adelaide United,Starting XI,Mikael Doka,24,Second Striker,€400k,Brazil
"Fri, 12/13/24",Central Coast Mariners,Adelaide United,Starting XI,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Fri, 12/13/24",Central Coast Mariners,Adelaide United,Substitutes,Adam Pavlesic,22,Goalkeeper,€100k,"Australia, Croatia"
"Fri, 12/13/24",Central Coast Mariners,Adelaide United,Substitutes,Diesel Herrington,20,Centre-Back,€150k,Australia
"Fri, 12/13/24",Central Coast Mariners,Adelaide United,Substitutes,Noah Smith,23,Left-Back,€150k,Australia
"Fri, 12/13/24",Central Coast Mariners,Adelaide United,Substitutes,Will Wilson,22,Central Midfield,€175k,"Kenya, Australia"
"Fri, 12/13/24",Central Coast Mariners,Adelaide United,Substitutes,Haine Eames,16,Attacking Midfield,,Australia
"Fri, 12/13/24",Central Coast Mariners,Adelaide United,Substitutes,Vitor Feijão,28,Right Winger,€150k,Brazil
"Fri, 12/13/24",Central Coast Mariners,Adelaide United,Substitutes,Sabit James Ngor,23,Left Winger,€100k,"Australia, Southern Sudan"
"Fri, 12/13/24",Adelaide United,Central Coast Mariners,Starting XI,James Delianov,25,Goalkeeper,€250k,Australia
"Fri, 12/13/24",Adelaide United,Central Coast Mariners,Starting XI,Bart Vriends,33,Centre-Back,€400k,Netherlands
"Fri, 12/13/24",Adelaide United,Central Coast Mariners,Starting XI,Panagiotis Kikianis,19,Centre-Back,€125k,Australia
"Fri, 12/13/24",Adelaide United,Central Coast Mariners,Starting XI,Ryan Kitto,30,Left-Back,€450k,Australia
"Fri, 12/13/24",Adelaide United,Central Coast Mariners,Starting XI,Dylan Pierias,24,Right-Back,€350k,"Australia, Italy"
"Fri, 12/13/24",Adelaide United,Central Coast Mariners,Starting XI,Isaías Sánchez,37,Defensive Midfield,€175k,"Spain, Australia"
"Fri, 12/13/24",Adelaide United,Central Coast Mariners,Starting XI,Ethan Alagich,20,Defensive Midfield,€200k,Australia
"Fri, 12/13/24",Adelaide United,Central Coast Mariners,Starting XI,Stefan Mauk,29,Attacking Midfield,€600k,"Australia, Germany"
"Fri, 12/13/24",Adelaide United,Central Coast Mariners,Starting XI,Austin Ayoubi,23,Left Winger,€75k,Australia
"Fri, 12/13/24",Adelaide United,Central Coast Mariners,Starting XI,Zach Clough,29,Right Winger,€550k,England
"Fri, 12/13/24",Adelaide United,Central Coast Mariners,Starting XI,Archie Goodwin,20,Centre-Forward,€225k,Australia
"Fri, 12/13/24",Adelaide United,Central Coast Mariners,Substitutes,Max Vartuli,19,Goalkeeper,€25k,"Australia, Italy"
"Fri, 12/13/24",Adelaide United,Central Coast Mariners,Substitutes,Jonny Yull,19,Central Midfield,€250k,"Australia, England"
"Fri, 12/13/24",Adelaide United,Central Coast Mariners,Substitutes,Ryan Tunnicliffe,31,Central Midfield,€250k,England
"Fri, 12/13/24",Adelaide United,Central Coast Mariners,Substitutes,Panashe Madanha,20,Right Midfield,€100k,"Australia, Zimbabwe"
"Fri, 12/13/24",Adelaide United,Central Coast Mariners,Substitutes,Ryan White,20,Attacking Midfield,€50k,Australia
"Fri, 12/13/24",Adelaide United,Central Coast Mariners,Substitutes,Yaya Dukuly,21,Left Winger,€100k,"Australia, Guinea"
"Fri, 12/13/24",Adelaide United,Central Coast Mariners,Substitutes,Luka Jovanovic,19,Centre-Forward,€250k,"Australia, Serbia"
