Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 12/14/24",Perth Glory,Newcastle United Jets,Starting XI,Cameron Cook,23,Goalkeeper,€350k,Australia
"Sat, 12/14/24",Perth Glory,Newcastle United Jets,Starting XI,Tomislav Mrcela,34,Centre-Back,€200k,"Australia, Croatia"
"Sat, 12/14/24",Perth Glory,Newcastle United Jets,Starting XI,Luis Cangá,29,Centre-Back,€600k,Ecuador
"Sat, 12/14/24",Perth Glory,Newcastle United Jets,Starting XI,Riley Warland,22,Left-Back,€200k,"Australia, England"
"Sat, 12/14/24",Perth Glory,Newcastle United Jets,Starting XI,Josh Risdon,32,Right-Back,€450k,Australia
"Sat, 12/14/24",Perth Glory,Newcastle United Jets,Starting XI,Brandon O'Neill,30,Defensive Midfield,€350k,Australia
"Sat, 12/14/24",Perth Glory,Newcastle United Jets,Starting XI,Taras Gomulka,23,Defensive Midfield,€300k,"Australia, Ukraine"
"Sat, 12/14/24",Perth Glory,Newcastle United Jets,Starting XI,Nicholas Pennington,25,Attacking Midfield,€350k,"Australia, Italy"
"Sat, 12/14/24",Perth Glory,Newcastle United Jets,Starting XI,Khoa Ngo,18,Left Winger,€50k,Australia
"Sat, 12/14/24",Perth Glory,Newcastle United Jets,Starting XI,Adam Bugarija,19,Right Winger,€50k,"Australia, Spain"
"Sat, 12/14/24",Perth Glory,Newcastle United Jets,Starting XI,Adam Taggart,31,Centre-Forward,€750k,Australia
"Sat, 12/14/24",Perth Glory,Newcastle United Jets,Substitutes,Oliver Sail,28,Goalkeeper,€500k,"New Zealand, Australia"
"Sat, 12/14/24",Perth Glory,Newcastle United Jets,Substitutes,Lachlan Barr,30,Centre-Back,€150k,"Australia, England"
"Sat, 12/14/24",Perth Glory,Newcastle United Jets,Substitutes,Abdul Faisal,19,Left Winger,€100k,Australia
"Sat, 12/14/24",Perth Glory,Newcastle United Jets,Substitutes,Jarrod Carluccio,23,Right Winger,€300k,Australia
"Sat, 12/14/24",Perth Glory,Newcastle United Jets,Substitutes,Joel Anasmo,20,Right Winger,€75k,"Australia, Southern Sudan"
"Sat, 12/14/24",Perth Glory,Newcastle United Jets,Substitutes,David Williams,36,Centre-Forward,€150k,"Australia, England"
"Sat, 12/14/24",Perth Glory,Newcastle United Jets,Substitutes,Nathanael Blair,20,Centre-Forward,€100k,Australia
"Sat, 12/14/24",Newcastle United Jets,Perth Glory,Starting XI,Ryan Scott,28,Goalkeeper,€300k,"Australia, England"
"Sat, 12/14/24",Newcastle United Jets,Perth Glory,Starting XI,Aleksandar Susnjar,29,Centre-Back,€300k,"Australia, Serbia"
"Sat, 12/14/24",Newcastle United Jets,Perth Glory,Starting XI,Mark Natta,22,Centre-Back,€375k,"Australia, Italy"
"Sat, 12/14/24",Newcastle United Jets,Perth Glory,Starting XI,Phillip Cancar,23,Centre-Back,€350k,"Croatia, Australia"
"Sat, 12/14/24",Newcastle United Jets,Perth Glory,Starting XI,Kosta Grozos,24,Central Midfield,€400k,Australia
"Sat, 12/14/24",Newcastle United Jets,Perth Glory,Starting XI,Callum Timmins,24,Central Midfield,€300k,"Australia, England"
"Sat, 12/14/24",Newcastle United Jets,Perth Glory,Starting XI,Thomas Aquilina,23,Right Midfield,€350k,"Australia, Malta"
"Sat, 12/14/24",Newcastle United Jets,Perth Glory,Starting XI,Daniel Wilmering,23,Left Midfield,€250k,"Australia, Germany"
"Sat, 12/14/24",Newcastle United Jets,Perth Glory,Starting XI,Clayton Taylor,20,Attacking Midfield,€300k,Australia
"Sat, 12/14/24",Newcastle United Jets,Perth Glory,Starting XI,Eli Adams,22,Attacking Midfield,€125k,Australia
"Sat, 12/14/24",Newcastle United Jets,Perth Glory,Starting XI,Ben Gibson,21,Centre-Forward,€75k,Australia
"Sat, 12/14/24",Newcastle United Jets,Perth Glory,Substitutes,Noah James,23,Goalkeeper,,Australia
"Sat, 12/14/24",Newcastle United Jets,Perth Glory,Substitutes,Nathan Grimaldi,23,Centre-Back,€100k,"Australia, Philippines"
"Sat, 12/14/24",Newcastle United Jets,Perth Glory,Substitutes,Matthew Scarcella,20,Attacking Midfield,€50k,"Australia, Italy"
"Sat, 12/14/24",Newcastle United Jets,Perth Glory,Substitutes,Will Dobson,17,Central Midfield,,Australia
"Sat, 12/14/24",Newcastle United Jets,Perth Glory,Substitutes,Lachlan Bayliss,22,Central Midfield,€150k,"New Zealand, Australia"
"Sat, 12/14/24",Newcastle United Jets,Perth Glory,Substitutes,Wellissol,26,Centre-Forward,€100k,Brazil
"Sat, 12/14/24",Newcastle United Jets,Perth Glory,Substitutes,Justin Vidic,20,Centre-Forward,€50k,Australia
