Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 12/14/24",Sydney FC,Western United FC,Starting XI,Andrew Redmayne,35,Goalkeeper,€400k,Australia
"Sat, 12/14/24",Sydney FC,Western United FC,Starting XI,Hayden Matthews,20,Centre-Back,€300k,Australia
"Sat, 12/14/24",Sydney FC,Western United FC,Starting XI,Alexandar Popovic,22,Centre-Back,€325k,Australia
"Sat, 12/14/24",Sydney FC,Western United FC,Starting XI,Jordan Courtney-Perkins,22,Left-Back,€400k,Australia
"Sat, 12/14/24",Sydney FC,Western United FC,Starting XI,Rhyan Grant,33,Right-Back,€500k,Australia
"Sat, 12/14/24",Sydney FC,Western United FC,Starting XI,Anthony Cáceres,32,Defensive Midfield,€600k,"Australia, Uruguay"
"Sat, 12/14/24",Sydney FC,Western United FC,Starting XI,Adrian Segecic,20,Defensive Midfield,€400k,"Australia, Croatia"
"Sat, 12/14/24",Sydney FC,Western United FC,Starting XI,Anas Ouahim,27,Attacking Midfield,€500k,"Morocco, Germany"
"Sat, 12/14/24",Sydney FC,Western United FC,Starting XI,Joe Lolley,32,Left Winger,€1.50m,England
"Sat, 12/14/24",Sydney FC,Western United FC,Starting XI,Douglas Costa,34,Right Winger,€800k,Brazil
"Sat, 12/14/24",Sydney FC,Western United FC,Starting XI,Patryk Klimala,26,Centre-Forward,€600k,Poland
"Sat, 12/14/24",Sydney FC,Western United FC,Substitutes,Gus Hoefsloot,18,Goalkeeper,€50k,"Australia, Netherlands"
"Sat, 12/14/24",Sydney FC,Western United FC,Substitutes,Aaron Gurd,23,Centre-Back,€125k,"Australia, Thailand"
"Sat, 12/14/24",Sydney FC,Western United FC,Substitutes,Joel King,24,Left-Back,€500k,Australia
"Sat, 12/14/24",Sydney FC,Western United FC,Substitutes,Léo Sena,28,Defensive Midfield,€500k,Brazil
"Sat, 12/14/24",Sydney FC,Western United FC,Substitutes,Tiago Quintal,18,Right Winger,€50k,"Australia, Portugal"
"Sat, 12/14/24",Sydney FC,Western United FC,Substitutes,Jaiden Kucharski,22,Left Winger,€350k,"Australia, Poland"
"Sat, 12/14/24",Sydney FC,Western United FC,Substitutes,Patrick Wood,22,Centre-Forward,€350k,Australia
"Sat, 12/14/24",Western United FC,Sydney FC,Starting XI,Matt Sutton,24,Goalkeeper,€200k,Australia
"Sat, 12/14/24",Western United FC,Sydney FC,Starting XI,Tomoki Imai,34,Centre-Back,€300k,Japan
"Sat, 12/14/24",Western United FC,Sydney FC,Starting XI,Dylan Leonard,17,Centre-Back,,"Australia, Scotland"
"Sat, 12/14/24",Western United FC,Sydney FC,Starting XI,Charbel Shamoon,20,Left-Back,€50k,"Iraq, Australia"
"Sat, 12/14/24",Western United FC,Sydney FC,Starting XI,Tate Russell,25,Right-Back,€325k,Australia
"Sat, 12/14/24",Western United FC,Sydney FC,Starting XI,Rhys Bozinovski,20,Central Midfield,€100k,"Australia, Malta"
"Sat, 12/14/24",Western United FC,Sydney FC,Starting XI,Angus Thurgate,24,Central Midfield,€500k,Australia
"Sat, 12/14/24",Western United FC,Sydney FC,Starting XI,Abel Walatee,20,Left Winger,€25k,"Australia, Ghana"
"Sat, 12/14/24",Western United FC,Sydney FC,Starting XI,Riku Danzaki,24,Right Winger,€250k,Japan
"Sat, 12/14/24",Western United FC,Sydney FC,Starting XI,Hiroshi Ibusuki,33,Centre-Forward,€250k,Japan
"Sat, 12/14/24",Western United FC,Sydney FC,Starting XI,Noah Botic,22,Centre-Forward,€350k,"Australia, Croatia"
"Sat, 12/14/24",Western United FC,Sydney FC,Substitutes,Tom Heward-Belle,27,Goalkeeper,€300k,Australia
"Sat, 12/14/24",Western United FC,Sydney FC,Substitutes,Kane Vidmar,20,Left-Back,€200k,"Australia, Wales"
"Sat, 12/14/24",Western United FC,Sydney FC,Substitutes,Jordan Lauton,21,Central Midfield,€25k,Australia
"Sat, 12/14/24",Western United FC,Sydney FC,Substitutes,Ramy Najjarine,24,Left Winger,€300k,"Australia, Lebanon"
"Sat, 12/14/24",Western United FC,Sydney FC,Substitutes,Matthew Grimaldi,21,Left Winger,€200k,Australia
"Sat, 12/14/24",Western United FC,Sydney FC,Substitutes,Jake Najdovski,19,Centre-Forward,€25k,Australia
"Sat, 12/14/24",Western United FC,Sydney FC,Substitutes,Michael Ruhs,22,Centre-Forward,€200k,Australia
