Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 12/14/24",Wellington Phoenix,Macarthur FC,Starting XI,Joshua Oluwayemi,23,Goalkeeper,€200k,"Nigeria, England"
"Sat, 12/14/24",Wellington Phoenix,Macarthur FC,Starting XI,Scott Wootton,33,Centre-Back,€300k,England
"Sat, 12/14/24",Wellington Phoenix,Macarthur FC,Starting XI,Isaac Hughes,20,Centre-Back,€175k,"New Zealand, England"
"Sat, 12/14/24",Wellington Phoenix,Macarthur FC,Starting XI,Sam Sutton,23,Left-Back,€350k,"New Zealand, England"
"Sat, 12/14/24",Wellington Phoenix,Macarthur FC,Starting XI,Tim Payne,30,Right-Back,€450k,New Zealand
"Sat, 12/14/24",Wellington Phoenix,Macarthur FC,Starting XI,Alex Rufer,28,Defensive Midfield,€600k,"New Zealand, Switzerland"
"Sat, 12/14/24",Wellington Phoenix,Macarthur FC,Starting XI,Paulo Retre,31,Central Midfield,€350k,"Australia, Portugal"
"Sat, 12/14/24",Wellington Phoenix,Macarthur FC,Starting XI,Kazuki Nagasawa,32,Central Midfield,€250k,Japan
"Sat, 12/14/24",Wellington Phoenix,Macarthur FC,Starting XI,Hideki Ishige,30,Left Winger,€300k,Japan
"Sat, 12/14/24",Wellington Phoenix,Macarthur FC,Starting XI,Marco Rojas,33,Right Winger,€350k,"New Zealand, Chile"
"Sat, 12/14/24",Wellington Phoenix,Macarthur FC,Starting XI,Kosta Barbarouses,34,Centre-Forward,€400k,"New Zealand, Greece"
"Sat, 12/14/24",Wellington Phoenix,Macarthur FC,Substitutes,Alby Kelly-Heald,19,Goalkeeper,€100k,New Zealand
"Sat, 12/14/24",Wellington Phoenix,Macarthur FC,Substitutes,Corban Piper,22,Centre-Back,€250k,New Zealand
"Sat, 12/14/24",Wellington Phoenix,Macarthur FC,Substitutes,Mohamed Al-Taay,24,Central Midfield,€300k,"Iraq, Australia"
"Sat, 12/14/24",Wellington Phoenix,Macarthur FC,Substitutes,Matthew Sheridan,20,Left-Back,€175k,New Zealand
"Sat, 12/14/24",Wellington Phoenix,Macarthur FC,Substitutes,Nathan Walker,18,Left Winger,€75k,New Zealand
"Sat, 12/14/24",Wellington Phoenix,Macarthur FC,Substitutes,Stefan Colakovski,24,Right Winger,€350k,"North Macedonia, Australia"
"Sat, 12/14/24",Wellington Phoenix,Macarthur FC,Substitutes,Luke Supyk,18,Centre-Forward,€100k,"New Zealand, England"
"Sat, 12/14/24",Macarthur FC,Wellington Phoenix,Starting XI,Filip Kurto,33,Goalkeeper,€450k,Poland
"Sat, 12/14/24",Macarthur FC,Wellington Phoenix,Starting XI,Oliver Jones,21,Centre-Back,€100k,Australia
"Sat, 12/14/24",Macarthur FC,Wellington Phoenix,Starting XI,Tomislav Uskok,33,Centre-Back,€275k,"Australia, Croatia"
"Sat, 12/14/24",Macarthur FC,Wellington Phoenix,Starting XI,Ivan Vujica,27,Left-Back,€350k,"Australia, Croatia"
"Sat, 12/14/24",Macarthur FC,Wellington Phoenix,Starting XI,Kealey Adamson,21,Right-Back,€200k,"Australia, Tanzania"
"Sat, 12/14/24",Macarthur FC,Wellington Phoenix,Starting XI,Luke Brattan,34,Central Midfield,€450k,"Australia, England"
"Sat, 12/14/24",Macarthur FC,Wellington Phoenix,Starting XI,Jake Hollman,23,Central Midfield,€400k,Australia
"Sat, 12/14/24",Macarthur FC,Wellington Phoenix,Starting XI,Daniel De Silva,27,Attacking Midfield,€350k,Australia
"Sat, 12/14/24",Macarthur FC,Wellington Phoenix,Starting XI,Marin Jakolis,27,Left Winger,€700k,"Croatia, Australia"
"Sat, 12/14/24",Macarthur FC,Wellington Phoenix,Starting XI,Jed Drew,21,Right Winger,€350k,Australia
"Sat, 12/14/24",Macarthur FC,Wellington Phoenix,Starting XI,Valère Germain,34,Centre-Forward,€1.00m,France
"Sat, 12/14/24",Macarthur FC,Wellington Phoenix,Substitutes,Alex Robinson,19,Goalkeeper,€25k,Australia
"Sat, 12/14/24",Macarthur FC,Wellington Phoenix,Substitutes,Matthew Jurman,35,Centre-Back,€250k,"Australia, England"
"Sat, 12/14/24",Macarthur FC,Wellington Phoenix,Substitutes,Walter Scott,25,Left-Back,€100k,Australia
"Sat, 12/14/24",Macarthur FC,Wellington Phoenix,Substitutes,Liam Rose,27,Defensive Midfield,€250k,Australia
"Sat, 12/14/24",Macarthur FC,Wellington Phoenix,Substitutes,Bernardo Oliveira,20,Right Winger,€300k,"Australia, Brazil"
"Sat, 12/14/24",Macarthur FC,Wellington Phoenix,Substitutes,Ariath Piol,20,Centre-Forward,€50k,"Australia, Sudan"
"Sat, 12/14/24",Macarthur FC,Wellington Phoenix,Substitutes,Dean Bosnjak,18,Right Winger,,Australia
