Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 12/14/24",Western Sydney Wanderers,Brisbane Roar,Starting XI,Lawrence Thomas,32,Goalkeeper,€450k,"Australia, Italy"
"Sat, 12/14/24",Western Sydney Wanderers,Brisbane Roar,Starting XI,Alex Bonetig,22,Centre-Back,€200k,Australia
"Sat, 12/14/24",Western Sydney Wanderers,Brisbane Roar,Starting XI,Anthony Pantazopoulos,21,Centre-Back,€50k,Australia
"Sat, 12/14/24",Western Sydney Wanderers,Brisbane Roar,Starting XI,Jack Clisby,32,Left-Back,€400k,Australia
"Sat, 12/14/24",Western Sydney Wanderers,Brisbane Roar,Starting XI,Gabriel Cléùr,26,Right-Back,€350k,"Australia, Italy"
"Sat, 12/14/24",Western Sydney Wanderers,Brisbane Roar,Starting XI,Joshua Brillante,31,Central Midfield,€450k,"Australia, Italy"
"Sat, 12/14/24",Western Sydney Wanderers,Brisbane Roar,Starting XI,Dylan Scicluna,20,Central Midfield,€100k,"Malta, Australia"
"Sat, 12/14/24",Western Sydney Wanderers,Brisbane Roar,Starting XI,Bozhidar Kraev,27,Left Winger,€750k,Bulgaria
"Sat, 12/14/24",Western Sydney Wanderers,Brisbane Roar,Starting XI,Nicolas Milanovic,23,Right Winger,€450k,"Australia, Croatia"
"Sat, 12/14/24",Western Sydney Wanderers,Brisbane Roar,Starting XI,Zachary Sapsford,22,Centre-Forward,€150k,Australia
"Sat, 12/14/24",Western Sydney Wanderers,Brisbane Roar,Starting XI,Brandon Borrello,29,Centre-Forward,€700k,"Australia, Italy"
"Sat, 12/14/24",Western Sydney Wanderers,Brisbane Roar,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Sat, 12/14/24",Western Sydney Wanderers,Brisbane Roar,Substitutes,Dean Pelekanos,23,Central Midfield,€100k,Australia
"Sat, 12/14/24",Western Sydney Wanderers,Brisbane Roar,Substitutes,Oscar Priestman,21,Central Midfield,€250k,Australia
"Sat, 12/14/24",Western Sydney Wanderers,Brisbane Roar,Substitutes,Juan Mata,36,Right Winger,€700k,Spain
"Sat, 12/14/24",Western Sydney Wanderers,Brisbane Roar,Substitutes,Aydan Hammond,20,Left Winger,€50k,"Australia, Peru"
"Sat, 12/14/24",Western Sydney Wanderers,Brisbane Roar,Substitutes,James Temelkovski,26,Centre-Forward,€125k,Australia
"Sat, 12/14/24",Western Sydney Wanderers,Brisbane Roar,Substitutes,Marcus Antonsson,33,Centre-Forward,€600k,Sweden
"Sat, 12/14/24",Brisbane Roar,Western Sydney Wanderers,Starting XI,Macklin Freke,25,Goalkeeper,€300k,"Australia, New Zealand"
"Sat, 12/14/24",Brisbane Roar,Western Sydney Wanderers,Starting XI,Ben Warland,28,Centre-Back,€300k,Australia
"Sat, 12/14/24",Brisbane Roar,Western Sydney Wanderers,Starting XI,Lucas Herrington,17,Centre-Back,,Australia
"Sat, 12/14/24",Brisbane Roar,Western Sydney Wanderers,Starting XI,Antonee Burke-Gilroy,27,Left-Back,€250k,"Australia, England"
"Sat, 12/14/24",Brisbane Roar,Western Sydney Wanderers,Starting XI,Harry Van der Saag,25,Right-Back,€250k,"Australia, Netherlands"
"Sat, 12/14/24",Brisbane Roar,Western Sydney Wanderers,Starting XI,Walid Shour,28,Defensive Midfield,€325k,"Lebanon, Sierra Leone"
"Sat, 12/14/24",Brisbane Roar,Western Sydney Wanderers,Starting XI,Louis Zabala,23,Attacking Midfield,€175k,Australia
"Sat, 12/14/24",Brisbane Roar,Western Sydney Wanderers,Starting XI,Jay O'Shea,36,Attacking Midfield,€300k,Ireland
"Sat, 12/14/24",Brisbane Roar,Western Sydney Wanderers,Starting XI,Adam Zimarino,23,Left Winger,€75k,Australia
"Sat, 12/14/24",Brisbane Roar,Western Sydney Wanderers,Starting XI,Ben Halloran,32,Right Winger,€400k,Australia
"Sat, 12/14/24",Brisbane Roar,Western Sydney Wanderers,Starting XI,Thomas Waddingham,19,Centre-Forward,€350k,"Australia, England"
"Sat, 12/14/24",Brisbane Roar,Western Sydney Wanderers,Substitutes,Matt Acton,32,Goalkeeper,€200k,"Australia, Finland"
"Sat, 12/14/24",Brisbane Roar,Western Sydney Wanderers,Substitutes,Hosine Bility,23,Centre-Back,€50k,"Australia, Guinea"
"Sat, 12/14/24",Brisbane Roar,Western Sydney Wanderers,Substitutes,Jack Hingert,34,Right-Back,€175k,"Sri Lanka, Australia"
"Sat, 12/14/24",Brisbane Roar,Western Sydney Wanderers,Substitutes,Quinn MacNicol,16,Defensive Midfield,,Australia
"Sat, 12/14/24",Brisbane Roar,Western Sydney Wanderers,Substitutes,Florin Bérenguer,35,Attacking Midfield,€300k,France
"Sat, 12/14/24",Brisbane Roar,Western Sydney Wanderers,Substitutes,Néicer Acosta,22,Right Winger,€75k,Ecuador
"Sat, 12/14/24",Brisbane Roar,Western Sydney Wanderers,Substitutes,Jacob Brazete,18,Left Winger,,"Australia, Portugal"
