Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 12/15/24",Melbourne City FC,Auckland FC,Starting XI,Patrick Beach,21,Goalkeeper,€100k,Australia
"Sun, 12/15/24",Melbourne City FC,Auckland FC,Starting XI,Samuel Souprayen,35,Centre-Back,€100k,"France, Réunion"
"Sun, 12/15/24",Melbourne City FC,Auckland FC,Starting XI,Kai Trewin,23,Centre-Back,€400k,Australia
"Sun, 12/15/24",Melbourne City FC,Auckland FC,Starting XI,Aziz Behich,33,Left-Back,€400k,"Australia, Türkiye"
"Sun, 12/15/24",Melbourne City FC,Auckland FC,Starting XI,Nathaniel Atkinson,25,Right-Back,€800k,Australia
"Sun, 12/15/24",Melbourne City FC,Auckland FC,Starting XI,Steven Ugarkovic,30,Central Midfield,€450k,"Australia, Croatia"
"Sun, 12/15/24",Melbourne City FC,Auckland FC,Starting XI,James Jeggo,32,Central Midfield,€500k,"Australia, England"
"Sun, 12/15/24",Melbourne City FC,Auckland FC,Starting XI,Harry Politidis,22,Left Winger,€100k,Australia
"Sun, 12/15/24",Melbourne City FC,Auckland FC,Starting XI,Yonatan Cohen,28,Right Winger,€350k,"Israel, Poland"
"Sun, 12/15/24",Melbourne City FC,Auckland FC,Starting XI,Andreas Kuen,29,Second Striker,€450k,Austria
"Sun, 12/15/24",Melbourne City FC,Auckland FC,Starting XI,Medin Memeti,17,Centre-Forward,,Australia
"Sun, 12/15/24",Melbourne City FC,Auckland FC,Substitutes,Jamie Young,39,Goalkeeper,€200k,"England, Australia"
"Sun, 12/15/24",Melbourne City FC,Auckland FC,Substitutes,Germán Ferreyra,28,Centre-Back,€450k,Argentina
"Sun, 12/15/24",Melbourne City FC,Auckland FC,Substitutes,Callum Talbot,23,Right-Back,€350k,"Australia, Malta"
"Sun, 12/15/24",Melbourne City FC,Auckland FC,Substitutes,Zane Schreiber,19,Central Midfield,€50k,Australia
"Sun, 12/15/24",Melbourne City FC,Auckland FC,Substitutes,Kavian Rahmani,17,Left Winger,,Australia
"Sun, 12/15/24",Melbourne City FC,Auckland FC,Substitutes,Benjamin Mazzeo,19,Left Winger,€75k,Australia
"Sun, 12/15/24",Melbourne City FC,Auckland FC,Substitutes,Arion Sulemani,19,Centre-Forward,€25k,Australia
"Sun, 12/15/24",Auckland FC,Melbourne City FC,Starting XI,Alex Paulsen,22,Goalkeeper,€450k,"New Zealand, South Africa"
"Sun, 12/15/24",Auckland FC,Melbourne City FC,Starting XI,Nando Pijnaker,25,Centre-Back,€150k,"New Zealand, Netherlands"
"Sun, 12/15/24",Auckland FC,Melbourne City FC,Starting XI,Hiroki Sakai,34,Centre-Back,€600k,Japan
"Sun, 12/15/24",Auckland FC,Melbourne City FC,Starting XI,Francis de Vries,30,Left-Back,€375k,New Zealand
"Sun, 12/15/24",Auckland FC,Melbourne City FC,Starting XI,Callan Elliot,25,Right-Back,€300k,"New Zealand, Scotland"
"Sun, 12/15/24",Auckland FC,Melbourne City FC,Starting XI,Luis Felipe Gallegos,33,Central Midfield,€300k,"Chile, Italy"
"Sun, 12/15/24",Auckland FC,Melbourne City FC,Starting XI,Finn McKenlay,19,Central Midfield,€325k,"New Zealand, England"
"Sun, 12/15/24",Auckland FC,Melbourne City FC,Starting XI,Liam Gillion,22,Left Winger,€375k,New Zealand
"Sun, 12/15/24",Auckland FC,Melbourne City FC,Starting XI,Logan Rogerson,26,Right Winger,€200k,New Zealand
"Sun, 12/15/24",Auckland FC,Melbourne City FC,Starting XI,Jake Brimmer,26,Second Striker,€550k,"Australia, Malta"
"Sun, 12/15/24",Auckland FC,Melbourne City FC,Starting XI,Guillermo May,26,Centre-Forward,€800k,"Uruguay, Italy"
"Sun, 12/15/24",Auckland FC,Melbourne City FC,Substitutes,Michael Woud,25,Goalkeeper,€200k,"New Zealand, Netherlands"
"Sun, 12/15/24",Auckland FC,Melbourne City FC,Substitutes,Tommy Smith,34,Centre-Back,€100k,"New Zealand, England"
"Sun, 12/15/24",Auckland FC,Melbourne City FC,Substitutes,Adama Coulibaly,19,Centre-Back,€175k,"New Zealand, Mali"
"Sun, 12/15/24",Auckland FC,Melbourne City FC,Substitutes,Scott Galloway,29,Left-Back,€300k,"Australia, Northern Ireland"
"Sun, 12/15/24",Auckland FC,Melbourne City FC,Substitutes,Luis Toomey,23,Right Winger,€250k,New Zealand
"Sun, 12/15/24",Auckland FC,Melbourne City FC,Substitutes,Neyder Moreno,27,Attacking Midfield,€450k,Colombia
"Sun, 12/15/24",Auckland FC,Melbourne City FC,Substitutes,Max Mata,24,Left Winger,€275k,"New Zealand, Cookinseln"
