Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 12/21/24",Auckland FC,Western United FC,Starting XI,Alex Paulsen,22,Goalkeeper,€450k,"New Zealand, South Africa"
"Sat, 12/21/24",Auckland FC,Western United FC,Starting XI,Nando Pijnaker,25,Centre-Back,€150k,"New Zealand, Netherlands"
"Sat, 12/21/24",Auckland FC,Western United FC,Starting XI,Hiroki Sakai,34,Centre-Back,€600k,Japan
"Sat, 12/21/24",Auckland FC,Western United FC,Starting XI,Francis de Vries,30,Left-Back,€375k,New Zealand
"Sat, 12/21/24",Auckland FC,Western United FC,Starting XI,Callan Elliot,25,Right-Back,€300k,"New Zealand, Scotland"
"Sat, 12/21/24",Auckland FC,Western United FC,Starting XI,Louis Verstraete,25,Defensive Midfield,€400k,Belgium
"Sat, 12/21/24",Auckland FC,Western United FC,Starting XI,Luis Felipe Gallegos,33,Defensive Midfield,€300k,"Chile, Italy"
"Sat, 12/21/24",Auckland FC,Western United FC,Starting XI,Jake Brimmer,26,Attacking Midfield,€550k,"Australia, Malta"
"Sat, 12/21/24",Auckland FC,Western United FC,Starting XI,Neyder Moreno,27,Left Winger,€450k,Colombia
"Sat, 12/21/24",Auckland FC,Western United FC,Starting XI,Liam Gillion,22,Right Winger,€375k,New Zealand
"Sat, 12/21/24",Auckland FC,Western United FC,Starting XI,Guillermo May,26,Centre-Forward,€800k,"Uruguay, Italy"
"Sat, 12/21/24",Auckland FC,Western United FC,Substitutes,Michael Woud,25,Goalkeeper,€200k,"New Zealand, Netherlands"
"Sat, 12/21/24",Auckland FC,Western United FC,Substitutes,Tommy Smith,34,Centre-Back,€100k,"New Zealand, England"
"Sat, 12/21/24",Auckland FC,Western United FC,Substitutes,Scott Galloway,29,Right-Back,€300k,"Australia, Northern Ireland"
"Sat, 12/21/24",Auckland FC,Western United FC,Substitutes,Finn McKenlay,19,Defensive Midfield,€325k,"New Zealand, England"
"Sat, 12/21/24",Auckland FC,Western United FC,Substitutes,Jesse Randall,22,Left Winger,€250k,New Zealand
"Sat, 12/21/24",Auckland FC,Western United FC,Substitutes,Logan Rogerson,26,Right Winger,€200k,New Zealand
"Sat, 12/21/24",Auckland FC,Western United FC,Substitutes,Max Mata,24,Centre-Forward,€275k,"New Zealand, Cookinseln"
"Sat, 12/21/24",Western United FC,Auckland FC,Starting XI,Matt Sutton,24,Goalkeeper,€200k,Australia
"Sat, 12/21/24",Western United FC,Auckland FC,Starting XI,Tomoki Imai,34,Centre-Back,€300k,Japan
"Sat, 12/21/24",Western United FC,Auckland FC,Starting XI,Dylan Leonard,17,Centre-Back,,"Australia, Scotland"
"Sat, 12/21/24",Western United FC,Auckland FC,Starting XI,Charbel Shamoon,20,Left-Back,€50k,"Iraq, Australia"
"Sat, 12/21/24",Western United FC,Auckland FC,Starting XI,Tate Russell,25,Right-Back,€325k,Australia
"Sat, 12/21/24",Western United FC,Auckland FC,Starting XI,Rhys Bozinovski,20,Central Midfield,€100k,"Australia, Malta"
"Sat, 12/21/24",Western United FC,Auckland FC,Starting XI,Angus Thurgate,24,Central Midfield,€500k,Australia
"Sat, 12/21/24",Western United FC,Auckland FC,Starting XI,Abel Walatee,20,Left Winger,€25k,"Australia, Ghana"
"Sat, 12/21/24",Western United FC,Auckland FC,Starting XI,Riku Danzaki,24,Right Winger,€250k,Japan
"Sat, 12/21/24",Western United FC,Auckland FC,Starting XI,Hiroshi Ibusuki,33,Centre-Forward,€250k,Japan
"Sat, 12/21/24",Western United FC,Auckland FC,Starting XI,Noah Botic,22,Centre-Forward,€350k,"Australia, Croatia"
"Sat, 12/21/24",Western United FC,Auckland FC,Substitutes,Tom Heward-Belle,27,Goalkeeper,€300k,Australia
"Sat, 12/21/24",Western United FC,Auckland FC,Substitutes,Kane Vidmar,20,Centre-Back,€200k,"Australia, Wales"
"Sat, 12/21/24",Western United FC,Auckland FC,Substitutes,Jordan Lauton,21,Central Midfield,€25k,Australia
"Sat, 12/21/24",Western United FC,Auckland FC,Substitutes,Ramy Najjarine,24,Right Winger,€300k,"Australia, Lebanon"
"Sat, 12/21/24",Western United FC,Auckland FC,Substitutes,Matthew Grimaldi,21,Left Winger,€200k,Australia
"Sat, 12/21/24",Western United FC,Auckland FC,Substitutes,Jake Najdovski,19,Centre-Forward,€25k,Australia
"Sat, 12/21/24",Western United FC,Auckland FC,Substitutes,Michael Ruhs,22,Centre-Forward,€200k,Australia
