Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 12/21/24",Brisbane Roar,Perth Glory,Starting XI,Macklin Freke,25,Goalkeeper,€300k,"Australia, New Zealand"
"Sat, 12/21/24",Brisbane Roar,Perth Glory,Starting XI,Ben Warland,28,Centre-Back,€300k,Australia
"Sat, 12/21/24",Brisbane Roar,Perth Glory,Starting XI,Lucas Herrington,17,Centre-Back,,Australia
"Sat, 12/21/24",Brisbane Roar,Perth Glory,Starting XI,Antonee Burke-Gilroy,27,Left-Back,€250k,"Australia, England"
"Sat, 12/21/24",Brisbane Roar,Perth Glory,Starting XI,Harry Van der Saag,25,Right-Back,€250k,"Australia, Netherlands"
"Sat, 12/21/24",Brisbane Roar,Perth Glory,Starting XI,Walid Shour,28,Defensive Midfield,€325k,"Lebanon, Sierra Leone"
"Sat, 12/21/24",Brisbane Roar,Perth Glory,Starting XI,Jay O'Shea,36,Defensive Midfield,€300k,Ireland
"Sat, 12/21/24",Brisbane Roar,Perth Glory,Starting XI,Florin Bérenguer,35,Attacking Midfield,€300k,France
"Sat, 12/21/24",Brisbane Roar,Perth Glory,Starting XI,Keegan Jelacic,22,Left Winger,€300k,"Australia, New Zealand"
"Sat, 12/21/24",Brisbane Roar,Perth Glory,Starting XI,Adam Zimarino,23,Right Winger,€75k,Australia
"Sat, 12/21/24",Brisbane Roar,Perth Glory,Starting XI,Thomas Waddingham,19,Centre-Forward,€350k,"Australia, England"
"Sat, 12/21/24",Brisbane Roar,Perth Glory,Substitutes,Matt Acton,32,Goalkeeper,€200k,"Australia, Finland"
"Sat, 12/21/24",Brisbane Roar,Perth Glory,Substitutes,Hosine Bility,23,Centre-Back,€50k,"Australia, Guinea"
"Sat, 12/21/24",Brisbane Roar,Perth Glory,Substitutes,Louis Zabala,23,Left-Back,€175k,Australia
"Sat, 12/21/24",Brisbane Roar,Perth Glory,Substitutes,Jack Hingert,34,Right-Back,€175k,"Sri Lanka, Australia"
"Sat, 12/21/24",Brisbane Roar,Perth Glory,Substitutes,Quinn MacNicol,16,Attacking Midfield,,Australia
"Sat, 12/21/24",Brisbane Roar,Perth Glory,Substitutes,Néicer Acosta,22,Left Winger,€75k,Ecuador
"Sat, 12/21/24",Brisbane Roar,Perth Glory,Substitutes,Jacob Brazete,18,Right Winger,,"Australia, Portugal"
"Sat, 12/21/24",Perth Glory,Brisbane Roar,Starting XI,Cameron Cook,23,Goalkeeper,€350k,Australia
"Sat, 12/21/24",Perth Glory,Brisbane Roar,Starting XI,Andriano Lebib,18,Centre-Back,,Australia
"Sat, 12/21/24",Perth Glory,Brisbane Roar,Starting XI,Tomislav Mrcela,34,Centre-Back,€200k,"Australia, Croatia"
"Sat, 12/21/24",Perth Glory,Brisbane Roar,Starting XI,Riley Warland,22,Left-Back,€200k,"Australia, England"
"Sat, 12/21/24",Perth Glory,Brisbane Roar,Starting XI,Josh Risdon,32,Right-Back,€450k,Australia
"Sat, 12/21/24",Perth Glory,Brisbane Roar,Starting XI,Taras Gomulka,23,Central Midfield,€300k,"Australia, Ukraine"
"Sat, 12/21/24",Perth Glory,Brisbane Roar,Starting XI,Nicholas Pennington,26,Central Midfield,€350k,"Australia, Italy"
"Sat, 12/21/24",Perth Glory,Brisbane Roar,Starting XI,Abdul Faisal,19,Left Winger,€100k,Australia
"Sat, 12/21/24",Perth Glory,Brisbane Roar,Starting XI,Trent Ostler,22,Right Winger,€200k,Australia
"Sat, 12/21/24",Perth Glory,Brisbane Roar,Starting XI,Adam Bugarija,19,Second Striker,€50k,"Australia, Spain"
"Sat, 12/21/24",Perth Glory,Brisbane Roar,Starting XI,David Williams,36,Centre-Forward,€150k,"Australia, England"
"Sat, 12/21/24",Perth Glory,Brisbane Roar,Substitutes,Oliver Sail,28,Goalkeeper,€500k,"New Zealand, Australia"
"Sat, 12/21/24",Perth Glory,Brisbane Roar,Substitutes,Lachlan Barr,30,Centre-Back,€150k,"Australia, England"
"Sat, 12/21/24",Perth Glory,Brisbane Roar,Substitutes,William Freney,19,Central Midfield,,Australia
"Sat, 12/21/24",Perth Glory,Brisbane Roar,Substitutes,Khoa Ngo,18,Left Winger,€50k,Australia
"Sat, 12/21/24",Perth Glory,Brisbane Roar,Substitutes,Jarrod Carluccio,23,Left-Back,€300k,Australia
"Sat, 12/21/24",Perth Glory,Brisbane Roar,Substitutes,Joel Anasmo,20,Right Winger,€75k,"Australia, Southern Sudan"
"Sat, 12/21/24",Perth Glory,Brisbane Roar,Substitutes,Nathanael Blair,20,Centre-Forward,€100k,Australia
