Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 12/21/24",Melbourne Victory,Melbourne City FC,Starting XI,Jack Duncan,31,Goalkeeper,€250k,Australia
"Sat, 12/21/24",Melbourne Victory,Melbourne City FC,Starting XI,Brendan Hamill,32,Centre-Back,€350k,"Australia, Ireland"
"Sat, 12/21/24",Melbourne Victory,Melbourne City FC,Starting XI,Roderick Miranda,33,Centre-Back,€750k,"Portugal, Brazil"
"Sat, 12/21/24",Melbourne Victory,Melbourne City FC,Starting XI,Kasey Bos,20,Left-Back,€150k,"Australia, Netherlands"
"Sat, 12/21/24",Melbourne Victory,Melbourne City FC,Starting XI,Jason Geria,31,Right-Back,€500k,"Australia, Uganda"
"Sat, 12/21/24",Melbourne Victory,Melbourne City FC,Starting XI,Ryan Teague,22,Defensive Midfield,€400k,Australia
"Sat, 12/21/24",Melbourne Victory,Melbourne City FC,Starting XI,Jordi Valadon,21,Defensive Midfield,€125k,Australia
"Sat, 12/21/24",Melbourne Victory,Melbourne City FC,Starting XI,Zinédine Machach,28,Attacking Midfield,€600k,"France, Morocco"
"Sat, 12/21/24",Melbourne Victory,Melbourne City FC,Starting XI,Reno Piscopo,26,Left Winger,€450k,"Australia, Italy"
"Sat, 12/21/24",Melbourne Victory,Melbourne City FC,Starting XI,Daniel Arzani,25,Right Winger,€500k,Australia
"Sat, 12/21/24",Melbourne Victory,Melbourne City FC,Starting XI,Nikolaos Vergos,28,Centre-Forward,€450k,Greece
"Sat, 12/21/24",Melbourne Victory,Melbourne City FC,Substitutes,Daniel Graskoski,17,Goalkeeper,,Australia
"Sat, 12/21/24",Melbourne Victory,Melbourne City FC,Substitutes,Adama Traoré,34,Left-Back,€175k,"Cote d'Ivoire, Australia"
"Sat, 12/21/24",Melbourne Victory,Melbourne City FC,Substitutes,Joshua Rawlins,20,Right-Back,€250k,Australia
"Sat, 12/21/24",Melbourne Victory,Melbourne City FC,Substitutes,Fabian Monge,23,Defensive Midfield,€200k,Australia
"Sat, 12/21/24",Melbourne Victory,Melbourne City FC,Substitutes,Clarismario,23,Left Winger,€450k,Brazil
"Sat, 12/21/24",Melbourne Victory,Melbourne City FC,Substitutes,Nishan Velupillay,23,Right Winger,€350k,"Australia, Sri Lanka"
"Sat, 12/21/24",Melbourne Victory,Melbourne City FC,Substitutes,Bruno Fornaroli,37,Centre-Forward,€450k,"Australia, Uruguay"
"Sat, 12/21/24",Melbourne City FC,Melbourne Victory,Starting XI,Patrick Beach,21,Goalkeeper,€100k,Australia
"Sat, 12/21/24",Melbourne City FC,Melbourne Victory,Starting XI,Samuel Souprayen,35,Centre-Back,€100k,"France, Réunion"
"Sat, 12/21/24",Melbourne City FC,Melbourne Victory,Starting XI,Kai Trewin,23,Centre-Back,€400k,Australia
"Sat, 12/21/24",Melbourne City FC,Melbourne Victory,Starting XI,Aziz Behich,34,Left-Back,€400k,"Australia, Türkiye"
"Sat, 12/21/24",Melbourne City FC,Melbourne Victory,Starting XI,Nathaniel Atkinson,25,Right-Back,€800k,Australia
"Sat, 12/21/24",Melbourne City FC,Melbourne Victory,Starting XI,Steven Ugarkovic,30,Defensive Midfield,€450k,"Australia, Croatia"
"Sat, 12/21/24",Melbourne City FC,Melbourne Victory,Starting XI,Zane Schreiber,19,Defensive Midfield,€50k,Australia
"Sat, 12/21/24",Melbourne City FC,Melbourne Victory,Starting XI,Harry Politidis,22,Left Winger,€100k,Australia
"Sat, 12/21/24",Melbourne City FC,Melbourne Victory,Starting XI,Yonatan Cohen,28,Right Winger,€350k,"Israel, Poland"
"Sat, 12/21/24",Melbourne City FC,Melbourne Victory,Starting XI,Andreas Kuen,29,Second Striker,€450k,Austria
"Sat, 12/21/24",Melbourne City FC,Melbourne Victory,Starting XI,Medin Memeti,17,Centre-Forward,,Australia
"Sat, 12/21/24",Melbourne City FC,Melbourne Victory,Substitutes,Jamie Young,39,Goalkeeper,€200k,"England, Australia"
"Sat, 12/21/24",Melbourne City FC,Melbourne Victory,Substitutes,Germán Ferreyra,28,Centre-Back,€450k,Argentina
"Sat, 12/21/24",Melbourne City FC,Melbourne Victory,Substitutes,Callum Talbot,23,Right-Back,€350k,"Australia, Malta"
"Sat, 12/21/24",Melbourne City FC,Melbourne Victory,Substitutes,Lawrence Wong,17,Attacking Midfield,,Australia
"Sat, 12/21/24",Melbourne City FC,Melbourne Victory,Substitutes,Kavian Rahmani,17,Centre-Forward,,Australia
"Sat, 12/21/24",Melbourne City FC,Melbourne Victory,Substitutes,Benjamin Mazzeo,19,Left Winger,€75k,Australia
"Sat, 12/21/24",Melbourne City FC,Melbourne Victory,Substitutes,Arion Sulemani,19,Centre-Forward,€25k,Australia
