Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 12/22/24",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Lawrence Thomas,32,Goalkeeper,€450k,"Australia, Italy"
"Sun, 12/22/24",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Alex Bonetig,22,Centre-Back,€200k,Australia
"Sun, 12/22/24",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Dean Pelekanos,23,Centre-Back,€100k,Australia
"Sun, 12/22/24",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Jack Clisby,32,Left-Back,€400k,Australia
"Sun, 12/22/24",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Gabriel Cléùr,26,Right-Back,€350k,"Australia, Italy"
"Sun, 12/22/24",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Joshua Brillante,31,Central Midfield,€450k,"Australia, Italy"
"Sun, 12/22/24",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Dylan Scicluna,20,Central Midfield,€100k,"Malta, Australia"
"Sun, 12/22/24",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Nicolas Milanovic,23,Left Winger,€450k,"Australia, Croatia"
"Sun, 12/22/24",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Bozhidar Kraev,27,Right Winger,€750k,Bulgaria
"Sun, 12/22/24",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Zachary Sapsford,22,Centre-Forward,€150k,Australia
"Sun, 12/22/24",Western Sydney Wanderers,Wellington Phoenix,Starting XI,Brandon Borrello,29,Centre-Forward,€700k,"Australia, Italy"
"Sun, 12/22/24",Western Sydney Wanderers,Wellington Phoenix,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Sun, 12/22/24",Western Sydney Wanderers,Wellington Phoenix,Substitutes,Jesse Cameron,19,Right-Back,,Australia
"Sun, 12/22/24",Western Sydney Wanderers,Wellington Phoenix,Substitutes,Oscar Priestman,21,Left-Back,€250k,Australia
"Sun, 12/22/24",Western Sydney Wanderers,Wellington Phoenix,Substitutes,Juan Mata,36,Central Midfield,€700k,Spain
"Sun, 12/22/24",Western Sydney Wanderers,Wellington Phoenix,Substitutes,Aydan Hammond,20,Right Winger,€50k,"Australia, Peru"
"Sun, 12/22/24",Western Sydney Wanderers,Wellington Phoenix,Substitutes,James Temelkovski,26,Centre-Forward,€125k,Australia
"Sun, 12/22/24",Western Sydney Wanderers,Wellington Phoenix,Substitutes,Marcus Antonsson,33,Centre-Forward,€600k,Sweden
"Sun, 12/22/24",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Joshua Oluwayemi,23,Goalkeeper,€200k,"Nigeria, England"
"Sun, 12/22/24",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Corban Piper,22,Centre-Back,€250k,New Zealand
"Sun, 12/22/24",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Scott Wootton,33,Centre-Back,€300k,England
"Sun, 12/22/24",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Isaac Hughes,20,Centre-Back,€175k,"New Zealand, England"
"Sun, 12/22/24",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Sam Sutton,23,Left-Back,€350k,"New Zealand, England"
"Sun, 12/22/24",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Tim Payne,30,Right-Back,€450k,New Zealand
"Sun, 12/22/24",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Paulo Retre,31,Defensive Midfield,€350k,"Australia, Portugal"
"Sun, 12/22/24",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Alex Rufer,28,Defensive Midfield,€600k,"New Zealand, Switzerland"
"Sun, 12/22/24",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Kazuki Nagasawa,33,Central Midfield,€250k,Japan
"Sun, 12/22/24",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Hideki Ishige,30,Second Striker,€300k,Japan
"Sun, 12/22/24",Wellington Phoenix,Western Sydney Wanderers,Starting XI,Kosta Barbarouses,34,Centre-Forward,€400k,"New Zealand, Greece"
"Sun, 12/22/24",Wellington Phoenix,Western Sydney Wanderers,Substitutes,Alby Kelly-Heald,19,Goalkeeper,€100k,New Zealand
"Sun, 12/22/24",Wellington Phoenix,Western Sydney Wanderers,Substitutes,Lukas Kelly-Heald,19,Left-Back,€275k,New Zealand
"Sun, 12/22/24",Wellington Phoenix,Western Sydney Wanderers,Substitutes,Mohamed Al-Taay,24,Central Midfield,€300k,"Iraq, Australia"
"Sun, 12/22/24",Wellington Phoenix,Western Sydney Wanderers,Substitutes,Matthew Sheridan,20,Defensive Midfield,€175k,New Zealand
"Sun, 12/22/24",Wellington Phoenix,Western Sydney Wanderers,Substitutes,Luke Brooke-Smith,16,Left Winger,€50k,New Zealand
"Sun, 12/22/24",Wellington Phoenix,Western Sydney Wanderers,Substitutes,Nathan Walker,18,Right Winger,€75k,New Zealand
"Sun, 12/22/24",Wellington Phoenix,Western Sydney Wanderers,Substitutes,Luke Supyk,18,Centre-Forward,€100k,"New Zealand, England"
