Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Mon, 12/23/24",Macarthur FC,Central Coast Mariners,Starting XI,Filip Kurto,33,Goalkeeper,€450k,Poland
"Mon, 12/23/24",Macarthur FC,Central Coast Mariners,Starting XI,Oliver Jones,21,Centre-Back,€100k,Australia
"Mon, 12/23/24",Macarthur FC,Central Coast Mariners,Starting XI,Tomislav Uskok,33,Centre-Back,€275k,"Australia, Croatia"
"Mon, 12/23/24",Macarthur FC,Central Coast Mariners,Starting XI,Ivan Vujica,27,Left-Back,€350k,"Australia, Croatia"
"Mon, 12/23/24",Macarthur FC,Central Coast Mariners,Starting XI,Kealey Adamson,21,Right-Back,€200k,"Australia, Tanzania"
"Mon, 12/23/24",Macarthur FC,Central Coast Mariners,Starting XI,Luke Brattan,34,Defensive Midfield,€450k,"Australia, England"
"Mon, 12/23/24",Macarthur FC,Central Coast Mariners,Starting XI,Jake Hollman,23,Defensive Midfield,€400k,Australia
"Mon, 12/23/24",Macarthur FC,Central Coast Mariners,Starting XI,Daniel De Silva,27,Attacking Midfield,€350k,Australia
"Mon, 12/23/24",Macarthur FC,Central Coast Mariners,Starting XI,Marin Jakolis,27,Left Winger,€700k,"Croatia, Australia"
"Mon, 12/23/24",Macarthur FC,Central Coast Mariners,Starting XI,Jed Drew,21,Right Winger,€350k,Australia
"Mon, 12/23/24",Macarthur FC,Central Coast Mariners,Starting XI,Valère Germain,34,Centre-Forward,€1.00m,France
"Mon, 12/23/24",Macarthur FC,Central Coast Mariners,Substitutes,Alex Robinson,19,Goalkeeper,€25k,Australia
"Mon, 12/23/24",Macarthur FC,Central Coast Mariners,Substitutes,Matthew Jurman,35,Centre-Back,€250k,"Australia, England"
"Mon, 12/23/24",Macarthur FC,Central Coast Mariners,Substitutes,Walter Scott,25,Left-Back,€100k,Australia
"Mon, 12/23/24",Macarthur FC,Central Coast Mariners,Substitutes,Liam Rose,27,Defensive Midfield,€250k,Australia
"Mon, 12/23/24",Macarthur FC,Central Coast Mariners,Substitutes,Bernardo Oliveira,20,Left Winger,€300k,"Australia, Brazil"
"Mon, 12/23/24",Macarthur FC,Central Coast Mariners,Substitutes,Ariath Piol,20,Centre-Forward,€50k,"Australia, Sudan"
"Mon, 12/23/24",Macarthur FC,Central Coast Mariners,Substitutes,Dean Bosnjak,18,Right Winger,,Australia
"Mon, 12/23/24",Central Coast Mariners,Macarthur FC,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€25k,Australia
"Mon, 12/23/24",Central Coast Mariners,Macarthur FC,Starting XI,Nathan Paull,21,Centre-Back,€150k,Australia
"Mon, 12/23/24",Central Coast Mariners,Macarthur FC,Starting XI,Brian Kaltak,31,Centre-Back,€450k,Vanuatu
"Mon, 12/23/24",Central Coast Mariners,Macarthur FC,Starting XI,Noah Smith,24,Left-Back,€150k,Australia
"Mon, 12/23/24",Central Coast Mariners,Macarthur FC,Starting XI,Storm Roux,31,Right-Back,€350k,"New Zealand, Australia"
"Mon, 12/23/24",Central Coast Mariners,Macarthur FC,Starting XI,Harrison Steele,22,Defensive Midfield,€250k,Australia
"Mon, 12/23/24",Central Coast Mariners,Macarthur FC,Starting XI,Alfie McCalmont,24,Defensive Midfield,€175k,"Northern Ireland, England"
"Mon, 12/23/24",Central Coast Mariners,Macarthur FC,Starting XI,Mikael Doka,24,Attacking Midfield,€400k,Brazil
"Mon, 12/23/24",Central Coast Mariners,Macarthur FC,Starting XI,Haine Eames,16,Left Winger,,Australia
"Mon, 12/23/24",Central Coast Mariners,Macarthur FC,Starting XI,Sasha Kuzevski,23,Right Winger,€50k,Australia
"Mon, 12/23/24",Central Coast Mariners,Macarthur FC,Starting XI,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Mon, 12/23/24",Central Coast Mariners,Macarthur FC,Substitutes,Adam Pavlesic,22,Goalkeeper,€100k,"Australia, Croatia"
"Mon, 12/23/24",Central Coast Mariners,Macarthur FC,Substitutes,Trent Sainsbury,32,Centre-Back,€600k,"Australia, England"
"Mon, 12/23/24",Central Coast Mariners,Macarthur FC,Substitutes,Lucas Scicluna,19,Defensive Midfield,,"Malta, Australia"
"Mon, 12/23/24",Central Coast Mariners,Macarthur FC,Substitutes,Christian Theoharous,25,Left Winger,€300k,"Australia, Cyprus"
"Mon, 12/23/24",Central Coast Mariners,Macarthur FC,Substitutes,Sabit James Ngor,23,Right Winger,€100k,"Australia, Southern Sudan"
"Mon, 12/23/24",Central Coast Mariners,Macarthur FC,Substitutes,Arthur De Lima,17,Centre-Forward,€50k,"Australia, Brazil"
"Mon, 12/23/24",Central Coast Mariners,Macarthur FC,Substitutes,Bailey Brandtman,19,Right Winger,€75k,Australia
