Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 12/27/24",Adelaide United,Western Sydney Wanderers,Starting XI,James Delianov,25,Goalkeeper,€250k,Australia
"Fri, 12/27/24",Adelaide United,Western Sydney Wanderers,Starting XI,Bart Vriends,33,Centre-Back,€400k,Netherlands
"Fri, 12/27/24",Adelaide United,Western Sydney Wanderers,Starting XI,Panagiotis Kikianis,19,Centre-Back,€125k,Australia
"Fri, 12/27/24",Adelaide United,Western Sydney Wanderers,Starting XI,Ryan Kitto,30,Left-Back,€450k,Australia
"Fri, 12/27/24",Adelaide United,Western Sydney Wanderers,Starting XI,Dylan Pierias,24,Right-Back,€350k,"Australia, Italy"
"Fri, 12/27/24",Adelaide United,Western Sydney Wanderers,Starting XI,Jay Barnett,23,Defensive Midfield,€150k,Australia
"Fri, 12/27/24",Adelaide United,Western Sydney Wanderers,Starting XI,Ethan Alagich,21,Defensive Midfield,€200k,Australia
"Fri, 12/27/24",Adelaide United,Western Sydney Wanderers,Starting XI,Stefan Mauk,29,Attacking Midfield,€600k,"Australia, Germany"
"Fri, 12/27/24",Adelaide United,Western Sydney Wanderers,Starting XI,Ben Folami,25,Left Winger,€400k,"Australia, Nigeria"
"Fri, 12/27/24",Adelaide United,Western Sydney Wanderers,Starting XI,Zach Clough,29,Right Winger,€550k,England
"Fri, 12/27/24",Adelaide United,Western Sydney Wanderers,Starting XI,Archie Goodwin,20,Centre-Forward,€225k,Australia
"Fri, 12/27/24",Adelaide United,Western Sydney Wanderers,Substitutes,Ethan Cox,20,Goalkeeper,€50k,Australia
"Fri, 12/27/24",Adelaide United,Western Sydney Wanderers,Substitutes,Isaías Sánchez,37,Defensive Midfield,€175k,"Spain, Australia"
"Fri, 12/27/24",Adelaide United,Western Sydney Wanderers,Substitutes,Jonny Yull,19,Central Midfield,€250k,"Australia, England"
"Fri, 12/27/24",Adelaide United,Western Sydney Wanderers,Substitutes,Panashe Madanha,20,Right Midfield,€100k,"Australia, Zimbabwe"
"Fri, 12/27/24",Adelaide United,Western Sydney Wanderers,Substitutes,Ryan White,20,Attacking Midfield,€50k,Australia
"Fri, 12/27/24",Adelaide United,Western Sydney Wanderers,Substitutes,Austin Ayoubi,23,Centre-Forward,€75k,Australia
"Fri, 12/27/24",Adelaide United,Western Sydney Wanderers,Substitutes,Yaya Dukuly,21,Left Winger,€100k,"Australia, Guinea"
"Fri, 12/27/24",Western Sydney Wanderers,Adelaide United,Starting XI,Lawrence Thomas,32,Goalkeeper,€450k,"Australia, Italy"
"Fri, 12/27/24",Western Sydney Wanderers,Adelaide United,Starting XI,Alex Bonetig,22,Centre-Back,€200k,Australia
"Fri, 12/27/24",Western Sydney Wanderers,Adelaide United,Starting XI,Dean Pelekanos,23,Centre-Back,€100k,Australia
"Fri, 12/27/24",Western Sydney Wanderers,Adelaide United,Starting XI,Jack Clisby,32,Left-Back,€400k,Australia
"Fri, 12/27/24",Western Sydney Wanderers,Adelaide United,Starting XI,Gabriel Cléùr,26,Right-Back,€350k,"Australia, Italy"
"Fri, 12/27/24",Western Sydney Wanderers,Adelaide United,Starting XI,Joshua Brillante,31,Central Midfield,€450k,"Australia, Italy"
"Fri, 12/27/24",Western Sydney Wanderers,Adelaide United,Starting XI,Dylan Scicluna,20,Central Midfield,€100k,"Malta, Australia"
"Fri, 12/27/24",Western Sydney Wanderers,Adelaide United,Starting XI,Oscar Priestman,21,Left Winger,€250k,Australia
"Fri, 12/27/24",Western Sydney Wanderers,Adelaide United,Starting XI,Nicolas Milanovic,23,Right Winger,€450k,"Australia, Croatia"
"Fri, 12/27/24",Western Sydney Wanderers,Adelaide United,Starting XI,Marcus Antonsson,33,Centre-Forward,€600k,Sweden
"Fri, 12/27/24",Western Sydney Wanderers,Adelaide United,Starting XI,Brandon Borrello,29,Centre-Forward,€700k,"Australia, Italy"
"Fri, 12/27/24",Western Sydney Wanderers,Adelaide United,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Fri, 12/27/24",Western Sydney Wanderers,Adelaide United,Substitutes,Jesse Cameron,19,Right-Back,,Australia
"Fri, 12/27/24",Western Sydney Wanderers,Adelaide United,Substitutes,Juan Mata,36,Central Midfield,€700k,Spain
"Fri, 12/27/24",Western Sydney Wanderers,Adelaide United,Substitutes,Bozhidar Kraev,27,Left Winger,€750k,Bulgaria
"Fri, 12/27/24",Western Sydney Wanderers,Adelaide United,Substitutes,Aydan Hammond,21,Right-Back,€50k,"Australia, Peru"
"Fri, 12/27/24",Western Sydney Wanderers,Adelaide United,Substitutes,James Temelkovski,26,Centre-Forward,€125k,Australia
"Fri, 12/27/24",Western Sydney Wanderers,Adelaide United,Substitutes,Zachary Sapsford,22,Centre-Forward,€150k,Australia
