Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 12/27/24",Perth Glory,Macarthur FC,Starting XI,Cameron Cook,23,Goalkeeper,€350k,Australia
"Fri, 12/27/24",Perth Glory,Macarthur FC,Starting XI,Andriano Lebib,18,Centre-Back,,Australia
"Fri, 12/27/24",Perth Glory,Macarthur FC,Starting XI,Tomislav Mrcela,34,Centre-Back,€200k,"Australia, Croatia"
"Fri, 12/27/24",Perth Glory,Macarthur FC,Starting XI,Riley Warland,22,Left-Back,€200k,"Australia, England"
"Fri, 12/27/24",Perth Glory,Macarthur FC,Starting XI,Josh Risdon,32,Right-Back,€450k,Australia
"Fri, 12/27/24",Perth Glory,Macarthur FC,Starting XI,Taras Gomulka,23,Central Midfield,€300k,"Australia, Ukraine"
"Fri, 12/27/24",Perth Glory,Macarthur FC,Starting XI,Nicholas Pennington,26,Central Midfield,€350k,"Australia, Italy"
"Fri, 12/27/24",Perth Glory,Macarthur FC,Starting XI,Khoa Ngo,18,Left Winger,€50k,Australia
"Fri, 12/27/24",Perth Glory,Macarthur FC,Starting XI,Trent Ostler,22,Right Winger,€200k,Australia
"Fri, 12/27/24",Perth Glory,Macarthur FC,Starting XI,David Williams,36,Centre-Forward,€150k,"Australia, England"
"Fri, 12/27/24",Perth Glory,Macarthur FC,Starting XI,Adam Taggart,31,Centre-Forward,€750k,Australia
"Fri, 12/27/24",Perth Glory,Macarthur FC,Substitutes,Oliver Sail,28,Goalkeeper,€500k,"New Zealand, Australia"
"Fri, 12/27/24",Perth Glory,Macarthur FC,Substitutes,Zach Lisolajski,19,Left-Back,€50k,Australia
"Fri, 12/27/24",Perth Glory,Macarthur FC,Substitutes,William Freney,19,Central Midfield,,Australia
"Fri, 12/27/24",Perth Glory,Macarthur FC,Substitutes,Adam Bugarija,19,Second Striker,€50k,"Australia, Spain"
"Fri, 12/27/24",Perth Glory,Macarthur FC,Substitutes,Abdul Faisal,19,Left Winger,€100k,Australia
"Fri, 12/27/24",Perth Glory,Macarthur FC,Substitutes,Jarrod Carluccio,23,Right Winger,€300k,Australia
"Fri, 12/27/24",Perth Glory,Macarthur FC,Substitutes,Nathanael Blair,20,Centre-Forward,€100k,Australia
"Fri, 12/27/24",Macarthur FC,Perth Glory,Starting XI,Filip Kurto,33,Goalkeeper,€450k,Poland
"Fri, 12/27/24",Macarthur FC,Perth Glory,Starting XI,Matthew Jurman,35,Centre-Back,€250k,"Australia, England"
"Fri, 12/27/24",Macarthur FC,Perth Glory,Starting XI,Oliver Jones,21,Centre-Back,€100k,Australia
"Fri, 12/27/24",Macarthur FC,Perth Glory,Starting XI,Walter Scott,25,Left-Back,€100k,Australia
"Fri, 12/27/24",Macarthur FC,Perth Glory,Starting XI,Kealey Adamson,21,Right-Back,€200k,"Australia, Tanzania"
"Fri, 12/27/24",Macarthur FC,Perth Glory,Starting XI,Luke Brattan,34,Defensive Midfield,€450k,"Australia, England"
"Fri, 12/27/24",Macarthur FC,Perth Glory,Starting XI,Liam Rose,27,Central Midfield,€250k,Australia
"Fri, 12/27/24",Macarthur FC,Perth Glory,Starting XI,Jake Hollman,23,Central Midfield,€400k,Australia
"Fri, 12/27/24",Macarthur FC,Perth Glory,Starting XI,Marin Jakolis,28,Left Winger,€700k,"Croatia, Australia"
"Fri, 12/27/24",Macarthur FC,Perth Glory,Starting XI,Jed Drew,21,Right Winger,€350k,Australia
"Fri, 12/27/24",Macarthur FC,Perth Glory,Starting XI,Valère Germain,34,Centre-Forward,€1.00m,France
"Fri, 12/27/24",Macarthur FC,Perth Glory,Substitutes,Alex Robinson,19,Goalkeeper,€25k,Australia
"Fri, 12/27/24",Macarthur FC,Perth Glory,Substitutes,Joshua Damevski,19,Centre-Back,€50k,Australia
"Fri, 12/27/24",Macarthur FC,Perth Glory,Substitutes,Yianni Nicolaou,24,Right-Back,€200k,"Australia, Greece"
"Fri, 12/27/24",Macarthur FC,Perth Glory,Substitutes,Frans Deli,19,Central Midfield,€25k,Australia
"Fri, 12/27/24",Macarthur FC,Perth Glory,Substitutes,Bernardo Oliveira,20,Left Winger,€300k,"Australia, Brazil"
"Fri, 12/27/24",Macarthur FC,Perth Glory,Substitutes,Ariath Piol,20,Centre-Forward,€50k,"Australia, Sudan"
"Fri, 12/27/24",Macarthur FC,Perth Glory,Substitutes,Dean Bosnjak,18,Right Winger,,Australia
