Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 12/28/24",Central Coast Mariners,Auckland FC,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€25k,Australia
"Sat, 12/28/24",Central Coast Mariners,Auckland FC,Starting XI,Nathan Paull,21,Centre-Back,€150k,Australia
"Sat, 12/28/24",Central Coast Mariners,Auckland FC,Starting XI,Brian Kaltak,31,Centre-Back,€450k,Vanuatu
"Sat, 12/28/24",Central Coast Mariners,Auckland FC,Starting XI,Trent Sainsbury,32,Centre-Back,€600k,"Australia, England"
"Sat, 12/28/24",Central Coast Mariners,Auckland FC,Starting XI,Harrison Steele,22,Defensive Midfield,€250k,Australia
"Sat, 12/28/24",Central Coast Mariners,Auckland FC,Starting XI,Alfie McCalmont,24,Defensive Midfield,€175k,"Northern Ireland, England"
"Sat, 12/28/24",Central Coast Mariners,Auckland FC,Starting XI,Haine Eames,16,Attacking Midfield,,Australia
"Sat, 12/28/24",Central Coast Mariners,Auckland FC,Starting XI,Mikael Doka,24,Attacking Midfield,€400k,Brazil
"Sat, 12/28/24",Central Coast Mariners,Auckland FC,Starting XI,Lucas Mauragis,23,Left Winger,€400k,"Australia, Lithuania"
"Sat, 12/28/24",Central Coast Mariners,Auckland FC,Starting XI,Storm Roux,31,Right Winger,€350k,"New Zealand, Australia"
"Sat, 12/28/24",Central Coast Mariners,Auckland FC,Starting XI,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Sat, 12/28/24",Central Coast Mariners,Auckland FC,Substitutes,Adam Pavlesic,22,Goalkeeper,€100k,"Australia, Croatia"
"Sat, 12/28/24",Central Coast Mariners,Auckland FC,Substitutes,Diesel Herrington,20,Centre-Back,€150k,Australia
"Sat, 12/28/24",Central Coast Mariners,Auckland FC,Substitutes,Noah Smith,24,Left-Back,€150k,Australia
"Sat, 12/28/24",Central Coast Mariners,Auckland FC,Substitutes,Lucas Scicluna,19,Defensive Midfield,,"Malta, Australia"
"Sat, 12/28/24",Central Coast Mariners,Auckland FC,Substitutes,Vitor Feijão,28,Centre-Forward,€150k,Brazil
"Sat, 12/28/24",Central Coast Mariners,Auckland FC,Substitutes,Sabit James Ngor,23,Left Winger,€100k,"Australia, Southern Sudan"
"Sat, 12/28/24",Central Coast Mariners,Auckland FC,Substitutes,Bailey Brandtman,19,Right Winger,€75k,Australia
"Sat, 12/28/24",Auckland FC,Central Coast Mariners,Starting XI,Alex Paulsen,22,Goalkeeper,€450k,"New Zealand, South Africa"
"Sat, 12/28/24",Auckland FC,Central Coast Mariners,Starting XI,Nando Pijnaker,25,Centre-Back,€150k,"New Zealand, Netherlands"
"Sat, 12/28/24",Auckland FC,Central Coast Mariners,Starting XI,Tommy Smith,34,Centre-Back,€100k,"New Zealand, England"
"Sat, 12/28/24",Auckland FC,Central Coast Mariners,Starting XI,Francis de Vries,30,Left-Back,€375k,New Zealand
"Sat, 12/28/24",Auckland FC,Central Coast Mariners,Starting XI,Hiroki Sakai,34,Right-Back,€600k,Japan
"Sat, 12/28/24",Auckland FC,Central Coast Mariners,Starting XI,Louis Verstraete,25,Central Midfield,€400k,Belgium
"Sat, 12/28/24",Auckland FC,Central Coast Mariners,Starting XI,Luis Felipe Gallegos,33,Central Midfield,€300k,"Chile, Italy"
"Sat, 12/28/24",Auckland FC,Central Coast Mariners,Starting XI,Jake Brimmer,26,Attacking Midfield,€550k,"Australia, Malta"
"Sat, 12/28/24",Auckland FC,Central Coast Mariners,Starting XI,Liam Gillion,22,Left Winger,€375k,New Zealand
"Sat, 12/28/24",Auckland FC,Central Coast Mariners,Starting XI,Neyder Moreno,27,Right Winger,€450k,Colombia
"Sat, 12/28/24",Auckland FC,Central Coast Mariners,Starting XI,Guillermo May,26,Centre-Forward,€800k,"Uruguay, Italy"
"Sat, 12/28/24",Auckland FC,Central Coast Mariners,Substitutes,Michael Woud,25,Goalkeeper,€200k,"New Zealand, Netherlands"
"Sat, 12/28/24",Auckland FC,Central Coast Mariners,Substitutes,Scott Galloway,29,Left-Back,€300k,"Australia, Northern Ireland"
"Sat, 12/28/24",Auckland FC,Central Coast Mariners,Substitutes,Callan Elliot,25,Right-Back,€300k,"New Zealand, Scotland"
"Sat, 12/28/24",Auckland FC,Central Coast Mariners,Substitutes,Finn McKenlay,19,Central Midfield,€325k,"New Zealand, England"
"Sat, 12/28/24",Auckland FC,Central Coast Mariners,Substitutes,Jesse Randall,22,Right Winger,€250k,New Zealand
"Sat, 12/28/24",Auckland FC,Central Coast Mariners,Substitutes,Logan Rogerson,26,Right Winger,€200k,New Zealand
"Sat, 12/28/24",Auckland FC,Central Coast Mariners,Substitutes,Max Mata,24,Centre-Forward,€275k,"New Zealand, Cookinseln"
