Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 12/28/24",Sydney FC,Melbourne Victory,Starting XI,Harrison Devenish-Meares,28,Goalkeeper,€25k,Australia
"Sat, 12/28/24",Sydney FC,Melbourne Victory,Starting XI,Hayden Matthews,20,Centre-Back,€300k,Australia
"Sat, 12/28/24",Sydney FC,Melbourne Victory,Starting XI,Alexandar Popovic,22,Centre-Back,€325k,Australia
"Sat, 12/28/24",Sydney FC,Melbourne Victory,Starting XI,Jordan Courtney-Perkins,22,Left-Back,€400k,Australia
"Sat, 12/28/24",Sydney FC,Melbourne Victory,Starting XI,Rhyan Grant,33,Right-Back,€500k,Australia
"Sat, 12/28/24",Sydney FC,Melbourne Victory,Starting XI,Corey Hollman,21,Defensive Midfield,€350k,Australia
"Sat, 12/28/24",Sydney FC,Melbourne Victory,Starting XI,Anas Ouahim,27,Central Midfield,€500k,"Morocco, Germany"
"Sat, 12/28/24",Sydney FC,Melbourne Victory,Starting XI,Anthony Cáceres,32,Central Midfield,€600k,"Australia, Uruguay"
"Sat, 12/28/24",Sydney FC,Melbourne Victory,Starting XI,Adrian Segecic,20,Attacking Midfield,€400k,"Australia, Croatia"
"Sat, 12/28/24",Sydney FC,Melbourne Victory,Starting XI,Douglas Costa,34,Attacking Midfield,€800k,Brazil
"Sat, 12/28/24",Sydney FC,Melbourne Victory,Starting XI,Joe Lolley,32,Centre-Forward,€1.50m,England
"Sat, 12/28/24",Sydney FC,Melbourne Victory,Substitutes,Andrew Redmayne,35,Goalkeeper,€400k,Australia
"Sat, 12/28/24",Sydney FC,Melbourne Victory,Substitutes,Aaron Gurd,23,Centre-Back,€125k,"Australia, Thailand"
"Sat, 12/28/24",Sydney FC,Melbourne Victory,Substitutes,Joel King,24,Centre-Back,€500k,Australia
"Sat, 12/28/24",Sydney FC,Melbourne Victory,Substitutes,Tiago Quintal,18,Attacking Midfield,€50k,"Australia, Portugal"
"Sat, 12/28/24",Sydney FC,Melbourne Victory,Substitutes,Jaiden Kucharski,22,Attacking Midfield,€350k,"Australia, Poland"
"Sat, 12/28/24",Sydney FC,Melbourne Victory,Substitutes,Nathan Amanatidis,18,Centre-Forward,€125k,Australia
"Sat, 12/28/24",Sydney FC,Melbourne Victory,Substitutes,Patrick Wood,22,Centre-Forward,€350k,Australia
"Sat, 12/28/24",Melbourne Victory,Sydney FC,Starting XI,Jack Duncan,31,Goalkeeper,€250k,Australia
"Sat, 12/28/24",Melbourne Victory,Sydney FC,Starting XI,Brendan Hamill,32,Centre-Back,€350k,"Australia, Ireland"
"Sat, 12/28/24",Melbourne Victory,Sydney FC,Starting XI,Roderick Miranda,33,Centre-Back,€750k,"Portugal, Brazil"
"Sat, 12/28/24",Melbourne Victory,Sydney FC,Starting XI,Kasey Bos,20,Left-Back,€150k,"Australia, Netherlands"
"Sat, 12/28/24",Melbourne Victory,Sydney FC,Starting XI,Jason Geria,31,Right-Back,€500k,"Australia, Uganda"
"Sat, 12/28/24",Melbourne Victory,Sydney FC,Starting XI,Ryan Teague,22,Defensive Midfield,€400k,Australia
"Sat, 12/28/24",Melbourne Victory,Sydney FC,Starting XI,Jordi Valadon,21,Defensive Midfield,€125k,Australia
"Sat, 12/28/24",Melbourne Victory,Sydney FC,Starting XI,Reno Piscopo,26,Left Winger,€450k,"Australia, Italy"
"Sat, 12/28/24",Melbourne Victory,Sydney FC,Starting XI,Daniel Arzani,25,Right Winger,€500k,Australia
"Sat, 12/28/24",Melbourne Victory,Sydney FC,Starting XI,Zinédine Machach,28,Second Striker,€600k,"France, Morocco"
"Sat, 12/28/24",Melbourne Victory,Sydney FC,Starting XI,Nikolaos Vergos,28,Centre-Forward,€450k,Greece
"Sat, 12/28/24",Melbourne Victory,Sydney FC,Substitutes,Daniel Graskoski,17,Goalkeeper,,Australia
"Sat, 12/28/24",Melbourne Victory,Sydney FC,Substitutes,Adama Traoré,34,Left-Back,€175k,"Cote d'Ivoire, Australia"
"Sat, 12/28/24",Melbourne Victory,Sydney FC,Substitutes,Joshua Rawlins,20,Right-Back,€250k,Australia
"Sat, 12/28/24",Melbourne Victory,Sydney FC,Substitutes,Fabian Monge,23,Defensive Midfield,€200k,Australia
"Sat, 12/28/24",Melbourne Victory,Sydney FC,Substitutes,Clarismario,23,Right Winger,€450k,Brazil
"Sat, 12/28/24",Melbourne Victory,Sydney FC,Substitutes,Jing Reec,21,Left Winger,€150k,"Australia, Southern Sudan"
"Sat, 12/28/24",Melbourne Victory,Sydney FC,Substitutes,Bruno Fornaroli,37,Centre-Forward,€450k,"Australia, Uruguay"
