Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 12/28/24",Wellington Phoenix,Newcastle United Jets,Starting XI,Joshua Oluwayemi,23,Goalkeeper,€200k,"Nigeria, England"
"Sat, 12/28/24",Wellington Phoenix,Newcastle United Jets,Starting XI,Scott Wootton,33,Centre-Back,€300k,England
"Sat, 12/28/24",Wellington Phoenix,Newcastle United Jets,Starting XI,Matthew Sheridan,20,Centre-Back,€175k,New Zealand
"Sat, 12/28/24",Wellington Phoenix,Newcastle United Jets,Starting XI,Sam Sutton,23,Left-Back,€350k,"New Zealand, England"
"Sat, 12/28/24",Wellington Phoenix,Newcastle United Jets,Starting XI,Tim Payne,30,Right-Back,€450k,New Zealand
"Sat, 12/28/24",Wellington Phoenix,Newcastle United Jets,Starting XI,Alex Rufer,28,Defensive Midfield,€600k,"New Zealand, Switzerland"
"Sat, 12/28/24",Wellington Phoenix,Newcastle United Jets,Starting XI,Paulo Retre,31,Attacking Midfield,€350k,"Australia, Portugal"
"Sat, 12/28/24",Wellington Phoenix,Newcastle United Jets,Starting XI,Kazuki Nagasawa,33,Attacking Midfield,€250k,Japan
"Sat, 12/28/24",Wellington Phoenix,Newcastle United Jets,Starting XI,Luke Brooke-Smith,16,Left Winger,€50k,New Zealand
"Sat, 12/28/24",Wellington Phoenix,Newcastle United Jets,Starting XI,Hideki Ishige,30,Right Winger,€300k,Japan
"Sat, 12/28/24",Wellington Phoenix,Newcastle United Jets,Starting XI,Kosta Barbarouses,34,Centre-Forward,€400k,"New Zealand, Greece"
"Sat, 12/28/24",Wellington Phoenix,Newcastle United Jets,Substitutes,Alby Kelly-Heald,19,Goalkeeper,€100k,New Zealand
"Sat, 12/28/24",Wellington Phoenix,Newcastle United Jets,Substitutes,Corban Piper,22,Centre-Back,€250k,New Zealand
"Sat, 12/28/24",Wellington Phoenix,Newcastle United Jets,Substitutes,Isaac Hughes,20,Centre-Back,€175k,"New Zealand, England"
"Sat, 12/28/24",Wellington Phoenix,Newcastle United Jets,Substitutes,Lukas Kelly-Heald,19,Left-Back,€275k,New Zealand
"Sat, 12/28/24",Wellington Phoenix,Newcastle United Jets,Substitutes,Mohamed Al-Taay,24,Defensive Midfield,€300k,"Iraq, Australia"
"Sat, 12/28/24",Wellington Phoenix,Newcastle United Jets,Substitutes,Nathan Walker,18,Right Winger,€75k,New Zealand
"Sat, 12/28/24",Wellington Phoenix,Newcastle United Jets,Substitutes,Luke Supyk,18,Centre-Forward,€100k,"New Zealand, England"
"Sat, 12/28/24",Newcastle United Jets,Wellington Phoenix,Starting XI,Ryan Scott,29,Goalkeeper,€300k,"Australia, England"
"Sat, 12/28/24",Newcastle United Jets,Wellington Phoenix,Starting XI,Aleksandar Susnjar,29,Centre-Back,€300k,"Australia, Serbia"
"Sat, 12/28/24",Newcastle United Jets,Wellington Phoenix,Starting XI,Mark Natta,22,Centre-Back,€375k,"Australia, Italy"
"Sat, 12/28/24",Newcastle United Jets,Wellington Phoenix,Starting XI,Daniel Wilmering,24,Left-Back,€250k,"Australia, Germany"
"Sat, 12/28/24",Newcastle United Jets,Wellington Phoenix,Starting XI,Phillip Cancar,23,Right-Back,€350k,"Croatia, Australia"
"Sat, 12/28/24",Newcastle United Jets,Wellington Phoenix,Starting XI,Callum Timmins,25,Central Midfield,€300k,"Australia, England"
"Sat, 12/28/24",Newcastle United Jets,Wellington Phoenix,Starting XI,Lachlan Bayliss,22,Central Midfield,€150k,"New Zealand, Australia"
"Sat, 12/28/24",Newcastle United Jets,Wellington Phoenix,Starting XI,Clayton Taylor,20,Left Winger,€300k,Australia
"Sat, 12/28/24",Newcastle United Jets,Wellington Phoenix,Starting XI,Thomas Aquilina,23,Right Winger,€350k,"Australia, Malta"
"Sat, 12/28/24",Newcastle United Jets,Wellington Phoenix,Starting XI,Eli Adams,22,Centre-Forward,€125k,Australia
"Sat, 12/28/24",Newcastle United Jets,Wellington Phoenix,Starting XI,Ben Gibson,21,Centre-Forward,€75k,Australia
"Sat, 12/28/24",Newcastle United Jets,Wellington Phoenix,Substitutes,Noah James,23,Goalkeeper,,Australia
"Sat, 12/28/24",Newcastle United Jets,Wellington Phoenix,Substitutes,Nathan Grimaldi,23,Centre-Back,€100k,"Australia, Philippines"
"Sat, 12/28/24",Newcastle United Jets,Wellington Phoenix,Substitutes,Christian Bracco,20,Defensive Midfield,,"Australia, Italy"
"Sat, 12/28/24",Newcastle United Jets,Wellington Phoenix,Substitutes,Matthew Scarcella,20,Central Midfield,€50k,"Australia, Italy"
"Sat, 12/28/24",Newcastle United Jets,Wellington Phoenix,Substitutes,Will Dobson,17,Central Midfield,,Australia
"Sat, 12/28/24",Newcastle United Jets,Wellington Phoenix,Substitutes,Wellissol,26,Centre-Forward,€100k,Brazil
"Sat, 12/28/24",Newcastle United Jets,Wellington Phoenix,Substitutes,Justin Vidic,20,Centre-Forward,€50k,Australia
