Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sun, 12/29/24",Western United FC,Brisbane Roar,Starting XI,Matt Sutton,24,Goalkeeper,€200k,Australia
"Sun, 12/29/24",Western United FC,Brisbane Roar,Starting XI,Tomoki Imai,34,Centre-Back,€300k,Japan
"Sun, 12/29/24",Western United FC,Brisbane Roar,Starting XI,Dylan Leonard,17,Centre-Back,,"Australia, Scotland"
"Sun, 12/29/24",Western United FC,Brisbane Roar,Starting XI,Charbel Shamoon,20,Left-Back,€50k,"Iraq, Australia"
"Sun, 12/29/24",Western United FC,Brisbane Roar,Starting XI,Tate Russell,25,Right-Back,€325k,Australia
"Sun, 12/29/24",Western United FC,Brisbane Roar,Starting XI,Rhys Bozinovski,20,Central Midfield,€100k,"Australia, Malta"
"Sun, 12/29/24",Western United FC,Brisbane Roar,Starting XI,Angus Thurgate,24,Central Midfield,€500k,Australia
"Sun, 12/29/24",Western United FC,Brisbane Roar,Starting XI,Abel Walatee,20,Left Winger,€25k,"Australia, Ghana"
"Sun, 12/29/24",Western United FC,Brisbane Roar,Starting XI,Riku Danzaki,24,Right Winger,€250k,Japan
"Sun, 12/29/24",Western United FC,Brisbane Roar,Starting XI,Hiroshi Ibusuki,33,Centre-Forward,€250k,Japan
"Sun, 12/29/24",Western United FC,Brisbane Roar,Starting XI,Noah Botic,22,Centre-Forward,€350k,"Australia, Croatia"
"Sun, 12/29/24",Western United FC,Brisbane Roar,Substitutes,Tom Heward-Belle,27,Goalkeeper,€300k,Australia
"Sun, 12/29/24",Western United FC,Brisbane Roar,Substitutes,Kane Vidmar,20,Centre-Back,€200k,"Australia, Wales"
"Sun, 12/29/24",Western United FC,Brisbane Roar,Substitutes,Jordan Lauton,21,Central Midfield,€25k,Australia
"Sun, 12/29/24",Western United FC,Brisbane Roar,Substitutes,Ramy Najjarine,24,Left Winger,€300k,"Australia, Lebanon"
"Sun, 12/29/24",Western United FC,Brisbane Roar,Substitutes,Matthew Grimaldi,21,Right Winger,€200k,Australia
"Sun, 12/29/24",Western United FC,Brisbane Roar,Substitutes,Jake Najdovski,19,Centre-Forward,€25k,Australia
"Sun, 12/29/24",Western United FC,Brisbane Roar,Substitutes,Michael Ruhs,22,Centre-Forward,€200k,Australia
"Sun, 12/29/24",Brisbane Roar,Western United FC,Starting XI,Macklin Freke,25,Goalkeeper,€300k,"Australia, New Zealand"
"Sun, 12/29/24",Brisbane Roar,Western United FC,Starting XI,Lucas Herrington,17,Centre-Back,,Australia
"Sun, 12/29/24",Brisbane Roar,Western United FC,Starting XI,Hosine Bility,23,Centre-Back,€50k,"Australia, Guinea"
"Sun, 12/29/24",Brisbane Roar,Western United FC,Starting XI,Antonee Burke-Gilroy,27,Left-Back,€250k,"Australia, England"
"Sun, 12/29/24",Brisbane Roar,Western United FC,Starting XI,Harry Van der Saag,25,Right-Back,€250k,"Australia, Netherlands"
"Sun, 12/29/24",Brisbane Roar,Western United FC,Starting XI,Walid Shour,28,Defensive Midfield,€325k,"Lebanon, Sierra Leone"
"Sun, 12/29/24",Brisbane Roar,Western United FC,Starting XI,Jay O'Shea,36,Defensive Midfield,€300k,Ireland
"Sun, 12/29/24",Brisbane Roar,Western United FC,Starting XI,Keegan Jelacic,22,Attacking Midfield,€300k,"Australia, New Zealand"
"Sun, 12/29/24",Brisbane Roar,Western United FC,Starting XI,Jacob Brazete,18,Left Winger,,"Australia, Portugal"
"Sun, 12/29/24",Brisbane Roar,Western United FC,Starting XI,Ben Halloran,32,Right Winger,€400k,Australia
"Sun, 12/29/24",Brisbane Roar,Western United FC,Starting XI,Thomas Waddingham,19,Centre-Forward,€350k,"Australia, England"
"Sun, 12/29/24",Brisbane Roar,Western United FC,Substitutes,Matt Acton,32,Goalkeeper,€200k,"Australia, Finland"
"Sun, 12/29/24",Brisbane Roar,Western United FC,Substitutes,Scott Neville,35,Centre-Back,€150k,"Australia, England"
"Sun, 12/29/24",Brisbane Roar,Western United FC,Substitutes,Louis Zabala,23,Defensive Midfield,€175k,Australia
"Sun, 12/29/24",Brisbane Roar,Western United FC,Substitutes,Jack Hingert,34,Right-Back,€175k,"Sri Lanka, Australia"
"Sun, 12/29/24",Brisbane Roar,Western United FC,Substitutes,Florin Bérenguer,35,Attacking Midfield,€300k,France
"Sun, 12/29/24",Brisbane Roar,Western United FC,Substitutes,Rafael Struick,21,Centre-Forward,€75k,"Indonesia, Netherlands"
"Sun, 12/29/24",Brisbane Roar,Western United FC,Substitutes,Adam Zimarino,23,Left Winger,€75k,Australia
