Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Tue, 12/31/24",Central Coast Mariners,Melbourne City FC,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€25k,Australia
"Tue, 12/31/24",Central Coast Mariners,Melbourne City FC,Starting XI,Nathan Paull,21,Centre-Back,€150k,Australia
"Tue, 12/31/24",Central Coast Mariners,Melbourne City FC,Starting XI,Brian Kaltak,31,Centre-Back,€450k,Vanuatu
"Tue, 12/31/24",Central Coast Mariners,Melbourne City FC,Starting XI,Trent Sainsbury,32,Centre-Back,€600k,"Australia, England"
"Tue, 12/31/24",Central Coast Mariners,Melbourne City FC,Starting XI,Noah Smith,24,Left-Back,€150k,Australia
"Tue, 12/31/24",Central Coast Mariners,Melbourne City FC,Starting XI,Storm Roux,31,Right-Back,€350k,"New Zealand, Australia"
"Tue, 12/31/24",Central Coast Mariners,Melbourne City FC,Starting XI,Harrison Steele,22,Central Midfield,€250k,Australia
"Tue, 12/31/24",Central Coast Mariners,Melbourne City FC,Starting XI,Alfie McCalmont,24,Central Midfield,€175k,"Northern Ireland, England"
"Tue, 12/31/24",Central Coast Mariners,Melbourne City FC,Starting XI,Mikael Doka,24,Left Winger,€400k,Brazil
"Tue, 12/31/24",Central Coast Mariners,Melbourne City FC,Starting XI,Bailey Brandtman,19,Right Winger,€75k,Australia
"Tue, 12/31/24",Central Coast Mariners,Melbourne City FC,Starting XI,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Tue, 12/31/24",Central Coast Mariners,Melbourne City FC,Substitutes,Adam Pavlesic,22,Goalkeeper,€100k,"Australia, Croatia"
"Tue, 12/31/24",Central Coast Mariners,Melbourne City FC,Substitutes,Diesel Herrington,20,Centre-Back,€150k,Australia
"Tue, 12/31/24",Central Coast Mariners,Melbourne City FC,Substitutes,Will Wilson,23,Attacking Midfield,€175k,"Kenya, Australia"
"Tue, 12/31/24",Central Coast Mariners,Melbourne City FC,Substitutes,Haine Eames,16,Central Midfield,,Australia
"Tue, 12/31/24",Central Coast Mariners,Melbourne City FC,Substitutes,Christian Theoharous,25,Left Winger,€300k,"Australia, Cyprus"
"Tue, 12/31/24",Central Coast Mariners,Melbourne City FC,Substitutes,Vitor Feijão,28,Left Winger,€150k,Brazil
"Tue, 12/31/24",Central Coast Mariners,Melbourne City FC,Substitutes,Sabit James Ngor,23,Right Winger,€100k,"Australia, Southern Sudan"
"Tue, 12/31/24",Melbourne City FC,Central Coast Mariners,Starting XI,Patrick Beach,21,Goalkeeper,€100k,Australia
"Tue, 12/31/24",Melbourne City FC,Central Coast Mariners,Starting XI,Samuel Souprayen,35,Centre-Back,€100k,"France, Réunion"
"Tue, 12/31/24",Melbourne City FC,Central Coast Mariners,Starting XI,Kai Trewin,23,Centre-Back,€400k,Australia
"Tue, 12/31/24",Melbourne City FC,Central Coast Mariners,Starting XI,Aziz Behich,34,Left-Back,€400k,"Australia, Türkiye"
"Tue, 12/31/24",Melbourne City FC,Central Coast Mariners,Starting XI,Callum Talbot,23,Right-Back,€350k,"Australia, Malta"
"Tue, 12/31/24",Melbourne City FC,Central Coast Mariners,Starting XI,Zane Schreiber,19,Defensive Midfield,€50k,Australia
"Tue, 12/31/24",Melbourne City FC,Central Coast Mariners,Starting XI,Nathaniel Atkinson,25,Attacking Midfield,€800k,Australia
"Tue, 12/31/24",Melbourne City FC,Central Coast Mariners,Starting XI,Steven Ugarkovic,30,Attacking Midfield,€450k,"Australia, Croatia"
"Tue, 12/31/24",Melbourne City FC,Central Coast Mariners,Starting XI,Harry Politidis,22,Left Winger,€100k,Australia
"Tue, 12/31/24",Melbourne City FC,Central Coast Mariners,Starting XI,Yonatan Cohen,28,Right Winger,€350k,"Israel, Poland"
"Tue, 12/31/24",Melbourne City FC,Central Coast Mariners,Starting XI,Medin Memeti,17,Centre-Forward,,Australia
"Tue, 12/31/24",Melbourne City FC,Central Coast Mariners,Substitutes,Jamie Young,39,Goalkeeper,€200k,"England, Australia"
"Tue, 12/31/24",Melbourne City FC,Central Coast Mariners,Substitutes,Germán Ferreyra,28,Defensive Midfield,€450k,Argentina
"Tue, 12/31/24",Melbourne City FC,Central Coast Mariners,Substitutes,Benjamin Dunbar,18,Central Midfield,,Australia
"Tue, 12/31/24",Melbourne City FC,Central Coast Mariners,Substitutes,Lawrence Wong,17,Attacking Midfield,,Australia
"Tue, 12/31/24",Melbourne City FC,Central Coast Mariners,Substitutes,Mikey Ghossaini,17,Centre-Forward,,"Australia, Lebanon"
"Tue, 12/31/24",Melbourne City FC,Central Coast Mariners,Substitutes,Kavian Rahmani,18,Left Winger,,Australia
"Tue, 12/31/24",Melbourne City FC,Central Coast Mariners,Substitutes,Benjamin Mazzeo,19,Right Winger,€75k,Australia
