Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Wed, 1/1/25",Auckland FC,Melbourne Victory,Starting XI,Alex Paulsen,22,Goalkeeper,€450k,"New Zealand, South Africa"
"Wed, 1/1/25",Auckland FC,Melbourne Victory,Starting XI,Nando Pijnaker,25,Centre-Back,€150k,"New Zealand, Netherlands"
"Wed, 1/1/25",Auckland FC,Melbourne Victory,Starting XI,Tommy Smith,34,Centre-Back,€100k,"New Zealand, England"
"Wed, 1/1/25",Auckland FC,Melbourne Victory,Starting XI,Francis de Vries,30,Left-Back,€375k,New Zealand
"Wed, 1/1/25",Auckland FC,Melbourne Victory,Starting XI,Hiroki Sakai,34,Right-Back,€600k,Japan
"Wed, 1/1/25",Auckland FC,Melbourne Victory,Starting XI,Louis Verstraete,25,Defensive Midfield,€400k,Belgium
"Wed, 1/1/25",Auckland FC,Melbourne Victory,Starting XI,Luis Felipe Gallegos,33,Defensive Midfield,€300k,"Chile, Italy"
"Wed, 1/1/25",Auckland FC,Melbourne Victory,Starting XI,Jake Brimmer,26,Attacking Midfield,€550k,"Australia, Malta"
"Wed, 1/1/25",Auckland FC,Melbourne Victory,Starting XI,Liam Gillion,22,Left Winger,€375k,New Zealand
"Wed, 1/1/25",Auckland FC,Melbourne Victory,Starting XI,Neyder Moreno,27,Right Winger,€450k,Colombia
"Wed, 1/1/25",Auckland FC,Melbourne Victory,Starting XI,Guillermo May,26,Centre-Forward,€800k,"Uruguay, Italy"
"Wed, 1/1/25",Auckland FC,Melbourne Victory,Substitutes,Michael Woud,25,Goalkeeper,€200k,"New Zealand, Netherlands"
"Wed, 1/1/25",Auckland FC,Melbourne Victory,Substitutes,Scott Galloway,29,Left-Back,€300k,"Australia, Northern Ireland"
"Wed, 1/1/25",Auckland FC,Melbourne Victory,Substitutes,Callan Elliot,25,Right-Back,€300k,"New Zealand, Scotland"
"Wed, 1/1/25",Auckland FC,Melbourne Victory,Substitutes,Finn McKenlay,19,Central Midfield,€325k,"New Zealand, England"
"Wed, 1/1/25",Auckland FC,Melbourne Victory,Substitutes,Jesse Randall,22,Left Winger,€250k,New Zealand
"Wed, 1/1/25",Auckland FC,Melbourne Victory,Substitutes,Logan Rogerson,26,Right Winger,€200k,New Zealand
"Wed, 1/1/25",Auckland FC,Melbourne Victory,Substitutes,Max Mata,24,Centre-Forward,€275k,"New Zealand, Cookinseln"
"Wed, 1/1/25",Melbourne Victory,Auckland FC,Starting XI,Jack Duncan,31,Goalkeeper,€250k,Australia
"Wed, 1/1/25",Melbourne Victory,Auckland FC,Starting XI,Brendan Hamill,32,Centre-Back,€350k,"Australia, Ireland"
"Wed, 1/1/25",Melbourne Victory,Auckland FC,Starting XI,Roderick Miranda,33,Centre-Back,€750k,"Portugal, Brazil"
"Wed, 1/1/25",Melbourne Victory,Auckland FC,Starting XI,Adama Traoré,34,Left-Back,€175k,"Cote d'Ivoire, Australia"
"Wed, 1/1/25",Melbourne Victory,Auckland FC,Starting XI,Jason Geria,31,Right-Back,€500k,"Australia, Uganda"
"Wed, 1/1/25",Melbourne Victory,Auckland FC,Starting XI,Ryan Teague,22,Defensive Midfield,€400k,Australia
"Wed, 1/1/25",Melbourne Victory,Auckland FC,Starting XI,Jordi Valadon,21,Defensive Midfield,€125k,Australia
"Wed, 1/1/25",Melbourne Victory,Auckland FC,Starting XI,Reno Piscopo,26,Attacking Midfield,€450k,"Australia, Italy"
"Wed, 1/1/25",Melbourne Victory,Auckland FC,Starting XI,Kasey Bos,20,Left Winger,€150k,"Australia, Netherlands"
"Wed, 1/1/25",Melbourne Victory,Auckland FC,Starting XI,Daniel Arzani,25,Right Winger,€500k,Australia
"Wed, 1/1/25",Melbourne Victory,Auckland FC,Starting XI,Bruno Fornaroli,37,Centre-Forward,€450k,"Australia, Uruguay"
"Wed, 1/1/25",Melbourne Victory,Auckland FC,Substitutes,Daniel Graskoski,17,Goalkeeper,,Australia
"Wed, 1/1/25",Melbourne Victory,Auckland FC,Substitutes,Joshua Rawlins,20,Left-Back,€250k,Australia
"Wed, 1/1/25",Melbourne Victory,Auckland FC,Substitutes,Fabian Monge,23,Defensive Midfield,€200k,Australia
"Wed, 1/1/25",Melbourne Victory,Auckland FC,Substitutes,Clarismario,23,Left Winger,€450k,Brazil
"Wed, 1/1/25",Melbourne Victory,Auckland FC,Substitutes,Nishan Velupillay,23,Right Winger,€350k,"Australia, Sri Lanka"
"Wed, 1/1/25",Melbourne Victory,Auckland FC,Substitutes,Jing Reec,21,Centre-Forward,€150k,"Australia, Southern Sudan"
"Wed, 1/1/25",Melbourne Victory,Auckland FC,Substitutes,Nikolaos Vergos,28,Centre-Forward,€450k,Greece
