Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 1/3/25",Brisbane Roar,Central Coast Mariners,Starting XI,Macklin Freke,25,Goalkeeper,€300k,"Australia, New Zealand"
"Fri, 1/3/25",Brisbane Roar,Central Coast Mariners,Starting XI,Lucas Herrington,17,Centre-Back,,Australia
"Fri, 1/3/25",Brisbane Roar,Central Coast Mariners,Starting XI,Hosine Bility,23,Centre-Back,€50k,"Australia, Guinea"
"Fri, 1/3/25",Brisbane Roar,Central Coast Mariners,Starting XI,Antonee Burke-Gilroy,27,Left-Back,€250k,"Australia, England"
"Fri, 1/3/25",Brisbane Roar,Central Coast Mariners,Starting XI,Harry Van der Saag,25,Right-Back,€250k,"Australia, Netherlands"
"Fri, 1/3/25",Brisbane Roar,Central Coast Mariners,Starting XI,Walid Shour,28,Defensive Midfield,€325k,"Lebanon, Sierra Leone"
"Fri, 1/3/25",Brisbane Roar,Central Coast Mariners,Starting XI,Jay O'Shea,36,Attacking Midfield,€300k,Ireland
"Fri, 1/3/25",Brisbane Roar,Central Coast Mariners,Starting XI,Florin Bérenguer,35,Attacking Midfield,€300k,France
"Fri, 1/3/25",Brisbane Roar,Central Coast Mariners,Starting XI,Keegan Jelacic,22,Left Winger,€300k,"Australia, New Zealand"
"Fri, 1/3/25",Brisbane Roar,Central Coast Mariners,Starting XI,Ben Halloran,32,Right Winger,€400k,Australia
"Fri, 1/3/25",Brisbane Roar,Central Coast Mariners,Starting XI,Thomas Waddingham,19,Centre-Forward,€350k,"Australia, England"
"Fri, 1/3/25",Brisbane Roar,Central Coast Mariners,Substitutes,Matt Acton,32,Goalkeeper,€200k,"Australia, Finland"
"Fri, 1/3/25",Brisbane Roar,Central Coast Mariners,Substitutes,Scott Neville,35,Centre-Back,€150k,"Australia, England"
"Fri, 1/3/25",Brisbane Roar,Central Coast Mariners,Substitutes,Corey Brown,30,Left-Back,€250k,Australia
"Fri, 1/3/25",Brisbane Roar,Central Coast Mariners,Substitutes,Louis Zabala,23,Right-Back,€175k,Australia
"Fri, 1/3/25",Brisbane Roar,Central Coast Mariners,Substitutes,Rafael Struick,21,Centre-Forward,€75k,"Indonesia, Netherlands"
"Fri, 1/3/25",Brisbane Roar,Central Coast Mariners,Substitutes,Adam Zimarino,23,Right Winger,€75k,Australia
"Fri, 1/3/25",Brisbane Roar,Central Coast Mariners,Substitutes,Jacob Brazete,18,Left Winger,,"Australia, Portugal"
"Fri, 1/3/25",Central Coast Mariners,Brisbane Roar,Starting XI,Dylan Peraić-Cullen,18,Goalkeeper,€25k,Australia
"Fri, 1/3/25",Central Coast Mariners,Brisbane Roar,Starting XI,Nathan Paull,21,Centre-Back,€150k,Australia
"Fri, 1/3/25",Central Coast Mariners,Brisbane Roar,Starting XI,Brian Kaltak,31,Centre-Back,€450k,Vanuatu
"Fri, 1/3/25",Central Coast Mariners,Brisbane Roar,Starting XI,Trent Sainsbury,32,Centre-Back,€600k,"Australia, England"
"Fri, 1/3/25",Central Coast Mariners,Brisbane Roar,Starting XI,Harrison Steele,22,Central Midfield,€250k,Australia
"Fri, 1/3/25",Central Coast Mariners,Brisbane Roar,Starting XI,Alfie McCalmont,24,Central Midfield,€175k,"Northern Ireland, England"
"Fri, 1/3/25",Central Coast Mariners,Brisbane Roar,Starting XI,Storm Roux,31,Right Midfield,€350k,"New Zealand, Australia"
"Fri, 1/3/25",Central Coast Mariners,Brisbane Roar,Starting XI,Mikael Doka,24,Left Midfield,€400k,Brazil
"Fri, 1/3/25",Central Coast Mariners,Brisbane Roar,Starting XI,Will Wilson,23,Attacking Midfield,€175k,"Kenya, Australia"
"Fri, 1/3/25",Central Coast Mariners,Brisbane Roar,Starting XI,Christian Theoharous,25,Attacking Midfield,€300k,"Australia, Cyprus"
"Fri, 1/3/25",Central Coast Mariners,Brisbane Roar,Starting XI,Alou Kuol,23,Centre-Forward,€300k,"Australia, Southern Sudan"
"Fri, 1/3/25",Central Coast Mariners,Brisbane Roar,Substitutes,Adam Pavlesic,22,Goalkeeper,€100k,"Australia, Croatia"
"Fri, 1/3/25",Central Coast Mariners,Brisbane Roar,Substitutes,Diesel Herrington,20,Centre-Back,€150k,Australia
"Fri, 1/3/25",Central Coast Mariners,Brisbane Roar,Substitutes,Haine Eames,16,Attacking Midfield,,Australia
"Fri, 1/3/25",Central Coast Mariners,Brisbane Roar,Substitutes,Vitor Feijão,28,Left Winger,€150k,Brazil
"Fri, 1/3/25",Central Coast Mariners,Brisbane Roar,Substitutes,Arthur De Lima,17,Centre-Forward,€50k,"Australia, Brazil"
"Fri, 1/3/25",Central Coast Mariners,Brisbane Roar,Substitutes,Bailey Brandtman,19,Right Winger,€75k,Australia
"Fri, 1/3/25",Central Coast Mariners,Brisbane Roar,Substitutes,Ryan Edmondson,23,Centre-Forward,€300k,England
