Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 1/3/25",Melbourne City FC,Wellington Phoenix,Starting XI,Patrick Beach,21,Goalkeeper,€100k,Australia
"Fri, 1/3/25",Melbourne City FC,Wellington Phoenix,Starting XI,Samuel Souprayen,35,Centre-Back,€100k,"France, Réunion"
"Fri, 1/3/25",Melbourne City FC,Wellington Phoenix,Starting XI,Kai Trewin,23,Centre-Back,€400k,Australia
"Fri, 1/3/25",Melbourne City FC,Wellington Phoenix,Starting XI,Aziz Behich,34,Left-Back,€400k,"Australia, Türkiye"
"Fri, 1/3/25",Melbourne City FC,Wellington Phoenix,Starting XI,Callum Talbot,23,Right-Back,€350k,"Australia, Malta"
"Fri, 1/3/25",Melbourne City FC,Wellington Phoenix,Starting XI,Steven Ugarkovic,30,Defensive Midfield,€450k,"Australia, Croatia"
"Fri, 1/3/25",Melbourne City FC,Wellington Phoenix,Starting XI,Nathaniel Atkinson,25,Central Midfield,€800k,Australia
"Fri, 1/3/25",Melbourne City FC,Wellington Phoenix,Starting XI,Andreas Kuen,29,Central Midfield,€450k,Austria
"Fri, 1/3/25",Melbourne City FC,Wellington Phoenix,Starting XI,Harry Politidis,22,Left Winger,€100k,Australia
"Fri, 1/3/25",Melbourne City FC,Wellington Phoenix,Starting XI,Benjamin Mazzeo,19,Right Winger,€75k,Australia
"Fri, 1/3/25",Melbourne City FC,Wellington Phoenix,Starting XI,Arion Sulemani,19,Centre-Forward,€25k,Australia
"Fri, 1/3/25",Melbourne City FC,Wellington Phoenix,Substitutes,James Nieuwenhuizen,20,Goalkeeper,€25k,Australia
"Fri, 1/3/25",Melbourne City FC,Wellington Phoenix,Substitutes,Germán Ferreyra,28,Defensive Midfield,€450k,Argentina
"Fri, 1/3/25",Melbourne City FC,Wellington Phoenix,Substitutes,Zane Schreiber,19,Central Midfield,€50k,Australia
"Fri, 1/3/25",Melbourne City FC,Wellington Phoenix,Substitutes,Lawrence Wong,17,Attacking Midfield,,Australia
"Fri, 1/3/25",Melbourne City FC,Wellington Phoenix,Substitutes,Mikey Ghossaini,17,Left Winger,,"Australia, Lebanon"
"Fri, 1/3/25",Melbourne City FC,Wellington Phoenix,Substitutes,Kavian Rahmani,18,Right Winger,,Australia
"Fri, 1/3/25",Melbourne City FC,Wellington Phoenix,Substitutes,Medin Memeti,17,Centre-Forward,,Australia
"Fri, 1/3/25",Wellington Phoenix,Melbourne City FC,Starting XI,Joshua Oluwayemi,23,Goalkeeper,€200k,"Nigeria, England"
"Fri, 1/3/25",Wellington Phoenix,Melbourne City FC,Starting XI,Scott Wootton,33,Centre-Back,€300k,England
"Fri, 1/3/25",Wellington Phoenix,Melbourne City FC,Starting XI,Isaac Hughes,20,Centre-Back,€175k,"New Zealand, England"
"Fri, 1/3/25",Wellington Phoenix,Melbourne City FC,Starting XI,Matthew Sheridan,20,Centre-Back,€175k,New Zealand
"Fri, 1/3/25",Wellington Phoenix,Melbourne City FC,Starting XI,Sam Sutton,23,Left-Back,€350k,"New Zealand, England"
"Fri, 1/3/25",Wellington Phoenix,Melbourne City FC,Starting XI,Tim Payne,30,Right-Back,€450k,New Zealand
"Fri, 1/3/25",Wellington Phoenix,Melbourne City FC,Starting XI,Paulo Retre,31,Central Midfield,€350k,"Australia, Portugal"
"Fri, 1/3/25",Wellington Phoenix,Melbourne City FC,Starting XI,Kazuki Nagasawa,33,Central Midfield,€250k,Japan
"Fri, 1/3/25",Wellington Phoenix,Melbourne City FC,Starting XI,Hideki Ishige,30,Left Winger,€300k,Japan
"Fri, 1/3/25",Wellington Phoenix,Melbourne City FC,Starting XI,Luke Brooke-Smith,16,Right Winger,€50k,New Zealand
"Fri, 1/3/25",Wellington Phoenix,Melbourne City FC,Starting XI,Kosta Barbarouses,34,Centre-Forward,€400k,"New Zealand, Greece"
"Fri, 1/3/25",Wellington Phoenix,Melbourne City FC,Substitutes,Alby Kelly-Heald,19,Goalkeeper,€100k,New Zealand
"Fri, 1/3/25",Wellington Phoenix,Melbourne City FC,Substitutes,Corban Piper,22,Right-Back,€250k,New Zealand
"Fri, 1/3/25",Wellington Phoenix,Melbourne City FC,Substitutes,Lukas Kelly-Heald,19,Left-Back,€275k,New Zealand
"Fri, 1/3/25",Wellington Phoenix,Melbourne City FC,Substitutes,Mohamed Al-Taay,24,Defensive Midfield,€300k,"Iraq, Australia"
"Fri, 1/3/25",Wellington Phoenix,Melbourne City FC,Substitutes,Nathan Walker,18,Left Winger,€75k,New Zealand
"Fri, 1/3/25",Wellington Phoenix,Melbourne City FC,Substitutes,Oskar van Hattum,22,Right Winger,€250k,"New Zealand, Austria"
"Fri, 1/3/25",Wellington Phoenix,Melbourne City FC,Substitutes,Luke Supyk,18,Centre-Forward,€100k,"New Zealand, England"
