Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 1/3/25",Perth Glory,Western United FC,Starting XI,Oliver Sail,28,Goalkeeper,€500k,"New Zealand, Australia"
"Fri, 1/3/25",Perth Glory,Western United FC,Starting XI,Andriano Lebib,18,Centre-Back,,Australia
"Fri, 1/3/25",Perth Glory,Western United FC,Starting XI,Tomislav Mrcela,34,Centre-Back,€200k,"Australia, Croatia"
"Fri, 1/3/25",Perth Glory,Western United FC,Starting XI,Zach Lisolajski,19,Left-Back,€50k,Australia
"Fri, 1/3/25",Perth Glory,Western United FC,Starting XI,Josh Risdon,32,Right-Back,€450k,Australia
"Fri, 1/3/25",Perth Glory,Western United FC,Starting XI,Nicholas Pennington,26,Defensive Midfield,€350k,"Australia, Italy"
"Fri, 1/3/25",Perth Glory,Western United FC,Starting XI,Taras Gomulka,23,Attacking Midfield,€300k,"Australia, Ukraine"
"Fri, 1/3/25",Perth Glory,Western United FC,Starting XI,Khoa Ngo,18,Left Winger,€50k,Australia
"Fri, 1/3/25",Perth Glory,Western United FC,Starting XI,Trent Ostler,22,Right Winger,€200k,Australia
"Fri, 1/3/25",Perth Glory,Western United FC,Starting XI,Jaylan Pearman,18,Second Striker,€25k,Australia
"Fri, 1/3/25",Perth Glory,Western United FC,Starting XI,Adam Taggart,31,Centre-Forward,€750k,Australia
"Fri, 1/3/25",Perth Glory,Western United FC,Substitutes,Cameron Cook,23,Goalkeeper,€350k,Australia
"Fri, 1/3/25",Perth Glory,Western United FC,Substitutes,Anas Hamzaoui,28,Left-Back,€150k,"Belgium, Morocco"
"Fri, 1/3/25",Perth Glory,Western United FC,Substitutes,Brandon O'Neill,30,Defensive Midfield,€350k,Australia
"Fri, 1/3/25",Perth Glory,Western United FC,Substitutes,Adam Bugarija,19,Attacking Midfield,€50k,"Australia, Spain"
"Fri, 1/3/25",Perth Glory,Western United FC,Substitutes,Jarrod Carluccio,23,Left Winger,€300k,Australia
"Fri, 1/3/25",Perth Glory,Western United FC,Substitutes,Joel Anasmo,20,Right Winger,€75k,"Australia, Southern Sudan"
"Fri, 1/3/25",Perth Glory,Western United FC,Substitutes,Nathanael Blair,20,Centre-Forward,€100k,Australia
"Fri, 1/3/25",Western United FC,Perth Glory,Starting XI,Matt Sutton,24,Goalkeeper,€200k,Australia
"Fri, 1/3/25",Western United FC,Perth Glory,Starting XI,Tomoki Imai,34,Centre-Back,€300k,Japan
"Fri, 1/3/25",Western United FC,Perth Glory,Starting XI,Dylan Leonard,17,Centre-Back,,"Australia, Scotland"
"Fri, 1/3/25",Western United FC,Perth Glory,Starting XI,Ben Garuccio,29,Left-Back,€450k,"Australia, Italy"
"Fri, 1/3/25",Western United FC,Perth Glory,Starting XI,Tate Russell,25,Right-Back,€325k,Australia
"Fri, 1/3/25",Western United FC,Perth Glory,Starting XI,Rhys Bozinovski,20,Defensive Midfield,€100k,"Australia, Malta"
"Fri, 1/3/25",Western United FC,Perth Glory,Starting XI,Angus Thurgate,24,Defensive Midfield,€500k,Australia
"Fri, 1/3/25",Western United FC,Perth Glory,Starting XI,Matthew Grimaldi,21,Attacking Midfield,€200k,Australia
"Fri, 1/3/25",Western United FC,Perth Glory,Starting XI,Riku Danzaki,24,Left Winger,€250k,Japan
"Fri, 1/3/25",Western United FC,Perth Glory,Starting XI,Ramy Najjarine,24,Right Winger,€300k,"Australia, Lebanon"
"Fri, 1/3/25",Western United FC,Perth Glory,Starting XI,Noah Botic,22,Centre-Forward,€350k,"Australia, Croatia"
"Fri, 1/3/25",Western United FC,Perth Glory,Substitutes,Tom Heward-Belle,27,Goalkeeper,€300k,Australia
"Fri, 1/3/25",Western United FC,Perth Glory,Substitutes,Kane Vidmar,20,Centre-Back,€200k,"Australia, Wales"
"Fri, 1/3/25",Western United FC,Perth Glory,Substitutes,James York,19,Central Midfield,€25k,"Australia, Scotland"
"Fri, 1/3/25",Western United FC,Perth Glory,Substitutes,Jordan Lauton,21,Defensive Midfield,€25k,Australia
"Fri, 1/3/25",Western United FC,Perth Glory,Substitutes,Hiroshi Ibusuki,33,Centre-Forward,€250k,Japan
"Fri, 1/3/25",Western United FC,Perth Glory,Substitutes,Michael Ruhs,22,Centre-Forward,€200k,Australia
"Fri, 1/3/25",Western United FC,Perth Glory,Substitutes,Luke Vickery,19,Right Winger,€25k,Australia
