Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 1/4/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Jack Duncan,31,Goalkeeper,€250k,Australia
"Sat, 1/4/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Brendan Hamill,32,Centre-Back,€350k,"Australia, Ireland"
"Sat, 1/4/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Roderick Miranda,33,Centre-Back,€750k,"Portugal, Brazil"
"Sat, 1/4/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Adama Traoré,34,Left-Back,€175k,"Cote d'Ivoire, Australia"
"Sat, 1/4/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Jason Geria,31,Right-Back,€500k,"Australia, Uganda"
"Sat, 1/4/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Ryan Teague,22,Defensive Midfield,€400k,Australia
"Sat, 1/4/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Jordi Valadon,21,Defensive Midfield,€125k,Australia
"Sat, 1/4/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Zinédine Machach,28,Attacking Midfield,€600k,"France, Morocco"
"Sat, 1/4/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Jing Reec,21,Left Winger,€150k,"Australia, Southern Sudan"
"Sat, 1/4/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Daniel Arzani,26,Right Winger,€500k,Australia
"Sat, 1/4/25",Melbourne Victory,Western Sydney Wanderers,Starting XI,Bruno Fornaroli,37,Centre-Forward,€450k,"Australia, Uruguay"
"Sat, 1/4/25",Melbourne Victory,Western Sydney Wanderers,Substitutes,Daniel Graskoski,17,Goalkeeper,,Australia
"Sat, 1/4/25",Melbourne Victory,Western Sydney Wanderers,Substitutes,Joshua Rawlins,20,Right-Back,€250k,Australia
"Sat, 1/4/25",Melbourne Victory,Western Sydney Wanderers,Substitutes,Fabian Monge,23,Defensive Midfield,€200k,Australia
"Sat, 1/4/25",Melbourne Victory,Western Sydney Wanderers,Substitutes,Clarismario,23,Attacking Midfield,€450k,Brazil
"Sat, 1/4/25",Melbourne Victory,Western Sydney Wanderers,Substitutes,Nishan Velupillay,23,Right Winger,€350k,"Australia, Sri Lanka"
"Sat, 1/4/25",Melbourne Victory,Western Sydney Wanderers,Substitutes,Reno Piscopo,26,Left Winger,€450k,"Australia, Italy"
"Sat, 1/4/25",Melbourne Victory,Western Sydney Wanderers,Substitutes,Nikolaos Vergos,28,Centre-Forward,€450k,Greece
"Sat, 1/4/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Lawrence Thomas,32,Goalkeeper,€450k,"Australia, Italy"
"Sat, 1/4/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Alex Bonetig,22,Centre-Back,€200k,Australia
"Sat, 1/4/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Joshua Brillante,31,Centre-Back,€450k,"Australia, Italy"
"Sat, 1/4/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Jack Clisby,32,Left-Back,€400k,Australia
"Sat, 1/4/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Anthony Pantazopoulos,21,Right-Back,€50k,Australia
"Sat, 1/4/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Oscar Priestman,21,Central Midfield,€250k,Australia
"Sat, 1/4/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Juan Mata,36,Central Midfield,€700k,Spain
"Sat, 1/4/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Aydan Hammond,21,Left Winger,€50k,"Australia, Peru"
"Sat, 1/4/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Nicolas Milanovic,23,Right Winger,€450k,"Australia, Croatia"
"Sat, 1/4/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Zachary Sapsford,22,Centre-Forward,€150k,Australia
"Sat, 1/4/25",Western Sydney Wanderers,Melbourne Victory,Starting XI,Brandon Borrello,29,Centre-Forward,€700k,"Australia, Italy"
"Sat, 1/4/25",Western Sydney Wanderers,Melbourne Victory,Substitutes,Jordan Holmes,27,Goalkeeper,€150k,Australia
"Sat, 1/4/25",Western Sydney Wanderers,Melbourne Victory,Substitutes,Aidan Simmons,21,Right-Back,€350k,Australia
"Sat, 1/4/25",Western Sydney Wanderers,Melbourne Victory,Substitutes,Jesse Cameron,19,Right-Back,,Australia
"Sat, 1/4/25",Western Sydney Wanderers,Melbourne Victory,Substitutes,Alex Badolato,19,Attacking Midfield,€150k,Australia
"Sat, 1/4/25",Western Sydney Wanderers,Melbourne Victory,Substitutes,Bozhidar Kraev,27,Left Winger,€750k,Bulgaria
"Sat, 1/4/25",Western Sydney Wanderers,Melbourne Victory,Substitutes,James Temelkovski,26,Centre-Forward,€125k,Australia
"Sat, 1/4/25",Western Sydney Wanderers,Melbourne Victory,Substitutes,Marcus Antonsson,33,Centre-Forward,€600k,Sweden
