Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Sat, 1/4/25",Newcastle United Jets,Sydney FC,Starting XI,Ryan Scott,29,Goalkeeper,€300k,"Australia, England"
"Sat, 1/4/25",Newcastle United Jets,Sydney FC,Starting XI,Mark Natta,22,Centre-Back,€375k,"Australia, Italy"
"Sat, 1/4/25",Newcastle United Jets,Sydney FC,Starting XI,Kosta Grozos,24,Centre-Back,€400k,Australia
"Sat, 1/4/25",Newcastle United Jets,Sydney FC,Starting XI,Daniel Wilmering,24,Left-Back,€250k,"Australia, Germany"
"Sat, 1/4/25",Newcastle United Jets,Sydney FC,Starting XI,Phillip Cancar,23,Right-Back,€350k,"Croatia, Australia"
"Sat, 1/4/25",Newcastle United Jets,Sydney FC,Starting XI,Callum Timmins,25,Central Midfield,€300k,"Australia, England"
"Sat, 1/4/25",Newcastle United Jets,Sydney FC,Starting XI,Lachlan Bayliss,22,Central Midfield,€150k,"New Zealand, Australia"
"Sat, 1/4/25",Newcastle United Jets,Sydney FC,Starting XI,Clayton Taylor,20,Left Winger,€300k,Australia
"Sat, 1/4/25",Newcastle United Jets,Sydney FC,Starting XI,Thomas Aquilina,23,Right Winger,€350k,"Australia, Malta"
"Sat, 1/4/25",Newcastle United Jets,Sydney FC,Starting XI,Eli Adams,22,Centre-Forward,€125k,Australia
"Sat, 1/4/25",Newcastle United Jets,Sydney FC,Starting XI,Ben Gibson,22,Centre-Forward,€75k,Australia
"Sat, 1/4/25",Newcastle United Jets,Sydney FC,Substitutes,Noah James,23,Goalkeeper,,Australia
"Sat, 1/4/25",Newcastle United Jets,Sydney FC,Substitutes,Nathan Grimaldi,23,Centre-Back,€100k,"Australia, Philippines"
"Sat, 1/4/25",Newcastle United Jets,Sydney FC,Substitutes,Ben Van Dorssen,19,Centre-Back,,Australia
"Sat, 1/4/25",Newcastle United Jets,Sydney FC,Substitutes,Christian Bracco,20,Right Winger,,"Australia, Italy"
"Sat, 1/4/25",Newcastle United Jets,Sydney FC,Substitutes,Will Dobson,17,Central Midfield,,Australia
"Sat, 1/4/25",Newcastle United Jets,Sydney FC,Substitutes,Wellissol,26,Left Winger,€100k,Brazil
"Sat, 1/4/25",Newcastle United Jets,Sydney FC,Substitutes,Justin Vidic,20,Centre-Forward,€50k,Australia
"Sat, 1/4/25",Sydney FC,Newcastle United Jets,Starting XI,Harrison Devenish-Meares,28,Goalkeeper,€25k,Australia
"Sat, 1/4/25",Sydney FC,Newcastle United Jets,Starting XI,Aaron Gurd,23,Centre-Back,€125k,"Australia, Thailand"
"Sat, 1/4/25",Sydney FC,Newcastle United Jets,Starting XI,Hayden Matthews,20,Centre-Back,€300k,Australia
"Sat, 1/4/25",Sydney FC,Newcastle United Jets,Starting XI,Jordan Courtney-Perkins,22,Left-Back,€400k,Australia
"Sat, 1/4/25",Sydney FC,Newcastle United Jets,Starting XI,Rhyan Grant,33,Right-Back,€500k,Australia
"Sat, 1/4/25",Sydney FC,Newcastle United Jets,Starting XI,Corey Hollman,21,Defensive Midfield,€350k,Australia
"Sat, 1/4/25",Sydney FC,Newcastle United Jets,Starting XI,Anthony Cáceres,32,Central Midfield,€600k,"Australia, Uruguay"
"Sat, 1/4/25",Sydney FC,Newcastle United Jets,Starting XI,Adrian Segecic,20,Central Midfield,€400k,"Australia, Croatia"
"Sat, 1/4/25",Sydney FC,Newcastle United Jets,Starting XI,Anas Ouahim,27,Attacking Midfield,€500k,"Morocco, Germany"
"Sat, 1/4/25",Sydney FC,Newcastle United Jets,Starting XI,Joe Lolley,32,Attacking Midfield,€1.50m,England
"Sat, 1/4/25",Sydney FC,Newcastle United Jets,Starting XI,Patryk Klimala,26,Centre-Forward,€600k,Poland
"Sat, 1/4/25",Sydney FC,Newcastle United Jets,Substitutes,Andrew Redmayne,35,Goalkeeper,€400k,Australia
"Sat, 1/4/25",Sydney FC,Newcastle United Jets,Substitutes,Joel King,24,Left-Back,€500k,Australia
"Sat, 1/4/25",Sydney FC,Newcastle United Jets,Substitutes,Zach De Jesus,18,Left-Back,€100k,Australia
"Sat, 1/4/25",Sydney FC,Newcastle United Jets,Substitutes,Wataru Kamijo,18,Central Midfield,€50k,"Australia, Japan"
"Sat, 1/4/25",Sydney FC,Newcastle United Jets,Substitutes,Tiago Quintal,18,Attacking Midfield,€50k,"Australia, Portugal"
"Sat, 1/4/25",Sydney FC,Newcastle United Jets,Substitutes,Jaiden Kucharski,22,Left Winger,€350k,"Australia, Poland"
"Sat, 1/4/25",Sydney FC,Newcastle United Jets,Substitutes,Patrick Wood,22,Centre-Forward,€350k,Australia
