Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Mon, 1/6/25",Macarthur FC,Adelaide United,Starting XI,Filip Kurto,33,Goalkeeper,€450k,Poland
"Mon, 1/6/25",Macarthur FC,Adelaide United,Starting XI,Oliver Jones,21,Centre-Back,€100k,Australia
"Mon, 1/6/25",Macarthur FC,Adelaide United,Starting XI,Dino Arslanagic,31,Centre-Back,€500k,"Belgium, Bosnia-Herzegovina"
"Mon, 1/6/25",Macarthur FC,Adelaide United,Starting XI,Walter Scott,25,Left-Back,€100k,Australia
"Mon, 1/6/25",Macarthur FC,Adelaide United,Starting XI,Kealey Adamson,21,Right-Back,€200k,"Australia, Tanzania"
"Mon, 1/6/25",Macarthur FC,Adelaide United,Starting XI,Luke Brattan,34,Central Midfield,€450k,"Australia, England"
"Mon, 1/6/25",Macarthur FC,Adelaide United,Starting XI,Jake Hollman,23,Central Midfield,€400k,Australia
"Mon, 1/6/25",Macarthur FC,Adelaide United,Starting XI,Valère Germain,34,Attacking Midfield,€1.00m,France
"Mon, 1/6/25",Macarthur FC,Adelaide United,Starting XI,Marin Jakolis,28,Left Winger,€700k,"Croatia, Australia"
"Mon, 1/6/25",Macarthur FC,Adelaide United,Starting XI,Jed Drew,21,Right Winger,€350k,Australia
"Mon, 1/6/25",Macarthur FC,Adelaide United,Starting XI,Ariath Piol,20,Centre-Forward,€50k,"Australia, Sudan"
"Mon, 1/6/25",Macarthur FC,Adelaide United,Substitutes,Alex Robinson,19,Goalkeeper,€25k,Australia
"Mon, 1/6/25",Macarthur FC,Adelaide United,Substitutes,Matthew Jurman,35,Centre-Back,€250k,"Australia, England"
"Mon, 1/6/25",Macarthur FC,Adelaide United,Substitutes,Ivan Vujica,27,Left-Back,€350k,"Australia, Croatia"
"Mon, 1/6/25",Macarthur FC,Adelaide United,Substitutes,Frans Deli,19,Central Midfield,€25k,Australia
"Mon, 1/6/25",Macarthur FC,Adelaide United,Substitutes,Daniel De Silva,27,Attacking Midfield,€350k,Australia
"Mon, 1/6/25",Macarthur FC,Adelaide United,Substitutes,Bernardo Oliveira,20,Right Winger,€300k,"Australia, Brazil"
"Mon, 1/6/25",Macarthur FC,Adelaide United,Substitutes,Oliver Randazzo,18,Left Winger,€25k,Australia
"Mon, 1/6/25",Adelaide United,Macarthur FC,Starting XI,James Delianov,25,Goalkeeper,€250k,Australia
"Mon, 1/6/25",Adelaide United,Macarthur FC,Starting XI,Bart Vriends,33,Centre-Back,€400k,Netherlands
"Mon, 1/6/25",Adelaide United,Macarthur FC,Starting XI,Panagiotis Kikianis,19,Centre-Back,€125k,Australia
"Mon, 1/6/25",Adelaide United,Macarthur FC,Starting XI,Ryan Kitto,30,Left-Back,€450k,Australia
"Mon, 1/6/25",Adelaide United,Macarthur FC,Starting XI,Dylan Pierias,24,Right-Back,€350k,"Australia, Italy"
"Mon, 1/6/25",Adelaide United,Macarthur FC,Starting XI,Jay Barnett,23,Defensive Midfield,€150k,Australia
"Mon, 1/6/25",Adelaide United,Macarthur FC,Starting XI,Ethan Alagich,21,Central Midfield,€200k,Australia
"Mon, 1/6/25",Adelaide United,Macarthur FC,Starting XI,Ben Folami,25,Central Midfield,€400k,"Australia, Nigeria"
"Mon, 1/6/25",Adelaide United,Macarthur FC,Starting XI,Archie Goodwin,20,Left Winger,€225k,Australia
"Mon, 1/6/25",Adelaide United,Macarthur FC,Starting XI,Zach Clough,29,Right Winger,€550k,England
"Mon, 1/6/25",Adelaide United,Macarthur FC,Starting XI,Stefan Mauk,29,Centre-Forward,€600k,"Australia, Germany"
"Mon, 1/6/25",Adelaide United,Macarthur FC,Substitutes,Ethan Cox,20,Goalkeeper,€50k,Australia
"Mon, 1/6/25",Adelaide United,Macarthur FC,Substitutes,Isaías Sánchez,37,Central Midfield,€175k,"Spain, Australia"
"Mon, 1/6/25",Adelaide United,Macarthur FC,Substitutes,Jonny Yull,19,Central Midfield,€250k,"Australia, England"
"Mon, 1/6/25",Adelaide United,Macarthur FC,Substitutes,Ryan White,20,Right Winger,€50k,Australia
"Mon, 1/6/25",Adelaide United,Macarthur FC,Substitutes,Austin Ayoubi,23,Left Winger,€75k,Australia
"Mon, 1/6/25",Adelaide United,Macarthur FC,Substitutes,Yaya Dukuly,21,Left Winger,€100k,"Australia, Guinea"
"Mon, 1/6/25",Adelaide United,Macarthur FC,Substitutes,Luka Jovanovic,19,Centre-Forward,€250k,"Australia, Serbia"
