Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Tue, 1/7/25",Brisbane Roar,Newcastle United Jets,Starting XI,Macklin Freke,26,Goalkeeper,€300k,"Australia, New Zealand"
"Tue, 1/7/25",Brisbane Roar,Newcastle United Jets,Starting XI,Lucas Herrington,17,Centre-Back,,Australia
"Tue, 1/7/25",Brisbane Roar,Newcastle United Jets,Starting XI,Walid Shour,28,Centre-Back,€325k,"Lebanon, Sierra Leone"
"Tue, 1/7/25",Brisbane Roar,Newcastle United Jets,Starting XI,Antonee Burke-Gilroy,27,Left-Back,€250k,"Australia, England"
"Tue, 1/7/25",Brisbane Roar,Newcastle United Jets,Starting XI,Jack Hingert,34,Right-Back,€175k,"Sri Lanka, Australia"
"Tue, 1/7/25",Brisbane Roar,Newcastle United Jets,Starting XI,Louis Zabala,23,Central Midfield,€175k,Australia
"Tue, 1/7/25",Brisbane Roar,Newcastle United Jets,Starting XI,Jay O'Shea,36,Central Midfield,€300k,Ireland
"Tue, 1/7/25",Brisbane Roar,Newcastle United Jets,Starting XI,Jacob Brazete,18,Left Winger,,"Australia, Portugal"
"Tue, 1/7/25",Brisbane Roar,Newcastle United Jets,Starting XI,Ben Halloran,32,Right Winger,€400k,Australia
"Tue, 1/7/25",Brisbane Roar,Newcastle United Jets,Starting XI,Keegan Jelacic,22,Second Striker,€300k,"Australia, New Zealand"
"Tue, 1/7/25",Brisbane Roar,Newcastle United Jets,Starting XI,Adam Zimarino,23,Centre-Forward,€75k,Australia
"Tue, 1/7/25",Brisbane Roar,Newcastle United Jets,Substitutes,Matt Acton,32,Goalkeeper,€200k,"Australia, Finland"
"Tue, 1/7/25",Brisbane Roar,Newcastle United Jets,Substitutes,Scott Neville,35,Centre-Back,€150k,"Australia, England"
"Tue, 1/7/25",Brisbane Roar,Newcastle United Jets,Substitutes,Corey Brown,31,Left-Back,€250k,Australia
"Tue, 1/7/25",Brisbane Roar,Newcastle United Jets,Substitutes,Sam Klein,20,Central Midfield,,Australia
"Tue, 1/7/25",Brisbane Roar,Newcastle United Jets,Substitutes,Rafael Struick,21,Left Winger,€75k,"Indonesia, Netherlands"
"Tue, 1/7/25",Brisbane Roar,Newcastle United Jets,Substitutes,Néicer Acosta,22,Right Winger,€75k,Ecuador
"Tue, 1/7/25",Brisbane Roar,Newcastle United Jets,Substitutes,Thomas Waddingham,19,Centre-Forward,€350k,"Australia, England"
"Tue, 1/7/25",Newcastle United Jets,Brisbane Roar,Starting XI,Ryan Scott,29,Goalkeeper,€300k,"Australia, England"
"Tue, 1/7/25",Newcastle United Jets,Brisbane Roar,Starting XI,Mark Natta,22,Centre-Back,€375k,"Australia, Italy"
"Tue, 1/7/25",Newcastle United Jets,Brisbane Roar,Starting XI,Kosta Grozos,24,Centre-Back,€400k,Australia
"Tue, 1/7/25",Newcastle United Jets,Brisbane Roar,Starting XI,Daniel Wilmering,24,Left-Back,€250k,"Australia, Germany"
"Tue, 1/7/25",Newcastle United Jets,Brisbane Roar,Starting XI,Phillip Cancar,23,Right-Back,€350k,"Croatia, Australia"
"Tue, 1/7/25",Newcastle United Jets,Brisbane Roar,Starting XI,Callum Timmins,25,Central Midfield,€300k,"Australia, England"
"Tue, 1/7/25",Newcastle United Jets,Brisbane Roar,Starting XI,Lachlan Bayliss,22,Central Midfield,€150k,"New Zealand, Australia"
"Tue, 1/7/25",Newcastle United Jets,Brisbane Roar,Starting XI,Clayton Taylor,20,Left Winger,€300k,Australia
"Tue, 1/7/25",Newcastle United Jets,Brisbane Roar,Starting XI,Thomas Aquilina,23,Right Winger,€350k,"Australia, Malta"
"Tue, 1/7/25",Newcastle United Jets,Brisbane Roar,Starting XI,Eli Adams,22,Centre-Forward,€125k,Australia
"Tue, 1/7/25",Newcastle United Jets,Brisbane Roar,Starting XI,Ben Gibson,22,Centre-Forward,€75k,Australia
"Tue, 1/7/25",Newcastle United Jets,Brisbane Roar,Substitutes,Noah James,23,Goalkeeper,,Australia
"Tue, 1/7/25",Newcastle United Jets,Brisbane Roar,Substitutes,Nathan Grimaldi,23,Centre-Back,€100k,"Australia, Philippines"
"Tue, 1/7/25",Newcastle United Jets,Brisbane Roar,Substitutes,Christian Bracco,20,Defensive Midfield,,"Australia, Italy"
"Tue, 1/7/25",Newcastle United Jets,Brisbane Roar,Substitutes,Matthew Scarcella,20,Central Midfield,€50k,"Australia, Italy"
"Tue, 1/7/25",Newcastle United Jets,Brisbane Roar,Substitutes,Will Dobson,17,Central Midfield,,Australia
"Tue, 1/7/25",Newcastle United Jets,Brisbane Roar,Substitutes,Wellissol,26,Left Winger,€100k,Brazil
"Tue, 1/7/25",Newcastle United Jets,Brisbane Roar,Substitutes,Lachlan Rose,25,Centre-Forward,€325k,Australia
