Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Tue, 1/7/25",Melbourne City FC,Western United FC,Starting XI,Patrick Beach,21,Goalkeeper,€100k,Australia
"Tue, 1/7/25",Melbourne City FC,Western United FC,Starting XI,Samuel Souprayen,35,Centre-Back,€100k,"France, Réunion"
"Tue, 1/7/25",Melbourne City FC,Western United FC,Starting XI,Kai Trewin,23,Centre-Back,€400k,Australia
"Tue, 1/7/25",Melbourne City FC,Western United FC,Starting XI,Aziz Behich,34,Left-Back,€400k,"Australia, Türkiye"
"Tue, 1/7/25",Melbourne City FC,Western United FC,Starting XI,Callum Talbot,23,Right-Back,€350k,"Australia, Malta"
"Tue, 1/7/25",Melbourne City FC,Western United FC,Starting XI,Steven Ugarkovic,30,Defensive Midfield,€450k,"Australia, Croatia"
"Tue, 1/7/25",Melbourne City FC,Western United FC,Starting XI,Nathaniel Atkinson,25,Attacking Midfield,€800k,Australia
"Tue, 1/7/25",Melbourne City FC,Western United FC,Starting XI,Lawrence Wong,17,Attacking Midfield,,Australia
"Tue, 1/7/25",Melbourne City FC,Western United FC,Starting XI,Harry Politidis,22,Left Winger,€100k,Australia
"Tue, 1/7/25",Melbourne City FC,Western United FC,Starting XI,Benjamin Mazzeo,19,Right Winger,€75k,Australia
"Tue, 1/7/25",Melbourne City FC,Western United FC,Starting XI,Arion Sulemani,19,Centre-Forward,€25k,Australia
"Tue, 1/7/25",Melbourne City FC,Western United FC,Substitutes,Jamie Young,39,Goalkeeper,€200k,"England, Australia"
"Tue, 1/7/25",Melbourne City FC,Western United FC,Substitutes,Germán Ferreyra,28,Defensive Midfield,€450k,Argentina
"Tue, 1/7/25",Melbourne City FC,Western United FC,Substitutes,Zane Schreiber,19,Central Midfield,€50k,Australia
"Tue, 1/7/25",Melbourne City FC,Western United FC,Substitutes,Benjamin Dunbar,18,Central Midfield,,Australia
"Tue, 1/7/25",Melbourne City FC,Western United FC,Substitutes,Mikey Ghossaini,17,Left Winger,,"Australia, Lebanon"
"Tue, 1/7/25",Melbourne City FC,Western United FC,Substitutes,Kavian Rahmani,18,Right Winger,,Australia
"Tue, 1/7/25",Melbourne City FC,Western United FC,Substitutes,Medin Memeti,17,Centre-Forward,,Australia
"Tue, 1/7/25",Western United FC,Melbourne City FC,Starting XI,Matt Sutton,24,Goalkeeper,€200k,Australia
"Tue, 1/7/25",Western United FC,Melbourne City FC,Starting XI,Tomoki Imai,34,Centre-Back,€300k,Japan
"Tue, 1/7/25",Western United FC,Melbourne City FC,Starting XI,Dylan Leonard,17,Centre-Back,,"Australia, Scotland"
"Tue, 1/7/25",Western United FC,Melbourne City FC,Starting XI,Ben Garuccio,29,Left-Back,€450k,"Australia, Italy"
"Tue, 1/7/25",Western United FC,Melbourne City FC,Starting XI,Tate Russell,25,Right-Back,€325k,Australia
"Tue, 1/7/25",Western United FC,Melbourne City FC,Starting XI,Rhys Bozinovski,20,Central Midfield,€100k,"Australia, Malta"
"Tue, 1/7/25",Western United FC,Melbourne City FC,Starting XI,Angus Thurgate,24,Central Midfield,€500k,Australia
"Tue, 1/7/25",Western United FC,Melbourne City FC,Starting XI,Riku Danzaki,24,Left Winger,€250k,Japan
"Tue, 1/7/25",Western United FC,Melbourne City FC,Starting XI,Matthew Grimaldi,21,Right Winger,€200k,Australia
"Tue, 1/7/25",Western United FC,Melbourne City FC,Starting XI,Hiroshi Ibusuki,33,Centre-Forward,€250k,Japan
"Tue, 1/7/25",Western United FC,Melbourne City FC,Starting XI,Michael Ruhs,22,Centre-Forward,€200k,Australia
"Tue, 1/7/25",Western United FC,Melbourne City FC,Substitutes,Tom Heward-Belle,27,Goalkeeper,€300k,Australia
"Tue, 1/7/25",Western United FC,Melbourne City FC,Substitutes,Kane Vidmar,20,Left-Back,€200k,"Australia, Wales"
"Tue, 1/7/25",Western United FC,Melbourne City FC,Substitutes,James York,19,Central Midfield,€25k,"Australia, Scotland"
"Tue, 1/7/25",Western United FC,Melbourne City FC,Substitutes,Ramy Najjarine,24,Right Winger,€300k,"Australia, Lebanon"
"Tue, 1/7/25",Western United FC,Melbourne City FC,Substitutes,Jake Najdovski,19,Centre-Forward,€25k,Australia
"Tue, 1/7/25",Western United FC,Melbourne City FC,Substitutes,Noah Botic,22,Centre-Forward,€350k,"Australia, Croatia"
"Tue, 1/7/25",Western United FC,Melbourne City FC,Substitutes,Luke Vickery,19,Left Winger,€25k,Australia
