Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Wed, 1/8/25",Sydney FC,Perth Glory,Starting XI,Harrison Devenish-Meares,28,Goalkeeper,€25k,Australia
"Wed, 1/8/25",Sydney FC,Perth Glory,Starting XI,Hayden Matthews,20,Centre-Back,€300k,Australia
"Wed, 1/8/25",Sydney FC,Perth Glory,Starting XI,Rhyan Grant,33,Centre-Back,€500k,Australia
"Wed, 1/8/25",Sydney FC,Perth Glory,Starting XI,Joel King,24,Left-Back,€500k,Australia
"Wed, 1/8/25",Sydney FC,Perth Glory,Starting XI,Zach De Jesus,18,Right-Back,€100k,Australia
"Wed, 1/8/25",Sydney FC,Perth Glory,Starting XI,Corey Hollman,21,Defensive Midfield,€350k,Australia
"Wed, 1/8/25",Sydney FC,Perth Glory,Starting XI,Léo Sena,29,Defensive Midfield,€500k,Brazil
"Wed, 1/8/25",Sydney FC,Perth Glory,Starting XI,Anthony Cáceres,32,Attacking Midfield,€600k,"Australia, Uruguay"
"Wed, 1/8/25",Sydney FC,Perth Glory,Starting XI,Anas Ouahim,27,Left Winger,€500k,"Morocco, Germany"
"Wed, 1/8/25",Sydney FC,Perth Glory,Starting XI,Joe Lolley,32,Right Winger,€1.50m,England
"Wed, 1/8/25",Sydney FC,Perth Glory,Starting XI,Patryk Klimala,26,Centre-Forward,€600k,Poland
"Wed, 1/8/25",Sydney FC,Perth Glory,Substitutes,Andrew Redmayne,35,Goalkeeper,€400k,Australia
"Wed, 1/8/25",Sydney FC,Perth Glory,Substitutes,Aaron Gurd,23,Centre-Back,€125k,"Australia, Thailand"
"Wed, 1/8/25",Sydney FC,Perth Glory,Substitutes,Jordan Courtney-Perkins,22,Left-Back,€400k,Australia
"Wed, 1/8/25",Sydney FC,Perth Glory,Substitutes,Tiago Quintal,18,Attacking Midfield,€50k,"Australia, Portugal"
"Wed, 1/8/25",Sydney FC,Perth Glory,Substitutes,Jaiden Kucharski,22,Right Winger,€350k,"Australia, Poland"
"Wed, 1/8/25",Sydney FC,Perth Glory,Substitutes,Adrian Segecic,20,Left Winger,€400k,"Australia, Croatia"
"Wed, 1/8/25",Sydney FC,Perth Glory,Substitutes,Patrick Wood,22,Centre-Forward,€350k,Australia
"Wed, 1/8/25",Perth Glory,Sydney FC,Starting XI,Oliver Sail,28,Goalkeeper,€500k,"New Zealand, Australia"
"Wed, 1/8/25",Perth Glory,Sydney FC,Starting XI,Andriano Lebib,18,Centre-Back,,Australia
"Wed, 1/8/25",Perth Glory,Sydney FC,Starting XI,Tomislav Mrcela,34,Centre-Back,€200k,"Australia, Croatia"
"Wed, 1/8/25",Perth Glory,Sydney FC,Starting XI,Zach Lisolajski,19,Left-Back,€50k,Australia
"Wed, 1/8/25",Perth Glory,Sydney FC,Starting XI,Josh Risdon,32,Right-Back,€450k,Australia
"Wed, 1/8/25",Perth Glory,Sydney FC,Starting XI,Taras Gomulka,23,Central Midfield,€300k,"Australia, Ukraine"
"Wed, 1/8/25",Perth Glory,Sydney FC,Starting XI,Nicholas Pennington,26,Central Midfield,€350k,"Australia, Italy"
"Wed, 1/8/25",Perth Glory,Sydney FC,Starting XI,Jarrod Carluccio,23,Left Winger,€300k,Australia
"Wed, 1/8/25",Perth Glory,Sydney FC,Starting XI,Trent Ostler,22,Right Winger,€200k,Australia
"Wed, 1/8/25",Perth Glory,Sydney FC,Starting XI,Jaylan Pearman,18,Second Striker,€25k,Australia
"Wed, 1/8/25",Perth Glory,Sydney FC,Starting XI,Adam Taggart,31,Centre-Forward,€750k,Australia
"Wed, 1/8/25",Perth Glory,Sydney FC,Substitutes,Cameron Cook,23,Goalkeeper,€350k,Australia
"Wed, 1/8/25",Perth Glory,Sydney FC,Substitutes,Anas Hamzaoui,28,Left-Back,€150k,"Belgium, Morocco"
"Wed, 1/8/25",Perth Glory,Sydney FC,Substitutes,Brandon O'Neill,30,Central Midfield,€350k,Australia
"Wed, 1/8/25",Perth Glory,Sydney FC,Substitutes,Khoa Ngo,18,Left Winger,€50k,Australia
"Wed, 1/8/25",Perth Glory,Sydney FC,Substitutes,Abdul Faisal,19,Right Winger,€100k,Australia
"Wed, 1/8/25",Perth Glory,Sydney FC,Substitutes,Nikola Mileusnic,31,Centre-Forward,€400k,"Australia, Serbia"
"Wed, 1/8/25",Perth Glory,Sydney FC,Substitutes,Nathanael Blair,20,Centre-Forward,€100k,Australia
