Match Date,Team,Opponent,Lineup Type,Name,Age,Position,Market Value,Nationality
"Fri, 1/10/25",Melbourne Victory,Western United FC,Starting XI,Jack Duncan,31,Goalkeeper,€250k,Australia
"Fri, 1/10/25",Melbourne Victory,Western United FC,Starting XI,Brendan Hamill,32,Centre-Back,€325k,"Australia, Ireland"
"Fri, 1/10/25",Melbourne Victory,Western United FC,Starting XI,Roderick Miranda,33,Centre-Back,€700k,"Portugal, Brazil"
"Fri, 1/10/25",Melbourne Victory,Western United FC,Starting XI,Adama Traoré,34,Left-Back,€150k,"Cote d'Ivoire, Australia"
"Fri, 1/10/25",Melbourne Victory,Western United FC,Starting XI,Jason Geria,31,Right-Back,€500k,"Australia, Uganda"
"Fri, 1/10/25",Melbourne Victory,Western United FC,Starting XI,Ryan Teague,22,Defensive Midfield,€450k,Australia
"Fri, 1/10/25",Melbourne Victory,Western United FC,Starting XI,Jordi Valadon,21,Defensive Midfield,€350k,Australia
"Fri, 1/10/25",Melbourne Victory,Western United FC,Starting XI,Zinédine Machach,29,Attacking Midfield,€650k,"France, Morocco"
"Fri, 1/10/25",Melbourne Victory,Western United FC,Starting XI,Reno Piscopo,26,Left Winger,€500k,"Australia, Italy"
"Fri, 1/10/25",Melbourne Victory,Western United FC,Starting XI,Daniel Arzani,26,Right Winger,€500k,Australia
"Fri, 1/10/25",Melbourne Victory,Western United FC,Starting XI,Bruno Fornaroli,37,Centre-Forward,€350k,"Australia, Uruguay"
"Fri, 1/10/25",Melbourne Victory,Western United FC,Substitutes,Daniel Graskoski,17,Goalkeeper,,Australia
"Fri, 1/10/25",Melbourne Victory,Western United FC,Substitutes,Kasey Bos,20,Left-Back,€400k,"Australia, Netherlands"
"Fri, 1/10/25",Melbourne Victory,Western United FC,Substitutes,Joshua Rawlins,20,Centre-Back,€250k,Australia
"Fri, 1/10/25",Melbourne Victory,Western United FC,Substitutes,Clarismario,23,Right Winger,€350k,Brazil
"Fri, 1/10/25",Melbourne Victory,Western United FC,Substitutes,Nishan Velupillay,23,Left Winger,€400k,"Australia, Sri Lanka"
"Fri, 1/10/25",Melbourne Victory,Western United FC,Substitutes,Jing Reec,21,Centre-Forward,€150k,"Australia, Southern Sudan"
"Fri, 1/10/25",Melbourne Victory,Western United FC,Substitutes,Nikolaos Vergos,28,Centre-Forward,€450k,Greece
"Fri, 1/10/25",Western United FC,Melbourne Victory,Starting XI,Matt Sutton,24,Goalkeeper,€300k,Australia
"Fri, 1/10/25",Western United FC,Melbourne Victory,Starting XI,Tomoki Imai,34,Centre-Back,€250k,Japan
"Fri, 1/10/25",Western United FC,Melbourne Victory,Starting XI,Dylan Leonard,17,Centre-Back,€250k,"Australia, Scotland"
"Fri, 1/10/25",Western United FC,Melbourne Victory,Starting XI,Ben Garuccio,29,Left-Back,€400k,"Australia, Italy"
"Fri, 1/10/25",Western United FC,Melbourne Victory,Starting XI,Tate Russell,25,Right-Back,€350k,Australia
"Fri, 1/10/25",Western United FC,Melbourne Victory,Starting XI,Rhys Bozinovski,20,Central Midfield,€275k,"Australia, Malta"
"Fri, 1/10/25",Western United FC,Melbourne Victory,Starting XI,Angus Thurgate,24,Central Midfield,€550k,Australia
"Fri, 1/10/25",Western United FC,Melbourne Victory,Starting XI,Abel Walatee,20,Left Winger,€200k,"Australia, Ghana"
"Fri, 1/10/25",Western United FC,Melbourne Victory,Starting XI,Luke Vickery,19,Right Winger,€25k,Australia
"Fri, 1/10/25",Western United FC,Melbourne Victory,Starting XI,Hiroshi Ibusuki,33,Centre-Forward,€225k,Japan
"Fri, 1/10/25",Western United FC,Melbourne Victory,Starting XI,Noah Botic,22,Centre-Forward,€400k,"Australia, Croatia"
"Fri, 1/10/25",Western United FC,Melbourne Victory,Substitutes,Tom Heward-Belle,27,Goalkeeper,€250k,Australia
"Fri, 1/10/25",Western United FC,Melbourne Victory,Substitutes,Kane Vidmar,20,Centre-Back,€200k,"Australia, Wales"
"Fri, 1/10/25",Western United FC,Melbourne Victory,Substitutes,Jordan Lauton,21,Central Midfield,€100k,Australia
"Fri, 1/10/25",Western United FC,Melbourne Victory,Substitutes,Ramy Najjarine,24,Left Winger,€300k,"Australia, Lebanon"
"Fri, 1/10/25",Western United FC,Melbourne Victory,Substitutes,Matthew Grimaldi,21,Left Winger,€250k,Australia
"Fri, 1/10/25",Western United FC,Melbourne Victory,Substitutes,Riku Danzaki,24,Right Winger,€325k,Japan
"Fri, 1/10/25",Western United FC,Melbourne Victory,Substitutes,Michael Ruhs,22,Centre-Forward,€150k,Australia
